subject_ix,frame,m_s,m_s_cat,m_l,t_s,t_l,choice,response,rt
40,delay,37.06,above_ip,43.52,0,16,ss,lower,2.2825163897578022
40,delay,4.76,above_ip,43.52,0,128,ll,upper,2.5230035650874925
40,delay,36.72,below_ip,43.52,0,8,ll,upper,3.262526107928352
40,delay,35.7,at_ip,43.52,0,16,ss,lower,2.28598314314695
40,delay,34.34,below_ip,43.52,0,16,ll,upper,3.6186178669249784
40,delay,37.06,above_ip,43.52,0,16,ll,upper,4.845461482096653
40,delay,32.3,at_ip,43.52,0,2,ll,upper,3.0502433261845
40,delay,38.760000000000005,above_ip,43.52,0,8,ll,upper,4.801678105211977
40,delay,37.06,above_ip,43.52,0,16,ll,upper,3.461979673462338
40,delay,37.74,below_ip,43.52,0,4,ll,upper,1.6611496701807482
40,delay,2.38,at_ip,43.52,0,128,ll,upper,2.3000739033486752
40,delay,34.34,below_ip,43.52,0,16,ll,upper,2.680131186009021
40,delay,6.46,below_ip,43.52,0,64,ll,upper,3.815717840621801
40,delay,10.54,above_ip,43.52,0,64,ll,upper,2.671193929789297
40,delay,10.54,at_ip,43.52,0,32,ll,upper,1.7197827277359465
40,delay,32.64,above_ip,43.52,0,2,ll,upper,2.4289041717256623
40,delay,10.54,at_ip,43.52,0,32,ll,upper,2.4387328955763223
40,delay,38.42,at_ip,43.52,0,4,ll,upper,2.1072954949304403
40,delay,6.46,below_ip,43.52,0,64,ll,upper,1.719093893045283
40,delay,31.959999999999997,below_ip,43.52,0,2,ll,upper,2.2979335013023956
40,delay,38.760000000000005,above_ip,43.52,0,8,ll,upper,2.9276245931087033
40,delay,12.239999999999998,above_ip,43.52,0,32,ll,upper,1.894166698679328
40,delay,-4.440892098500626e-16,below_ip,43.52,0,128,ll,upper,2.533689153544401
40,delay,38.760000000000005,above_ip,43.52,0,8,ll,upper,2.9926439605351334
40,delay,12.239999999999998,above_ip,43.52,0,32,ll,upper,1.8548494573133212
40,delay,36.72,below_ip,43.52,0,8,ll,upper,1.9973743106384063
40,delay,37.74,below_ip,43.52,0,4,ll,upper,2.158256652453929
40,delay,35.7,at_ip,43.52,0,16,ll,upper,4.419036446166501
40,delay,10.54,at_ip,43.52,0,32,ll,upper,5.016444679984488
40,delay,32.3,at_ip,43.52,0,2,ll,upper,4.037008550854807
40,delay,2.38,at_ip,43.52,0,128,ll,upper,3.151753337455375
40,delay,6.46,below_ip,43.52,0,64,ll,upper,2.2572597042653797
40,delay,8.5,at_ip,43.52,0,64,ll,upper,3.1363834385047085
40,delay,39.1,above_ip,43.52,0,4,ll,upper,1.8344439392458298
40,delay,4.76,above_ip,43.52,0,128,ll,upper,3.6716443555378646
40,delay,34.34,below_ip,43.52,0,16,ll,upper,3.9017306842069956
40,delay,34.34,below_ip,43.52,0,16,ll,upper,1.6824105866271566
40,delay,37.74,at_ip,43.52,0,8,ll,upper,1.8477543720273388
40,delay,10.54,above_ip,43.52,0,64,ll,upper,1.819798650989469
40,delay,37.74,at_ip,43.52,0,8,ll,upper,1.969074025631926
40,delay,32.64,above_ip,43.52,0,2,ll,upper,1.5124874727771385
40,delay,37.74,at_ip,43.52,0,8,ll,upper,1.867807994976829
40,delay,35.7,at_ip,43.52,0,16,ll,upper,6.934820261747518
40,delay,2.38,at_ip,43.52,0,128,ll,upper,3.399012147809117
40,delay,-4.440892098500626e-16,below_ip,43.52,0,128,ll,upper,3.4434119276393176
40,delay,39.1,above_ip,43.52,0,4,ll,upper,4.4205979807466065
40,delay,10.54,at_ip,43.52,0,32,ll,upper,3.8407554714049184
