subject_ix,frame,m_s,m_s_cat,m_l,t_s,t_l,choice,response,rt
7,defer,-4.440892098500626e-16,below_ip,43.52,0,128,ll,upper,5.145266225532396
7,defer,15.3,below_ip,43.52,0,4,ll,upper,2.7856161638173944
7,defer,15.98,at_ip,43.52,0,4,ll,upper,4.195335036094548
7,defer,16.66,above_ip,43.52,0,4,ll,upper,3.2227067717703903
7,defer,4.42,at_ip,43.52,0,32,ll,upper,4.350874762791136
7,defer,10.54,at_ip,43.52,0,8,ll,upper,1.7303281315780623
7,defer,2.7199999999999998,below_ip,43.52,0,32,ll,upper,1.9370794549304264
7,defer,15.98,at_ip,43.52,0,4,ll,upper,2.7316870411887066
7,defer,2.38,at_ip,43.52,0,128,ll,upper,2.9915179487288697
7,defer,9.18,below_ip,43.52,0,16,ll,upper,4.4256628840339545
7,defer,9.52,below_ip,43.52,0,8,ll,upper,2.5900924132511136
7,defer,21.42,at_ip,43.52,0,2,ll,upper,3.092459361660076
7,defer,2.38,below_ip,43.52,0,64,ll,upper,3.297643569569118
7,defer,6.46,above_ip,43.52,0,64,ll,upper,3.0841563476897136
7,defer,4.42,at_ip,43.52,0,64,ll,upper,1.933263423257813
7,defer,10.54,at_ip,43.52,0,16,ll,upper,4.724627690504349
7,defer,2.38,at_ip,43.52,0,128,ll,upper,2.532191837693972
7,defer,21.42,at_ip,43.52,0,2,ll,upper,1.8062616781407996
7,defer,9.18,below_ip,43.52,0,16,ll,upper,3.450751393505925
7,defer,10.54,at_ip,43.52,0,8,ll,upper,1.9800422884291038
7,defer,6.12,above_ip,43.52,0,32,ll,upper,2.2409975074624526
7,defer,4.42,at_ip,43.52,0,32,ll,upper,3.5924985102210485
7,defer,2.38,at_ip,43.52,0,128,ll,upper,2.62667886984309
7,defer,4.42,at_ip,43.52,0,64,ll,upper,2.503134221275104
7,defer,6.12,above_ip,43.52,0,32,ll,upper,2.138232680639703
7,defer,10.54,at_ip,43.52,0,16,ll,upper,4.229348537801343
7,defer,21.76,above_ip,43.52,0,2,ll,upper,6.431300276861293
7,defer,21.76,above_ip,43.52,0,2,ll,upper,3.5993959882034687
7,defer,4.76,above_ip,43.52,0,128,ll,upper,2.6024745020367845
7,defer,11.559999999999999,above_ip,43.52,0,8,ll,upper,3.105024143731498
7,defer,10.54,at_ip,43.52,0,8,ll,upper,2.8886358228464815
7,defer,6.46,above_ip,43.52,0,64,ll,upper,3.494335912024326
7,defer,21.76,above_ip,43.52,0,2,ll,upper,2.550545035133837
7,defer,21.080000000000002,below_ip,43.52,0,2,ll,upper,1.5586735667529865
7,defer,15.98,at_ip,43.52,0,4,ll,upper,2.1584503466419847
7,defer,16.66,above_ip,43.52,0,4,ll,upper,2.2358210999391304
7,defer,11.559999999999999,above_ip,43.52,0,8,ll,upper,3.3701947977351665
7,defer,6.46,above_ip,43.52,0,64,ll,upper,3.24512320865324
7,defer,11.899999999999999,above_ip,43.52,0,16,ll,upper,1.7401058879804623
7,defer,16.66,above_ip,43.52,0,4,ll,upper,1.8915219662212621
7,defer,2.7199999999999998,below_ip,43.52,0,32,ll,upper,3.0158466535394837
7,defer,4.76,above_ip,43.52,0,128,ll,upper,4.770630622393583
7,defer,15.3,below_ip,43.52,0,4,ll,upper,3.901800003117387
7,defer,-4.440892098500626e-16,below_ip,43.52,0,128,ll,upper,1.794064042127502
7,defer,11.899999999999999,above_ip,43.52,0,16,ll,upper,3.018158618013331
7,defer,16.66,above_ip,43.52,0,4,ll,upper,2.214581759124485
7,defer,6.12,above_ip,43.52,0,32,ll,upper,4.734009269332091
7,defer,4.76,above_ip,43.52,0,128,ll,upper,2.978350835983292
7,defer,15.3,below_ip,43.52,0,4,ll,upper,2.5788871272870892
7,defer,6.12,above_ip,43.52,0,32,ll,upper,2.349125833805374
7,defer,2.38,below_ip,43.52,0,64,ll,upper,2.553819438397113
7,defer,21.080000000000002,below_ip,43.52,0,2,ll,upper,2.3710405239598913
7,defer,10.54,at_ip,43.52,0,8,ss,lower,1.8565260848845355
7,defer,2.7199999999999998,below_ip,43.52,0,32,ll,upper,4.028292083816268
7,defer,2.7199999999999998,below_ip,43.52,0,32,ll,upper,2.9412878519597143
7,defer,21.42,at_ip,43.52,0,2,ll,upper,1.7052926999294868
7,defer,11.899999999999999,above_ip,43.52,0,16,ll,upper,2.9815742141563533
7,defer,9.18,below_ip,43.52,0,16,ll,upper,1.727747259008538
7,defer,11.559999999999999,above_ip,43.52,0,8,ll,upper,3.31534047876994
7,defer,21.42,at_ip,43.52,0,2,ll,upper,3.6938366872254846
7,defer,9.52,below_ip,43.52,0,8,ll,upper,3.455010815627247
7,defer,11.559999999999999,above_ip,43.52,0,8,ll,upper,3.1684544902291236
7,defer,4.42,at_ip,43.52,0,32,ll,upper,2.6039005653601635
7,defer,10.54,at_ip,43.52,0,16,ll,upper,2.4354843343371613
7,defer,4.76,above_ip,43.52,0,128,ll,upper,2.042814293952688
7,defer,4.42,at_ip,43.52,0,64,ll,upper,4.889246364455175
7,defer,4.42,at_ip,43.52,0,64,ll,upper,4.934880977296416
7,defer,2.38,at_ip,43.52,0,128,ll,upper,3.2901182483692537
7,defer,10.54,at_ip,43.52,0,16,ll,upper,4.325656051363694
7,defer,15.98,at_ip,43.52,0,4,ll,upper,3.9940131929834024
7,defer,2.38,below_ip,43.52,0,64,ll,upper,1.8639288285685325
7,defer,15.3,below_ip,43.52,0,4,ll,upper,2.1014186638713
7,defer,11.899999999999999,above_ip,43.52,0,16,ll,upper,2.5109108557135187
7,defer,21.080000000000002,below_ip,43.52,0,2,ll,upper,1.64582119671104
7,defer,9.18,below_ip,43.52,0,16,ll,upper,2.1776683314019465
7,defer,4.42,at_ip,43.52,0,32,ll,upper,2.6288553539034183
7,defer,21.080000000000002,below_ip,43.52,0,2,ll,upper,2.5206537156464037
7,defer,6.46,above_ip,43.52,0,64,ll,upper,1.843009714188156
7,defer,9.52,below_ip,43.52,0,8,ll,upper,3.5930556807579705
7,neutral,10.54,at_ip,43.52,0,16,ll,upper,4.760946118743959
7,neutral,11.899999999999999,above_ip,43.52,0,16,ll,upper,2.0046102833221084
7,neutral,21.080000000000002,below_ip,43.52,0,2,ll,upper,2.226939508353098
7,neutral,2.38,at_ip,43.52,0,128,ll,upper,1.8322938585515658
7,neutral,16.66,above_ip,43.52,0,4,ll,upper,1.5258535829816537
7,neutral,9.18,below_ip,43.52,0,16,ll,upper,2.3772823001963843
7,neutral,6.12,above_ip,43.52,0,32,ll,upper,2.1987144220147457
7,neutral,4.42,at_ip,43.52,0,64,ll,upper,1.5253225114865927
7,neutral,2.38,at_ip,43.52,0,128,ll,upper,1.7840296940303233
7,neutral,21.76,above_ip,43.52,0,2,ll,upper,2.2240929534127645
7,neutral,15.3,below_ip,43.52,0,4,ll,upper,2.2819738813777803
7,neutral,4.42,at_ip,43.52,0,32,ll,upper,2.2394459341430775
7,neutral,15.3,below_ip,43.52,0,4,ll,upper,1.8292980405567505
7,neutral,21.42,at_ip,43.52,0,2,ll,upper,1.8190836384001159
7,neutral,4.42,at_ip,43.52,0,64,ll,upper,1.5441789218948543
7,neutral,10.54,at_ip,43.52,0,8,ll,upper,2.0266783419956482
7,neutral,2.38,at_ip,43.52,0,128,ll,upper,1.6405239711566537
7,neutral,9.52,below_ip,43.52,0,8,ll,upper,1.9384635838396207
7,neutral,2.38,below_ip,43.52,0,64,ll,upper,2.1237374492866365
7,neutral,9.52,below_ip,43.52,0,8,ll,upper,1.9852295461150788
7,neutral,21.76,above_ip,43.52,0,2,ll,upper,1.9653617245603527
7,neutral,6.12,above_ip,43.52,0,32,ll,upper,2.055916892215464
7,neutral,15.98,at_ip,43.52,0,4,ll,upper,2.4842731189037295
7,neutral,-4.440892098500626e-16,below_ip,43.52,0,128,ll,upper,1.6524553383023886
7,neutral,4.42,at_ip,43.52,0,32,ll,upper,2.1833722914470854
7,neutral,11.559999999999999,above_ip,43.52,0,8,ll,upper,1.616038378851954
7,neutral,21.080000000000002,below_ip,43.52,0,2,ll,upper,1.676623050152557
7,neutral,11.559999999999999,above_ip,43.52,0,8,ll,upper,2.4872865317574906
7,neutral,15.98,at_ip,43.52,0,4,ll,upper,2.2328027018738794
7,neutral,4.42,at_ip,43.52,0,64,ll,upper,1.9007771553115163
7,neutral,21.76,above_ip,43.52,0,2,ll,upper,2.6351000626164023
7,neutral,-4.440892098500626e-16,below_ip,43.52,0,128,ll,upper,2.2760579032819805
7,neutral,2.7199999999999998,below_ip,43.52,0,32,ll,upper,2.3575939462025417
7,neutral,21.080000000000002,below_ip,43.52,0,2,ll,upper,1.7828065580797556
7,neutral,21.76,above_ip,43.52,0,2,ll,upper,1.7247358988861379
7,neutral,9.18,below_ip,43.52,0,16,ll,upper,4.9033424857570935
7,neutral,6.12,above_ip,43.52,0,32,ll,upper,1.758535623057469
7,neutral,2.7199999999999998,below_ip,43.52,0,32,ll,upper,2.0437608973697934
7,neutral,4.76,above_ip,43.52,0,128,ll,upper,1.6835002940479171
7,neutral,4.76,above_ip,43.52,0,128,ll,upper,2.650131057427643
7,neutral,16.66,above_ip,43.52,0,4,ll,upper,4.007122535942472
7,neutral,2.38,below_ip,43.52,0,64,ll,upper,2.1046414555494266
7,neutral,10.54,at_ip,43.52,0,16,ll,upper,1.7497601871236839
7,neutral,21.42,at_ip,43.52,0,2,ll,upper,1.7872530722015654
7,neutral,15.3,below_ip,43.52,0,4,ll,upper,1.7528143613999418
7,neutral,4.42,at_ip,43.52,0,32,ll,upper,1.6902010028552468
7,neutral,16.66,above_ip,43.52,0,4,ll,upper,1.5326531162481842
7,neutral,16.66,above_ip,43.52,0,4,ll,upper,1.646372795539719
7,neutral,6.46,above_ip,43.52,0,64,ll,upper,1.6950366566088633
7,neutral,4.42,at_ip,43.52,0,32,ll,upper,1.5840286383390776
7,neutral,4.76,above_ip,43.52,0,128,ll,upper,2.021277600022586
7,neutral,11.899999999999999,above_ip,43.52,0,16,ll,upper,1.5759156488456938
7,neutral,10.54,at_ip,43.52,0,16,ll,upper,2.4333307235938264
7,neutral,2.7199999999999998,below_ip,43.52,0,32,ll,upper,1.5268670468594792
7,neutral,21.080000000000002,below_ip,43.52,0,2,ll,upper,2.5343692014976114
7,neutral,15.98,at_ip,43.52,0,4,ll,upper,1.7249133137138415
7,neutral,9.52,below_ip,43.52,0,8,ll,upper,3.1719373925734544
7,neutral,2.38,at_ip,43.52,0,128,ll,upper,1.9742893560269295
7,neutral,6.46,above_ip,43.52,0,64,ll,upper,3.6716178992573987
7,neutral,6.46,above_ip,43.52,0,64,ll,upper,3.012622688871488
7,speedup,16.66,above_ip,43.52,0,4,ll,upper,5.52972386546935
7,speedup,16.66,above_ip,43.52,0,4,ll,upper,4.2652731344460335
7,speedup,6.12,above_ip,43.52,0,32,ll,upper,3.054245380608336
7,speedup,10.54,at_ip,43.52,0,8,ll,upper,4.02722143664505
7,speedup,4.76,above_ip,43.52,0,128,ll,upper,1.7656454123371077
7,speedup,15.3,below_ip,43.52,0,4,ll,upper,2.861715688552067
7,speedup,21.42,at_ip,43.52,0,2,ll,upper,1.6466117923755519
7,speedup,15.3,below_ip,43.52,0,4,ll,upper,1.8515901404352917
7,speedup,10.54,at_ip,43.52,0,16,ll,upper,2.338089458486138
7,speedup,-4.440892098500626e-16,below_ip,43.52,0,128,ll,upper,2.0297111091967963
7,speedup,21.76,above_ip,43.52,0,2,ll,upper,4.59646409819652
7,speedup,2.38,below_ip,43.52,0,64,ll,upper,5.3450737377734185
7,speedup,2.38,below_ip,43.52,0,64,ll,upper,2.520388326522152
7,speedup,9.52,below_ip,43.52,0,8,ll,upper,2.1542712743757875
7,speedup,15.3,below_ip,43.52,0,4,ll,upper,2.5294097972364398
7,speedup,21.42,at_ip,43.52,0,2,ll,upper,2.501206411223393
7,speedup,16.66,above_ip,43.52,0,4,ll,upper,5.460610086262022
7,speedup,21.080000000000002,below_ip,43.52,0,2,ll,upper,2.2221997465840104
7,speedup,11.899999999999999,above_ip,43.52,0,16,ll,upper,2.5921451468020678
7,speedup,6.12,above_ip,43.52,0,32,ll,upper,4.0308456843558815
7,speedup,9.18,below_ip,43.52,0,16,ll,upper,3.3490768614483386
7,speedup,2.7199999999999998,below_ip,43.52,0,32,ll,upper,1.6762550243529404
7,speedup,21.42,at_ip,43.52,0,2,ll,upper,1.5978499865923368
7,speedup,10.54,at_ip,43.52,0,8,ll,upper,1.7741639633313753
7,speedup,2.38,at_ip,43.52,0,128,ll,upper,3.1401033073998406
7,speedup,4.42,at_ip,43.52,0,64,ll,upper,2.2600791320655844
7,speedup,10.54,at_ip,43.52,0,16,ll,upper,3.4367804889516265
7,speedup,2.38,at_ip,43.52,0,128,ll,upper,1.7954159137952956
