subject_ix,stage_id,block_id,block_ix,iter_ix,frame,m_s,m_l,t_s,t_l,trial_type,choice,rt,trial_correct,too_fast,omission_error
61,calibration,i000,0,0,neutral,21.76,43.52,0,2,standard,ll,3.018113871260539,TRUE,FALSE,FALSE
61,calibration,i000,0,0,neutral,32.64,43.52,0,2,standard,ll,2.6048001931667386,TRUE,FALSE,FALSE
61,calibration,i000,0,0,neutral,38.08,43.52,0,2,standard,ll,2.1571683377196678,TRUE,FALSE,FALSE
61,calibration,i000,0,0,neutral,40.8,43.52,0,2,standard,ll,3.7158934489107196,TRUE,FALSE,FALSE
61,calibration,i000,0,0,neutral,42.16,43.52,0,2,standard,ll,2.0486770454854195,TRUE,FALSE,FALSE
61,calibration,i000,0,0,neutral,42.839999999999996,43.52,0,2,standard,ll,4.176472953954544,TRUE,FALSE,FALSE
61,calibration,i000,0,0,neutral,43.18,43.52,0,2,standard,ss,2.6574013209283294,TRUE,FALSE,FALSE
61,calibration,i000,0,0,neutral,21.76,43.52,0,4,standard,ll,1.9065525963833352,TRUE,FALSE,FALSE
61,calibration,i000,0,0,neutral,32.64,43.52,0,4,standard,ll,1.468737412916198,TRUE,TRUE,FALSE
61,calibration,i000,0,0,neutral,38.08,43.52,0,4,standard,ll,2.591482761536099,TRUE,FALSE,FALSE
61,calibration,i000,0,0,neutral,40.8,43.52,0,4,standard,ll,3.4358458728311234,TRUE,FALSE,FALSE
61,calibration,i000,0,0,neutral,42.16,43.52,0,4,standard,ll,2.589023315130362,TRUE,FALSE,FALSE
61,calibration,i000,0,0,neutral,42.839999999999996,43.52,0,4,standard,ll,1.5779999396863786,TRUE,FALSE,FALSE
61,calibration,i000,0,0,neutral,43.18,43.52,0,4,standard,ss,2.6748579067298124,TRUE,FALSE,FALSE
61,calibration,i000,0,0,neutral,21.76,43.52,0,8,standard,ll,2.4386498821950227,TRUE,FALSE,FALSE
61,calibration,i000,0,0,neutral,32.64,43.52,0,8,standard,ll,1.5455444550207176,TRUE,FALSE,FALSE
61,calibration,i000,0,0,neutral,38.08,43.52,0,8,standard,ss,2.3946601891721,TRUE,FALSE,FALSE
61,calibration,i000,0,0,neutral,35.36,43.52,0,8,standard,ll,1.9401098027783519,TRUE,FALSE,FALSE
61,calibration,i000,0,0,neutral,36.72,43.52,0,8,standard,ll,2.326800640658803,TRUE,FALSE,FALSE
61,calibration,i000,0,0,neutral,37.4,43.52,0,8,standard,ll,2.2680275838984016,TRUE,FALSE,FALSE
61,calibration,i000,0,0,neutral,37.74,43.52,0,8,standard,ll,3.0881319967384115,TRUE,FALSE,FALSE
61,calibration,i000,0,0,neutral,21.76,43.52,0,16,standard,ll,2.0710273050226533,TRUE,FALSE,FALSE
61,calibration,i000,0,0,neutral,32.64,43.52,0,16,standard,ll,1.7471431098465473,TRUE,FALSE,FALSE
61,calibration,i000,0,0,neutral,38.08,43.52,0,16,standard,ll,1.601114982366198,TRUE,FALSE,FALSE
61,calibration,i000,0,0,neutral,40.8,43.52,0,16,standard,ll,1.8864978592582702,TRUE,FALSE,FALSE
61,calibration,i000,0,0,neutral,42.16,43.52,0,16,standard,ss,2.432659471895022,TRUE,FALSE,FALSE
61,calibration,i000,0,0,neutral,41.48,43.52,0,16,standard,ss,1.3532730461511164,TRUE,TRUE,FALSE
61,calibration,i000,0,0,neutral,41.13999999999999,43.52,0,16,standard,ss,3.1842492267342095,TRUE,FALSE,FALSE
61,calibration,i000,0,0,neutral,21.76,43.52,0,32,standard,ll,2.872872227058906,TRUE,FALSE,FALSE
61,calibration,i000,0,0,neutral,32.64,43.52,0,32,standard,ll,2.0154975387422382,TRUE,FALSE,FALSE
61,calibration,i000,0,0,neutral,38.08,43.52,0,32,standard,ll,4.1922900065655995,TRUE,FALSE,FALSE
61,calibration,i000,0,0,neutral,40.8,43.52,0,32,standard,ll,3.1384079843364816,TRUE,FALSE,FALSE
61,calibration,i000,0,0,neutral,42.16,43.52,0,32,standard,ss,2.4824460334712057,TRUE,FALSE,FALSE
61,calibration,i000,0,0,neutral,41.48,43.52,0,32,standard,ss,1.7120217342453543,TRUE,FALSE,FALSE
61,calibration,i000,0,0,neutral,41.13999999999999,43.52,0,32,standard,ss,2.737728476859047,TRUE,FALSE,FALSE
61,calibration,i000,0,0,neutral,21.76,43.52,0,64,standard,ll,1.5770081848568225,TRUE,FALSE,FALSE
61,calibration,i000,0,0,neutral,32.64,43.52,0,64,standard,ll,2.42405478179262,TRUE,FALSE,FALSE
61,calibration,i000,0,0,neutral,38.08,43.52,0,64,standard,ll,1.4696910458851562,TRUE,TRUE,FALSE
