subject_ix,frame,m_s,m_s_cat,m_l,t_s,t_l,choice,response,rt
78,date,41.13999999999999,at_ip,43.52,0,32,ss,lower,2.948762891052411
78,date,39.099999999999994,below_ip,43.52,0,64,ll,upper,3.5057707591108738
78,date,44.54,above_ip,43.52,0,16,ss,lower,3.79202574684291
78,date,43.86,above_ip,43.52,0,4,ss,lower,2.625520022845876
78,date,43.18,at_ip,43.52,0,2,ll,upper,3.343002736781955
78,date,40.800000000000004,above_ip,43.52,0,128,ll,upper,2.5171718342060103
78,date,41.13999999999999,at_ip,43.52,0,64,ll,upper,3.1328600935823943
78,date,41.13999999999999,at_ip,43.52,0,32,ss,lower,2.82014208420037
78,date,36.04,below_ip,43.52,0,128,ll,upper,2.7147691600455346
78,date,43.17999999999999,above_ip,43.52,0,64,ss,lower,1.53950156658766
78,date,42.5,below_ip,43.52,0,4,ll,upper,1.7958781073339196
78,date,43.18,at_ip,43.52,0,2,ll,upper,2.4732492943048783
78,date,42.839999999999996,above_ip,43.52,0,32,ss,lower,2.186261780386758
78,date,41.13999999999999,at_ip,43.52,0,32,ll,upper,2.495838255328863
78,date,43.18,at_ip,43.52,0,16,ll,upper,2.8320970992335788
78,date,42.839999999999996,below_ip,43.52,0,2,ll,upper,2.631908366706284
78,date,44.2,above_ip,43.52,0,8,ss,lower,2.2886817266819435
78,date,43.18,at_ip,43.52,0,4,ll,upper,2.5917883356339644
78,date,41.82,below_ip,43.52,0,16,ll,upper,2.110353827668405
78,date,39.43999999999999,below_ip,43.52,0,32,ll,upper,2.847516218284227
78,date,36.04,below_ip,43.52,0,128,ss,lower,2.8803535080312486
78,date,42.839999999999996,above_ip,43.52,0,32,ss,lower,1.8190303921380746
78,date,43.17999999999999,above_ip,43.52,0,64,ss,lower,2.4476155697141166
78,date,43.86,above_ip,43.52,0,4,ss,lower,2.381464173735594
78,date,42.5,below_ip,43.52,0,4,ll,upper,3.1303419981622937
78,date,41.82,below_ip,43.52,0,16,ll,upper,1.8035581957296927
78,date,36.04,below_ip,43.52,0,128,ss,lower,2.1531532389494714
78,date,44.54,above_ip,43.52,0,16,ss,lower,2.199601791887744
78,date,43.18,at_ip,43.52,0,16,ll,upper,2.3523596004908995
78,date,43.86,above_ip,43.52,0,4,ss,lower,2.354673010851684
78,date,44.2,above_ip,43.52,0,8,ll,upper,2.2949079060181248
78,date,41.82,below_ip,43.52,0,16,ll,upper,3.2990159762105122
78,date,43.18,at_ip,43.52,0,8,ll,upper,2.21104538751797
78,date,38.42,at_ip,43.52,0,128,ll,upper,2.2688859249542475
78,date,42.5,below_ip,43.52,0,4,ss,lower,2.7446127108680685
78,date,44.54,above_ip,43.52,0,16,ll,upper,2.7998125764443103
78,date,43.35,above_ip,43.52,0,2,ll,upper,2.398854779395151
78,date,43.18,at_ip,43.52,0,4,ll,upper,2.054854558874922
78,date,41.82,below_ip,43.52,0,16,ll,upper,2.0987999718915944
78,date,43.18,at_ip,43.52,0,8,ll,upper,1.8209954273554558
78,date,44.54,above_ip,43.52,0,16,ss,lower,1.5609671057463856
78,date,42.16,below_ip,43.52,0,8,ll,upper,1.863432974219677
78,date,40.800000000000004,above_ip,43.52,0,128,ll,upper,1.709531216596588
78,date,42.839999999999996,below_ip,43.52,0,2,ll,upper,1.8305848344050446
78,date,42.839999999999996,above_ip,43.52,0,32,ll,upper,1.6789557260783567
78,date,39.43999999999999,below_ip,43.52,0,32,ss,lower,2.301508559309468
78,date,44.2,above_ip,43.52,0,8,ll,upper,1.9950225941652207
78,date,43.17999999999999,above_ip,43.52,0,64,ll,upper,3.1589087599477352
78,date,42.16,below_ip,43.52,0,8,ss,lower,1.9390532535237526
78,date,36.04,below_ip,43.52,0,128,ll,upper,2.576521117529637
78,date,42.5,below_ip,43.52,0,4,ll,upper,1.7999712220275796
78,date,43.35,above_ip,43.52,0,2,ss,lower,1.8052631225693858
78,date,42.16,below_ip,43.52,0,8,ll,upper,2.4357101130976844
78,date,40.800000000000004,above_ip,43.52,0,128,ss,lower,2.4014878268831126
78,date,43.86,above_ip,43.52,0,4,ll,upper,2.60381578219949
78,date,40.800000000000004,above_ip,43.52,0,128,ll,upper,1.685226771910493
78,date,43.18,at_ip,43.52,0,2,ll,upper,2.151626018622437
78,date,43.35,above_ip,43.52,0,2,ll,upper,2.0424019069571386
78,date,39.43999999999999,below_ip,43.52,0,32,ll,upper,1.9709090520200334
78,date,43.18,at_ip,43.52,0,8,ll,upper,2.044623238366057
78,date,43.18,at_ip,43.52,0,16,ll,upper,2.050971114406593
78,date,43.18,at_ip,43.52,0,4,ll,upper,2.2752833594117874
78,date,41.13999999999999,at_ip,43.52,0,32,ll,upper,2.267322048993492
78,date,41.13999999999999,at_ip,43.52,0,64,ll,upper,1.6824916751379533
78,date,43.18,at_ip,43.52,0,8,ll,upper,2.4297502002855254
78,date,43.18,at_ip,43.52,0,16,ll,upper,1.8341310470423196
78,date,42.16,below_ip,43.52,0,8,ll,upper,2.040173537666533
78,date,41.13999999999999,at_ip,43.52,0,64,ll,upper,1.9058494074388364
78,date,38.42,at_ip,43.52,0,128,ll,upper,1.593865097222988
78,date,41.13999999999999,at_ip,43.52,0,64,ll,upper,1.831539347109583
78,date,39.099999999999994,below_ip,43.52,0,64,ll,upper,1.96112815593915
78,date,44.2,above_ip,43.52,0,8,ss,lower,1.8574498950467841
78,date,43.35,above_ip,43.52,0,2,ll,upper,2.2810664454466405
78,date,42.839999999999996,below_ip,43.52,0,2,ll,upper,1.6639430446950882
78,date,42.839999999999996,below_ip,43.52,0,2,ll,upper,1.6162311919933927
78,date,39.099999999999994,below_ip,43.52,0,64,ll,upper,1.8845873803588802
78,date,39.099999999999994,below_ip,43.52,0,64,ll,upper,1.9636700042101438
78,date,43.18,at_ip,43.52,0,2,ss,lower,2.22445841704166
78,date,42.839999999999996,above_ip,43.52,0,32,ll,upper,1.844392278548412
78,date,43.18,at_ip,43.52,0,4,ll,upper,1.7853878514276857
78,date,39.43999999999999,below_ip,43.52,0,32,ll,upper,1.9019938212520628
78,date,38.42,at_ip,43.52,0,128,ll,upper,2.4704482173915494
78,date,38.42,at_ip,43.52,0,128,ll,upper,2.013099393289849
78,date,43.17999999999999,above_ip,43.52,0,64,ll,upper,1.8340982035942943
78,delay,42.16,below_ip,43.52,0,8,ll,upper,1.5896919266251643
78,delay,41.82,below_ip,43.52,0,16,ll,upper,2.3122521789564416
78,delay,39.099999999999994,below_ip,43.52,0,64,ss,lower,2.597729187516734
78,delay,43.18,at_ip,43.52,0,2,ss,lower,2.79707161477063
78,delay,39.43999999999999,below_ip,43.52,0,32,ss,lower,2.1467335178665508
78,delay,44.2,above_ip,43.52,0,8,ss,lower,1.9435302260146727
78,delay,43.17999999999999,above_ip,43.52,0,64,ss,lower,1.753489239151122
78,delay,42.16,below_ip,43.52,0,8,ss,lower,1.652857794540978
78,delay,44.2,above_ip,43.52,0,8,ll,upper,2.402038541125421
78,delay,43.17999999999999,above_ip,43.52,0,64,ll,upper,3.118937110881234
78,delay,41.13999999999999,at_ip,43.52,0,32,ss,lower,2.136393403436614
78,delay,42.839999999999996,above_ip,43.52,0,32,ss,lower,2.495889573216118
78,delay,41.82,below_ip,43.52,0,16,ll,upper,2.25976688299761
78,delay,36.04,below_ip,43.52,0,128,ss,lower,2.134159462489606
78,delay,41.13999999999999,at_ip,43.52,0,32,ss,lower,2.1819701387803434
78,delay,44.2,above_ip,43.52,0,8,ss,lower,2.0077702506239348
78,delay,44.54,above_ip,43.52,0,16,ss,lower,2.0157863978704427
78,delay,43.18,at_ip,43.52,0,16,ss,lower,2.4296845133897023
78,delay,41.13999999999999,at_ip,43.52,0,32,ss,lower,1.912224262025802
78,delay,44.54,above_ip,43.52,0,16,ss,lower,2.1606216044044686
78,delay,42.839999999999996,above_ip,43.52,0,32,ss,lower,1.800538944483833
78,delay,44.54,above_ip,43.52,0,16,ss,lower,1.9787084911592956
78,delay,43.18,at_ip,43.52,0,16,ss,lower,1.8640109602536086
78,delay,43.18,at_ip,43.52,0,2,ss,lower,2.332090207974261
78,delay,39.43999999999999,below_ip,43.52,0,32,ss,lower,2.148354283371191
78,delay,43.35,above_ip,43.52,0,2,ss,lower,1.882870723715996
78,delay,43.18,at_ip,43.52,0,8,ss,lower,1.8685536196403518
78,delay,42.5,below_ip,43.52,0,4,ss,lower,1.6923640636807704
78,delay,43.18,at_ip,43.52,0,8,ss,lower,1.9392520736814731
78,delay,43.18,at_ip,43.52,0,4,ss,lower,1.9215309808275833
78,delay,41.82,below_ip,43.52,0,16,ss,lower,1.9827450095544918
78,delay,43.18,at_ip,43.52,0,16,ss,lower,2.1493882654897334
78,delay,42.839999999999996,below_ip,43.52,0,2,ss,lower,1.5718775818386348
78,delay,42.839999999999996,below_ip,43.52,0,2,ll,upper,2.4104570206086464
78,delay,40.800000000000004,above_ip,43.52,0,128,ss,lower,1.8783430198279802
78,delay,41.13999999999999,at_ip,43.52,0,64,ss,lower,2.004284446471047
78,delay,39.43999999999999,below_ip,43.52,0,32,ss,lower,1.8731329346608163
78,delay,42.16,below_ip,43.52,0,8,ss,lower,1.9210603224894385
78,delay,43.18,at_ip,43.52,0,16,ss,lower,2.169728036823244
78,delay,36.04,below_ip,43.52,0,128,ss,lower,2.183005587124171
78,delay,42.5,below_ip,43.52,0,4,ss,lower,2.492662704460372
78,delay,43.17999999999999,above_ip,43.52,0,64,ss,lower,2.2780375171137166
78,delay,43.35,above_ip,43.52,0,2,ll,upper,2.643620574820943
78,delay,43.86,above_ip,43.52,0,4,ss,lower,2.9234476306082797
78,delay,38.42,at_ip,43.52,0,128,ss,lower,1.843374718153882
78,delay,43.18,at_ip,43.52,0,8,ss,lower,2.1119133049533048
78,delay,40.800000000000004,above_ip,43.52,0,128,ss,lower,2.114021443764841
78,delay,43.86,above_ip,43.52,0,4,ss,lower,1.803487523667627
78,delay,44.2,above_ip,43.52,0,8,ss,lower,1.6384556493947002
78,delay,43.18,at_ip,43.52,0,2,ss,lower,2.0912967102733546
78,delay,41.13999999999999,at_ip,43.52,0,64,ss,lower,1.829078727723072
78,delay,41.82,below_ip,43.52,0,16,ss,lower,1.8645258985973214
