subject_ix,frame,m_s,m_s_cat,m_l,t_s,t_l,choice,response,rt
59,speedup,15.64,above_ip,43.52,0,32,ss,lower,5.673639151061252
59,speedup,8.5,at_ip,43.52,0,64,ss,lower,3.436954896532825
59,speedup,15.64,above_ip,43.52,0,32,ss,lower,1.7477867536213125
59,speedup,41.13999999999999,at_ip,43.52,0,16,ll,upper,6.032960253533929
59,speedup,5.78,at_ip,43.52,0,128,ss,lower,3.382899273221483
59,speedup,43.18,at_ip,43.52,0,4,ll,upper,4.381061506364858
59,speedup,6.46,below_ip,43.52,0,64,ss,lower,2.1019508482845595
59,speedup,8.5,at_ip,43.52,0,64,ss,lower,5.553415416802181
59,speedup,43.35,above_ip,43.52,0,2,ll,upper,6.5534033937547065
59,speedup,42.49999999999999,above_ip,43.52,0,16,ss,lower,2.0918368258035116
59,speedup,43.18,at_ip,43.52,0,2,ss,lower,3.374951745321141
59,speedup,3.4,below_ip,43.52,0,128,ll,upper,3.0776663442629797
59,speedup,43.86,above_ip,43.52,0,4,ss,lower,5.623981617316986
59,speedup,8.16,above_ip,43.52,0,128,ss,lower,4.529266392003137
59,speedup,43.35,above_ip,43.52,0,2,ss,lower,4.596175239998502
59,speedup,13.94,at_ip,43.52,0,32,ss,lower,4.845850837639773
59,speedup,43.18,at_ip,43.52,0,8,ll,upper,6.7639035026943475
59,speedup,15.64,above_ip,43.52,0,32,ss,lower,3.4584591440407166
59,speedup,8.5,at_ip,43.52,0,64,ss,lower,6.635467440237335
59,speedup,42.16,below_ip,43.52,0,8,ll,upper,2.542673556625232
59,speedup,43.86,above_ip,43.52,0,4,ss,lower,7.834616325743809
59,speedup,6.46,below_ip,43.52,0,64,ss,lower,4.101610684002935
59,speedup,43.35,above_ip,43.52,0,2,ll,upper,4.940590988783697
59,speedup,3.4,below_ip,43.52,0,128,ll,upper,6.072042490301101
59,speedup,10.54,above_ip,43.52,0,64,ss,lower,5.120152569808852
59,speedup,6.46,below_ip,43.52,0,64,ss,lower,3.0904653186084943
59,speedup,8.16,above_ip,43.52,0,128,ss,lower,5.402602116261278
59,speedup,13.94,at_ip,43.52,0,32,ss,lower,2.293993819244406
59,speedup,43.18,at_ip,43.52,0,4,ll,upper,4.7274358389754525
59,speedup,43.18,at_ip,43.52,0,2,ll,upper,4.157288245798554
59,speedup,39.779999999999994,below_ip,43.52,0,16,ll,upper,3.718083373942136
59,speedup,43.18,at_ip,43.52,0,4,ll,upper,5.0702680643798885
59,speedup,44.2,above_ip,43.52,0,8,ss,lower,3.246482252925489
59,speedup,43.18,at_ip,43.52,0,2,ll,upper,4.768132389855964
59,speedup,43.18,at_ip,43.52,0,8,ll,upper,5.022736264150808
59,speedup,8.16,above_ip,43.52,0,128,ss,lower,2.7808134796837294
59,speedup,42.5,below_ip,43.52,0,4,ll,upper,5.299585416247737
59,speedup,41.13999999999999,at_ip,43.52,0,16,ll,upper,4.521421793122954
59,speedup,43.18,at_ip,43.52,0,4,ll,upper,5.088330787740688
59,speedup,43.86,above_ip,43.52,0,4,ss,lower,6.305519816738979
59,speedup,12.239999999999998,below_ip,43.52,0,32,ss,lower,3.7941124368753663
59,speedup,43.18,at_ip,43.52,0,2,ll,upper,3.8920841486960853
59,speedup,15.64,above_ip,43.52,0,32,ss,lower,1.9246252609214025
59,speedup,10.54,above_ip,43.52,0,64,ss,lower,1.5655367017898243
59,speedup,44.2,above_ip,43.52,0,8,ss,lower,4.7853945541746725
59,speedup,5.78,at_ip,43.52,0,128,ss,lower,2.2021869985392186
59,speedup,42.16,below_ip,43.52,0,8,ll,upper,5.085828820799634
59,speedup,8.16,above_ip,43.52,0,128,ss,lower,4.134650019602759
59,speedup,42.49999999999999,above_ip,43.52,0,16,ss,lower,2.9163050185366046
59,speedup,8.5,at_ip,43.52,0,64,ss,lower,3.071423449957365
59,speedup,42.16,below_ip,43.52,0,8,ll,upper,4.152295161983602
59,speedup,42.839999999999996,below_ip,43.52,0,2,ll,upper,5.665468463662364
59,speedup,43.35,above_ip,43.52,0,2,ss,lower,3.163725268340386
59,speedup,6.46,below_ip,43.52,0,64,ss,lower,4.2849879698842415
59,speedup,5.78,at_ip,43.52,0,128,ss,lower,2.4083224478508782
59,speedup,12.239999999999998,below_ip,43.52,0,32,ss,lower,3.780527858984442
59,speedup,10.54,above_ip,43.52,0,64,ss,lower,3.161906855658799
59,speedup,13.94,at_ip,43.52,0,32,ss,lower,5.032116880710873
59,speedup,10.54,above_ip,43.52,0,64,ss,lower,6.934290911689914
59,speedup,41.13999999999999,at_ip,43.52,0,16,ll,upper,2.089363303633945
59,speedup,12.239999999999998,below_ip,43.52,0,32,ss,lower,2.2037678827141463
59,speedup,42.16,below_ip,43.52,0,8,ll,upper,5.2664009243371765
59,speedup,3.4,below_ip,43.52,0,128,ll,upper,4.576209062885482
59,speedup,42.49999999999999,above_ip,43.52,0,16,ll,upper,7.042015368065222
59,speedup,39.779999999999994,below_ip,43.52,0,16,ll,upper,2.5182969736520135
59,speedup,43.18,at_ip,43.52,0,8,ll,upper,4.5548889732808675
59,speedup,42.5,below_ip,43.52,0,4,ll,upper,4.0120800315353335
59,speedup,13.94,at_ip,43.52,0,32,ss,lower,2.4427244932940084
59,speedup,43.86,above_ip,43.52,0,4,ss,lower,4.561350335164207
59,speedup,44.2,above_ip,43.52,0,8,ss,lower,2.675932327512328
59,speedup,3.4,below_ip,43.52,0,128,ll,upper,4.109000459778144
59,speedup,39.779999999999994,below_ip,43.52,0,16,ss,lower,6.589190728909671
59,speedup,44.2,above_ip,43.52,0,8,ss,lower,5.3860290778584385
59,speedup,42.839999999999996,below_ip,43.52,0,2,ss,lower,7.972125977172254
59,speedup,42.5,below_ip,43.52,0,4,ll,upper,2.79570710356802
59,speedup,42.5,below_ip,43.52,0,4,ll,upper,5.235410785289332
59,speedup,42.839999999999996,below_ip,43.52,0,2,ll,upper,4.7423485237895875
59,speedup,39.779999999999994,below_ip,43.52,0,16,ll,upper,2.1900287646722063
59,speedup,42.49999999999999,above_ip,43.52,0,16,ss,lower,5.9506035484705535
59,speedup,43.18,at_ip,43.52,0,8,ss,lower,6.269831011926726
59,speedup,5.78,at_ip,43.52,0,128,ll,upper,2.6210424219752895
59,speedup,42.839999999999996,below_ip,43.52,0,2,ll,upper,4.370269501280745
59,defer,3.4,below_ip,43.52,0,128,ll,upper,7.439921363665235
59,defer,43.18,at_ip,43.52,0,8,ss,lower,5.947647638159651
59,defer,41.13999999999999,at_ip,43.52,0,16,ll,upper,5.253070296678288
