subject_ix,stage_id,block_id,block_ix,iter_ix,frame,m_s,m_l,t_s,t_l,trial_type,choice,rt,trial_correct,too_fast,omission_error
79,calibration,i000,0,0,neutral,21.76,43.52,0,2,standard,ll,2.7124750730022242,TRUE,FALSE,FALSE
79,calibration,i000,0,0,neutral,32.64,43.52,0,2,standard,ll,3.47163031110847,TRUE,FALSE,FALSE
79,calibration,i000,0,0,neutral,38.08,43.52,0,2,standard,ll,4.120052921960905,TRUE,FALSE,FALSE
79,calibration,i000,0,0,neutral,40.8,43.52,0,2,standard,ss,2.839700192991586,TRUE,FALSE,FALSE
79,calibration,i000,0,0,neutral,39.44,43.52,0,2,standard,ss,4.168364744175847,TRUE,FALSE,FALSE
79,calibration,i000,0,0,neutral,38.76,43.52,0,2,standard,ll,5.037499845024854,TRUE,FALSE,FALSE
79,calibration,i000,0,0,neutral,39.1,43.52,0,2,standard,ss,4.1955249686504885,TRUE,FALSE,FALSE
79,calibration,i000,0,0,neutral,21.76,43.52,0,4,standard,ll,3.0499912785530796,TRUE,FALSE,FALSE
79,calibration,i000,0,0,neutral,32.64,43.52,0,4,standard,ll,3.912535364542464,TRUE,FALSE,FALSE
79,calibration,i000,0,0,neutral,38.08,43.52,0,4,standard,ss,3.643046842661647,TRUE,FALSE,FALSE
79,calibration,i000,0,0,neutral,35.36,43.52,0,4,standard,ll,4.311199097568192,TRUE,FALSE,FALSE
79,calibration,i000,0,0,neutral,36.72,43.52,0,4,standard,ll,3.4704579104407003,TRUE,FALSE,FALSE
79,calibration,i000,0,0,neutral,37.4,43.52,0,4,standard,ll,4.321780321503979,TRUE,FALSE,FALSE
79,calibration,i000,0,0,neutral,37.74,43.52,0,4,standard,ll,3.907071590344799,TRUE,FALSE,FALSE
79,calibration,i000,0,0,neutral,21.76,43.52,0,8,standard,ll,3.010195636376352,TRUE,FALSE,FALSE
79,calibration,i000,0,0,neutral,32.64,43.52,0,8,standard,ll,3.921736275836224,TRUE,FALSE,FALSE
79,calibration,i000,0,0,neutral,38.08,43.52,0,8,standard,ss,3.168723385000476,TRUE,FALSE,FALSE
79,calibration,i000,0,0,neutral,35.36,43.52,0,8,standard,ss,3.867888540713011,TRUE,FALSE,FALSE
79,calibration,i000,0,0,neutral,34,43.52,0,8,standard,ll,5.303246244614229,TRUE,FALSE,FALSE
79,calibration,i000,0,0,neutral,34.68,43.52,0,8,standard,ll,4.000482716186639,TRUE,FALSE,FALSE
79,calibration,i000,0,0,neutral,35.02,43.52,0,8,standard,ll,3.9129151191359597,TRUE,FALSE,FALSE
79,calibration,i000,0,0,neutral,21.76,43.52,0,16,standard,ll,3.6124160424234333,TRUE,FALSE,FALSE
79,calibration,i000,0,0,neutral,32.64,43.52,0,16,standard,ss,3.6119151769055406,TRUE,FALSE,FALSE
79,calibration,i000,0,0,neutral,27.2,43.52,0,16,standard,ll,4.968163400929711,TRUE,FALSE,FALSE
79,calibration,i000,0,0,neutral,29.919999999999998,43.52,0,16,standard,ll,3.6340470986660875,TRUE,FALSE,FALSE
79,calibration,i000,0,0,neutral,31.279999999999998,43.52,0,16,standard,ss,4.365074984383114,TRUE,FALSE,FALSE
79,calibration,i000,0,0,neutral,30.599999999999998,43.52,0,16,standard,ss,3.91072192639092,TRUE,FALSE,FALSE
79,calibration,i000,0,0,neutral,30.259999999999998,43.52,0,16,standard,ss,3.001649251918593,TRUE,FALSE,FALSE
79,calibration,i000,0,0,neutral,21.76,43.52,0,32,standard,ss,3.754589124303493,TRUE,FALSE,FALSE
79,calibration,i000,0,0,neutral,10.88,43.52,0,32,standard,ll,4.260457139201549,TRUE,FALSE,FALSE
79,calibration,i000,0,0,neutral,16.32,43.52,0,32,standard,ll,4.842261410458491,TRUE,FALSE,FALSE
79,calibration,i000,0,0,neutral,19.04,43.52,0,32,standard,ll,4.2947678934118585,TRUE,FALSE,FALSE
79,calibration,i000,0,0,neutral,20.4,43.52,0,32,standard,ll,2.970952177905815,TRUE,FALSE,FALSE
79,calibration,i000,0,0,neutral,21.08,43.52,0,32,standard,ss,4.696992815459566,TRUE,FALSE,FALSE
79,calibration,i000,0,0,neutral,20.74,43.52,0,32,standard,ss,4.081290974720105,TRUE,FALSE,FALSE
79,calibration,i000,0,0,neutral,21.76,43.52,0,64,standard,ss,3.613702222845859,TRUE,FALSE,FALSE
79,calibration,i000,0,0,neutral,10.88,43.52,0,64,standard,ss,5.953230981118736,TRUE,FALSE,FALSE
79,calibration,i000,0,0,neutral,5.44,43.52,0,64,standard,ll,3.7494012953355877,TRUE,FALSE,FALSE
79,calibration,i000,0,0,neutral,8.16,43.52,0,64,standard,ss,3.5183333814317166,TRUE,FALSE,FALSE
79,calibration,i000,0,0,neutral,6.8,43.52,0,64,standard,ss,4.007767259705474,TRUE,FALSE,FALSE
79,calibration,i000,0,0,neutral,6.12,43.52,0,64,standard,ss,3.466862704791083,TRUE,FALSE,FALSE
79,calibration,i000,0,0,neutral,5.78,43.52,0,64,standard,ss,4.8162404497643365,TRUE,FALSE,FALSE
79,calibration,i000,0,0,neutral,21.76,43.52,0,128,standard,ss,3.429761120877174,TRUE,FALSE,FALSE
79,calibration,i000,0,0,neutral,10.88,43.52,0,128,standard,ss,3.409972534218241,TRUE,FALSE,FALSE
79,calibration,i000,0,0,neutral,5.44,43.52,0,128,standard,ss,3.6248992650413356,TRUE,FALSE,FALSE
79,calibration,i000,0,0,neutral,2.72,43.52,0,128,standard,ll,4.388726804257999,TRUE,FALSE,FALSE
79,calibration,i000,0,0,neutral,4.08,43.52,0,128,standard,ss,3.169131877779364,TRUE,FALSE,FALSE
79,calibration,i000,0,0,neutral,3.4,43.52,0,128,standard,ss,3.303917779764106,TRUE,FALSE,FALSE
79,calibration,i000,0,0,neutral,3.06,43.52,0,128,standard,ss,2.8865624963219716,TRUE,FALSE,FALSE
