subject_ix,frame,m_s,m_s_cat,m_l,t_s,t_l,choice,response,rt
56,delay,34.68000000000001,above_ip,43.52,0,8,ll,upper,9.672225080429598
56,delay,34.34,below_ip,43.52,0,4,ll,upper,3.8396062856991193
56,delay,19.38,at_ip,43.52,0,64,ss,lower,6.428995651370315
56,delay,34.339999999999996,above_ip,43.52,0,16,ss,lower,7.651758681240608
56,delay,27.88,below_ip,43.52,0,32,ll,upper,7.549124936916087
56,delay,18.02,at_ip,43.52,0,128,ss,lower,4.78450568237804
56,delay,29.58,at_ip,43.52,0,32,ss,lower,4.865093906977563
56,delay,15.639999999999999,below_ip,43.52,0,128,ss,lower,7.576657937162963
56,delay,19.38,at_ip,43.52,0,64,ss,lower,5.715080681659856
56,delay,33.660000000000004,at_ip,43.52,0,8,ll,upper,5.51382477498646
56,delay,35.02,at_ip,43.52,0,4,ll,upper,2.622888193757717
56,delay,20.4,above_ip,43.52,0,128,ss,lower,1.9375111724975795
56,delay,35.36,below_ip,43.52,0,2,ll,upper,2.4971573556595104
56,delay,32.98,at_ip,43.52,0,16,ll,upper,4.782869672447305
56,delay,27.88,below_ip,43.52,0,32,ss,lower,5.393717776007179
56,delay,21.419999999999998,above_ip,43.52,0,64,ss,lower,4.95119395137408
56,delay,35.7,at_ip,43.52,0,2,ll,upper,2.8381517939878904
56,delay,34.68000000000001,above_ip,43.52,0,8,ss,lower,6.4911508327340925
56,delay,34.34,below_ip,43.52,0,4,ll,upper,3.372999773212541
56,delay,31.279999999999998,above_ip,43.52,0,32,ss,lower,3.341386571823932
56,delay,19.38,at_ip,43.52,0,64,ss,lower,6.6338751778166625
56,delay,33.660000000000004,at_ip,43.52,0,8,ll,upper,7.781302868171224
56,delay,29.58,at_ip,43.52,0,32,ss,lower,6.00062672893182
56,delay,17.34,below_ip,43.52,0,64,ss,lower,5.6745974267887505
56,delay,15.639999999999999,below_ip,43.52,0,128,ss,lower,6.508784785261923
56,delay,35.02,at_ip,43.52,0,4,ll,upper,6.758901936357688
56,delay,32.64,below_ip,43.52,0,8,ss,lower,3.3584179073222913
56,delay,35.02,at_ip,43.52,0,4,ll,upper,6.025625511968428
56,delay,31.279999999999998,above_ip,43.52,0,32,ss,lower,6.837280271938653
56,delay,29.58,at_ip,43.52,0,32,ss,lower,5.41388799845663
56,delay,27.88,below_ip,43.52,0,32,ss,lower,5.531805342273401
56,delay,32.64,below_ip,43.52,0,8,ll,upper,3.5518638386456587
56,delay,35.36,below_ip,43.52,0,2,ll,upper,4.787878578276832
56,delay,35.02,at_ip,43.52,0,4,ll,upper,5.492525268751706
56,delay,20.4,above_ip,43.52,0,128,ss,lower,3.9983171368521653
56,delay,32.98,at_ip,43.52,0,16,ss,lower,7.670684374895245
56,delay,18.02,at_ip,43.52,0,128,ss,lower,6.769802999838248
56,delay,36.040000000000006,above_ip,43.52,0,2,ll,upper,4.57043030803743
56,delay,18.02,at_ip,43.52,0,128,ss,lower,5.085726517033436
56,delay,35.36,below_ip,43.52,0,2,ll,upper,3.446703501461343
56,delay,33.660000000000004,at_ip,43.52,0,8,ll,upper,5.796554797278986
56,delay,31.619999999999997,below_ip,43.52,0,16,ss,lower,6.280175343851624
56,delay,34.339999999999996,above_ip,43.52,0,16,ss,lower,6.732422562869033
56,delay,32.64,below_ip,43.52,0,8,ll,upper,10.401167647361035
56,delay,15.639999999999999,below_ip,43.52,0,128,ss,lower,6.174946094257393
56,delay,19.38,at_ip,43.52,0,64,ss,lower,9.005287553781272
56,delay,31.279999999999998,above_ip,43.52,0,32,ss,lower,7.364701839353074
56,delay,31.619999999999997,below_ip,43.52,0,16,ss,lower,7.966253512223375
56,delay,35.7,at_ip,43.52,0,2,ll,upper,3.1005435648494313
56,delay,35.7,at_ip,43.52,0,2,ll,upper,2.509186823192067
56,delay,35.7,above_ip,43.52,0,4,ll,upper,6.010433697942062
56,delay,31.279999999999998,above_ip,43.52,0,32,ss,lower,4.951429133300735
56,delay,21.419999999999998,above_ip,43.52,0,64,ss,lower,4.724972398271348
56,delay,32.98,at_ip,43.52,0,16,ss,lower,6.555929084328454
56,delay,18.02,at_ip,43.52,0,128,ss,lower,5.05564287789548
56,delay,31.619999999999997,below_ip,43.52,0,16,ll,upper,3.940968522753792
56,delay,31.619999999999997,below_ip,43.52,0,16,ll,upper,4.418065263461358
56,delay,34.68000000000001,above_ip,43.52,0,8,ll,upper,7.891346309381333
56,delay,17.34,below_ip,43.52,0,64,ss,lower,10.097822844266375
56,delay,21.419999999999998,above_ip,43.52,0,64,ss,lower,7.700553652452982
56,delay,36.040000000000006,above_ip,43.52,0,2,ll,upper,2.5869760309806225
56,delay,35.7,above_ip,43.52,0,4,ll,upper,5.351040174065929
56,delay,35.36,below_ip,43.52,0,2,ll,upper,2.790035976566287
56,delay,36.040000000000006,above_ip,43.52,0,2,ll,upper,3.574770323625671
56,delay,21.419999999999998,above_ip,43.52,0,64,ss,lower,8.646150090825358
56,delay,36.040000000000006,above_ip,43.52,0,2,ll,upper,4.298381709246314
56,delay,34.339999999999996,above_ip,43.52,0,16,ss,lower,11.351751291485016
56,delay,15.639999999999999,below_ip,43.52,0,128,ss,lower,9.670033665801384
56,delay,34.68000000000001,above_ip,43.52,0,8,ll,upper,6.4582869444202515
56,delay,20.4,above_ip,43.52,0,128,ss,lower,2.9522238253439355
56,delay,33.660000000000004,at_ip,43.52,0,8,ll,upper,7.9705979264772395
56,delay,34.34,below_ip,43.52,0,4,ll,upper,4.975816501978443
56,delay,35.7,above_ip,43.52,0,4,ll,upper,6.728259080347016
56,delay,32.98,at_ip,43.52,0,16,ss,lower,8.228352625277694
56,delay,20.4,above_ip,43.52,0,128,ss,lower,3.8136098855666205
56,delay,34.339999999999996,above_ip,43.52,0,16,ss,lower,6.270377172170811
56,delay,17.34,below_ip,43.52,0,64,ss,lower,8.548015886986832
56,delay,34.34,below_ip,43.52,0,4,ll,upper,3.1925724224347505
56,delay,29.58,at_ip,43.52,0,32,ss,lower,8.709604051176939
56,delay,35.7,above_ip,43.52,0,4,ll,upper,3.5465678466498503
56,delay,35.7,at_ip,43.52,0,2,ll,upper,2.8324748776512934
56,delay,32.64,below_ip,43.52,0,8,ll,upper,11.446001767859343
56,date,21.419999999999998,above_ip,43.52,0,64,ss,lower,7.562943781146714
56,date,15.639999999999999,below_ip,43.52,0,128,ss,lower,7.496463246409803
56,date,33.660000000000004,at_ip,43.52,0,8,ll,upper,4.813339221080241
