subject_ix,frame,m_s,m_s_cat,m_l,t_s,t_l,choice,response,rt
19,neutral,35.02,at_ip,43.52,0,2,ll,upper,1.5484615924688114
19,neutral,30.94,at_ip,43.52,0,32,ll,upper,3.72484624189201
19,neutral,22.44,below_ip,43.52,0,128,ll,upper,2.7922556657576934
19,neutral,22.44,below_ip,43.52,0,128,ll,upper,2.002722143592109
19,neutral,33.66,above_ip,43.52,0,16,ll,upper,2.7296420139646216
19,neutral,28.9,above_ip,43.52,0,64,ll,upper,2.5171081401967967
19,neutral,38.42,at_ip,43.52,0,4,ll,upper,2.0891281502426864
19,neutral,33.32,above_ip,43.52,0,8,ll,upper,2.2343872008186736
19,neutral,26.86,at_ip,43.52,0,64,ll,upper,2.6511762739410187
19,neutral,27.2,above_ip,43.52,0,128,ll,upper,3.1202701709589746
19,neutral,38.42,at_ip,43.52,0,4,ll,upper,1.7476380357675225
19,neutral,29.240000000000002,below_ip,43.52,0,32,ll,upper,2.3982589730057953
19,neutral,35.36000000000001,above_ip,43.52,0,2,ll,upper,1.8525614585432777
19,neutral,28.9,above_ip,43.52,0,64,ll,upper,2.5371196530995803
19,neutral,24.82,at_ip,43.52,0,128,ll,upper,5.1007351854877925
19,neutral,31.279999999999998,below_ip,43.52,0,8,ll,upper,2.4167365074499685
19,neutral,38.42,at_ip,43.52,0,4,ll,upper,2.8528799254909245
19,neutral,32.3,at_ip,43.52,0,16,ll,upper,6.676853624696378
19,neutral,26.86,at_ip,43.52,0,64,ll,upper,5.201756655027566
19,neutral,33.32,above_ip,43.52,0,8,ll,upper,2.3553190128222923
19,neutral,33.32,above_ip,43.52,0,8,ll,upper,1.7963083482845832
19,neutral,37.74,below_ip,43.52,0,4,ll,upper,2.2874491901457077
19,neutral,30.939999999999998,below_ip,43.52,0,16,ll,upper,2.3733710449268983
19,neutral,34.68,below_ip,43.52,0,2,ll,upper,2.1887657841198234
19,neutral,37.74,below_ip,43.52,0,4,ll,upper,1.8433596405229764
19,neutral,35.02,at_ip,43.52,0,2,ll,upper,1.8475812336982926
19,neutral,27.2,above_ip,43.52,0,128,ll,upper,4.6915256843822135
19,neutral,32.64,above_ip,43.52,0,32,ll,upper,5.091782921219419
19,neutral,32.3,at_ip,43.52,0,16,ll,upper,2.4868051010053023
19,neutral,24.82,at_ip,43.52,0,128,ll,upper,4.087427900367402
19,neutral,26.86,at_ip,43.52,0,64,ll,upper,2.170424023339365
19,neutral,39.1,above_ip,43.52,0,4,ll,upper,3.231043591111302
