subject_ix,stage_id,block_id,block_ix,iter_ix,frame,m_s,m_l,t_s,t_l,trial_type,choice,rt,trial_correct,too_fast,omission_error
80,calibration,i000,0,0,neutral,21.76,43.52,0,2,standard,ll,5.131901497277795,TRUE,FALSE,FALSE
80,calibration,i000,0,0,neutral,32.64,43.52,0,2,standard,ll,3.107204252595693,TRUE,FALSE,FALSE
80,calibration,i000,0,0,neutral,38.08,43.52,0,2,standard,ll,4.340916372808351,TRUE,FALSE,FALSE
80,calibration,i000,0,0,neutral,40.8,43.52,0,2,standard,ss,4.73265127067134,TRUE,FALSE,FALSE
80,calibration,i000,0,0,neutral,39.44,43.52,0,2,standard,ll,7.9524236114575615,TRUE,FALSE,FALSE
80,calibration,i000,0,0,neutral,40.12,43.52,0,2,standard,ll,3.3374287887309038,TRUE,FALSE,FALSE
80,calibration,i000,0,0,neutral,40.46,43.52,0,2,standard,ll,3.32385967324808,TRUE,FALSE,FALSE
80,calibration,i000,0,0,neutral,21.76,43.52,0,4,standard,ll,2.172387442398758,TRUE,FALSE,FALSE
80,calibration,i000,0,0,neutral,32.64,43.52,0,4,standard,ll,3.153858937197583,TRUE,FALSE,FALSE
80,calibration,i000,0,0,neutral,38.08,43.52,0,4,standard,ll,2.3874942267520964,TRUE,FALSE,FALSE
80,calibration,i000,0,0,neutral,40.8,43.52,0,4,standard,ll,18.025616250846724,TRUE,FALSE,FALSE
80,calibration,i000,0,0,neutral,42.16,43.52,0,4,standard,ss,3.6248678263873444,TRUE,FALSE,FALSE
80,calibration,i000,0,0,neutral,41.48,43.52,0,4,standard,ll,7.508565269599785,TRUE,FALSE,FALSE
80,calibration,i000,0,0,neutral,41.82,43.52,0,4,standard,ll,10.366650831387233,TRUE,FALSE,FALSE
80,calibration,i000,0,0,neutral,21.76,43.52,0,8,standard,ll,2.427036210454389,TRUE,FALSE,FALSE
80,calibration,i000,0,0,neutral,32.64,43.52,0,8,standard,ll,1.5974504244786658,TRUE,FALSE,FALSE
