subject_ix,frame,m_s,m_s_cat,m_l,t_s,t_l,choice,response,rt
80,delay,34.68,above_ip,43.52,0,128,ll,upper,7.713347420956779
80,delay,41.14,below_ip,43.52,0,4,ll,upper,4.192968968378409
80,delay,40.12,below_ip,43.52,0,2,ll,upper,1.7535926104628743
80,delay,42.5,above_ip,43.52,0,4,ss,lower,4.88314229776006
80,delay,35.02,at_ip,43.52,0,64,ll,upper,2.5398828538200178
80,delay,41.14,above_ip,43.52,0,16,ll,upper,7.9277342844397936
80,delay,32.98,below_ip,43.52,0,64,ll,upper,1.7813317041018308
80,delay,41.14,below_ip,43.52,0,4,ll,upper,2.865093251060898
80,delay,36.04,below_ip,43.52,0,32,ll,upper,3.162156355132538
80,delay,39.44,above_ip,43.52,0,32,ll,upper,2.53484927266436
80,delay,37.06,above_ip,43.52,0,64,ll,upper,3.8360360130991467
80,delay,37.74,at_ip,43.52,0,32,ll,upper,1.9022059783528675
80,delay,41.48,above_ip,43.52,0,8,ll,upper,4.4293505141249625
80,delay,34.68,above_ip,43.52,0,128,ll,upper,2.5826309046824463
80,delay,29.92,below_ip,43.52,0,128,ll,upper,5.112697937966004
80,delay,35.02,at_ip,43.52,0,64,ll,upper,2.941499288777777
80,delay,40.46,at_ip,43.52,0,8,ll,upper,2.7663623351963906
80,delay,40.8,above_ip,43.52,0,2,ll,upper,1.9463325823762716
80,delay,37.74,at_ip,43.52,0,32,ll,upper,2.1149277865606564
80,delay,40.46,at_ip,43.52,0,2,ll,upper,2.5067538841758505
80,delay,32.98,below_ip,43.52,0,64,ll,upper,1.5170579898949654
80,delay,41.14,above_ip,43.52,0,16,ll,upper,2.6647625859804975
80,delay,39.78,at_ip,43.52,0,16,ll,upper,2.1009979775244574
80,delay,29.92,below_ip,43.52,0,128,ll,upper,2.009197949548252
80,delay,32.98,below_ip,43.52,0,64,ll,upper,3.811264870226296
80,delay,32.3,at_ip,43.52,0,128,ll,upper,3.3765634526407666
80,delay,38.42,below_ip,43.52,0,16,ll,upper,3.5315112444495753
80,delay,32.3,at_ip,43.52,0,128,ll,upper,1.86688557544403
80,delay,39.44,above_ip,43.52,0,32,ll,upper,3.8659307638936298
80,delay,39.44,below_ip,43.52,0,8,ll,upper,3.0693540096253855
80,delay,41.82,at_ip,43.52,0,4,ll,upper,2.9634977832483855
80,delay,38.42,below_ip,43.52,0,16,ll,upper,2.1622367047511943
80,delay,32.98,below_ip,43.52,0,64,ll,upper,1.5992113714546576
80,delay,40.12,below_ip,43.52,0,2,ll,upper,3.506284102815698
80,delay,41.82,at_ip,43.52,0,4,ll,upper,1.6721782108143088
80,delay,37.74,at_ip,43.52,0,32,ll,upper,3.8555770994680643
80,delay,41.14,below_ip,43.52,0,4,ll,upper,2.3425403735327563
80,delay,39.78,at_ip,43.52,0,16,ll,upper,4.6640021970524685
80,delay,37.06,above_ip,43.52,0,64,ll,upper,6.358879791445361
80,delay,34.68,above_ip,43.52,0,128,ll,upper,2.283361998255714
80,delay,40.12,below_ip,43.52,0,2,ll,upper,1.8065160317037225
80,delay,40.46,at_ip,43.52,0,8,ll,upper,2.0415436570183374
80,delay,41.14,above_ip,43.52,0,16,ss,lower,4.9772023787481885
