subject_ix,frame,m_s,m_s_cat,m_l,t_s,t_l,choice,response,rt
73,defer,37.74,at_ip,43.52,0,4,ll,upper,2.888177777025703
73,defer,31.619999999999997,above_ip,43.52,0,64,ll,upper,3.3879852616355493
73,defer,31.279999999999998,below_ip,43.52,0,32,ll,upper,3.3724113091884647
73,defer,39.1,above_ip,43.52,0,16,ll,upper,4.620273479313255
73,defer,38.760000000000005,above_ip,43.52,0,2,ll,upper,2.777401225957874
73,defer,19.040000000000003,below_ip,43.52,0,128,ll,upper,2.8623537363837386
73,defer,38.42,at_ip,43.52,0,2,ll,upper,3.300931357034642
73,defer,21.42,at_ip,43.52,0,128,ll,upper,7.128256636491642
73,defer,39.1,above_ip,43.52,0,16,ll,upper,8.884687280951766
73,defer,37.74,at_ip,43.52,0,16,ll,upper,2.246036173086395
73,defer,31.619999999999997,above_ip,43.52,0,64,ss,lower,4.517714828099997
73,defer,29.58,at_ip,43.52,0,64,ll,upper,7.705389033999381
73,defer,27.54,below_ip,43.52,0,64,ll,upper,7.756555900123203
73,defer,19.040000000000003,below_ip,43.52,0,128,ll,upper,6.151148519671551
73,defer,31.279999999999998,below_ip,43.52,0,32,ll,upper,3.8052946970601624
73,defer,29.58,at_ip,43.52,0,64,ss,lower,5.15130218008926
73,defer,32.98,at_ip,43.52,0,32,ss,lower,2.448479960205077
73,defer,37.06,below_ip,43.52,0,4,ll,upper,2.52964755650828
73,defer,19.040000000000003,below_ip,43.52,0,128,ll,upper,3.863404726716908
73,defer,38.08,below_ip,43.52,0,8,ll,upper,3.2392660241439444
73,defer,21.42,at_ip,43.52,0,128,ll,upper,2.530111763455352
73,defer,19.040000000000003,below_ip,43.52,0,128,ll,upper,4.971354981797049
73,defer,23.8,above_ip,43.52,0,128,ll,upper,2.311250944310814
73,defer,36.38,below_ip,43.52,0,16,ll,upper,5.031527404033113
73,defer,31.279999999999998,below_ip,43.52,0,32,ss,lower,5.253251174801335
73,defer,29.58,at_ip,43.52,0,64,ss,lower,4.664544687604575
73,defer,32.98,at_ip,43.52,0,32,ll,upper,4.582504687215987
73,defer,38.42,above_ip,43.52,0,4,ll,upper,3.0078329090938496
73,defer,39.1,at_ip,43.52,0,8,ll,upper,2.7816878823978186
73,defer,27.54,below_ip,43.52,0,64,ll,upper,7.121846885738705
73,defer,27.54,below_ip,43.52,0,64,ll,upper,2.2797358965854073
73,defer,38.08,below_ip,43.52,0,2,ll,upper,1.6952893805282656
73,defer,38.42,above_ip,43.52,0,4,ll,upper,2.7852200192719465
73,defer,21.42,at_ip,43.52,0,128,ll,upper,4.7735001867840765
73,defer,38.08,below_ip,43.52,0,2,ll,upper,3.4629492584736
73,defer,37.74,at_ip,43.52,0,16,ll,upper,2.8964598975508125
73,defer,36.38,below_ip,43.52,0,16,ll,upper,4.112935461293091
73,defer,40.120000000000005,above_ip,43.52,0,8,ll,upper,1.6268770650549413
73,defer,38.42,above_ip,43.52,0,4,ll,upper,2.456375876972743
73,defer,38.08,below_ip,43.52,0,2,ll,upper,1.5945001700711146
73,defer,38.08,below_ip,43.52,0,2,ll,upper,1.8176986702965223
73,defer,38.760000000000005,above_ip,43.52,0,2,ll,upper,2.760360754911744
73,defer,38.08,below_ip,43.52,0,8,ll,upper,1.6610228143072163
73,defer,38.08,below_ip,43.52,0,8,ll,upper,2.207459784063758
73,defer,31.619999999999997,above_ip,43.52,0,64,ll,upper,5.417626473359633
73,defer,39.1,above_ip,43.52,0,16,ll,upper,4.408288377335339
73,defer,37.74,at_ip,43.52,0,4,ll,upper,3.7960105581296375
73,defer,40.120000000000005,above_ip,43.52,0,8,ll,upper,2.375528797532752
73,defer,37.06,below_ip,43.52,0,4,ll,upper,2.25223126844503
73,defer,27.54,below_ip,43.52,0,64,ll,upper,4.947477208686905
73,defer,38.42,above_ip,43.52,0,4,ll,upper,2.2890393896905152
73,defer,23.8,above_ip,43.52,0,128,ll,upper,5.572448727260053
73,defer,39.1,at_ip,43.52,0,8,ll,upper,1.6718579264179425
73,defer,36.38,below_ip,43.52,0,16,ll,upper,1.9834475287661917
73,defer,38.42,at_ip,43.52,0,2,ll,upper,2.432006625125723
73,defer,23.8,above_ip,43.52,0,128,ll,upper,4.158384635031325
73,defer,37.74,at_ip,43.52,0,16,ll,upper,2.0800063858387148
73,defer,39.1,above_ip,43.52,0,16,ll,upper,1.539112920894695
73,defer,32.98,at_ip,43.52,0,32,ll,upper,3.9819065259234776
73,defer,40.120000000000005,above_ip,43.52,0,8,ll,upper,4.333417632433338
73,defer,31.279999999999998,below_ip,43.52,0,32,ll,upper,2.4940693050884875
73,defer,40.120000000000005,above_ip,43.52,0,8,ll,upper,1.7081563877309236
