subject_ix,stage_id,block_id,block_ix,iter_ix,frame,m_s,m_l,t_s,t_l,trial_type,choice,rt,trial_correct,too_fast,omission_error
4,calibration,i000,0,2,neutral,21.76,43.52,0,2,standard,ll,4.314543653871624,TRUE,FALSE,FALSE
4,calibration,i000,0,2,neutral,32.64,43.52,0,2,standard,ll,2.2202929287504958,TRUE,FALSE,FALSE
4,calibration,i000,0,2,neutral,38.08,43.52,0,2,standard,ll,2.480912432421974,TRUE,FALSE,FALSE
4,calibration,i000,0,2,neutral,40.8,43.52,0,2,standard,ll,2.1314214912017633,TRUE,FALSE,FALSE
4,calibration,i000,0,2,neutral,42.16,43.52,0,2,standard,ll,1.82034360149828,TRUE,FALSE,FALSE
4,calibration,i000,0,2,neutral,42.839999999999996,43.52,0,2,standard,ll,3.6113586898372887,TRUE,FALSE,FALSE
4,calibration,i000,0,2,neutral,43.18,43.52,0,2,standard,ss,3.854973791606426,TRUE,FALSE,FALSE
4,calibration,i000,0,2,neutral,21.76,43.52,0,4,standard,ll,1.8398520230566646,TRUE,FALSE,FALSE
4,calibration,i000,0,2,neutral,32.64,43.52,0,4,standard,ll,1.8809884415431952,TRUE,FALSE,FALSE
4,calibration,i000,0,2,neutral,38.08,43.52,0,4,standard,ll,1.648162705652794,TRUE,FALSE,FALSE
4,calibration,i000,0,2,neutral,40.8,43.52,0,4,standard,ll,2.0075946547613057,TRUE,FALSE,FALSE
4,calibration,i000,0,2,neutral,42.16,43.52,0,4,standard,ll,2.858167523669181,TRUE,FALSE,FALSE
4,calibration,i000,0,2,neutral,42.839999999999996,43.52,0,4,standard,ll,3.0310938484844883,TRUE,FALSE,FALSE
4,calibration,i000,0,2,neutral,43.18,43.52,0,4,standard,ss,4.627851672335964,TRUE,FALSE,FALSE
4,calibration,i000,0,2,neutral,21.76,43.52,0,8,standard,ll,3.7723138711407955,TRUE,FALSE,FALSE
4,calibration,i000,0,2,neutral,32.64,43.52,0,8,standard,ll,1.9837447399349912,TRUE,FALSE,FALSE
4,calibration,i000,0,2,neutral,38.08,43.52,0,8,standard,ll,1.681821961332389,TRUE,FALSE,FALSE
4,calibration,i000,0,2,neutral,40.8,43.52,0,8,standard,ll,2.251951666559762,TRUE,FALSE,FALSE
4,calibration,i000,0,2,neutral,42.16,43.52,0,8,standard,ss,5.411954681118914,TRUE,FALSE,FALSE
4,calibration,i000,0,2,neutral,41.48,43.52,0,8,standard,ll,2.004439924293365,TRUE,FALSE,FALSE
4,calibration,i000,0,2,neutral,41.82,43.52,0,8,standard,ll,3.1836106096388903,TRUE,FALSE,FALSE
4,calibration,i000,0,2,neutral,21.76,43.52,0,16,standard,ll,2.883504777492817,TRUE,FALSE,FALSE
4,calibration,i000,0,2,neutral,32.64,43.52,0,16,standard,ll,3.475582410021161,TRUE,FALSE,FALSE
4,calibration,i000,0,2,neutral,38.08,43.52,0,16,standard,ll,1.996108538595763,TRUE,FALSE,FALSE
4,calibration,i000,0,2,neutral,40.8,43.52,0,16,standard,ll,2.2192252234490297,TRUE,FALSE,FALSE
4,calibration,i000,0,2,neutral,42.16,43.52,0,16,standard,ss,2.883645535127471,TRUE,FALSE,FALSE
4,calibration,i000,0,2,neutral,41.48,43.52,0,16,standard,ll,2.959129162228237,TRUE,FALSE,FALSE
4,calibration,i000,0,2,neutral,41.82,43.52,0,16,standard,ll,3.8223555559270608,TRUE,FALSE,FALSE
4,calibration,i000,0,2,neutral,21.76,43.52,0,32,standard,ll,2.0715871805314237,TRUE,FALSE,FALSE
4,calibration,i000,0,2,neutral,32.64,43.52,0,32,standard,ll,3.302169884878822,TRUE,FALSE,FALSE
4,calibration,i000,0,2,neutral,38.08,43.52,0,32,standard,ll,2.4515459913291124,TRUE,FALSE,FALSE
4,calibration,i000,0,2,neutral,40.8,43.52,0,32,standard,ll,3.6173860490152947,TRUE,FALSE,FALSE
4,calibration,i000,0,2,neutral,42.16,43.52,0,32,standard,ss,1.8072246967813044,TRUE,FALSE,FALSE
4,calibration,i000,0,2,neutral,41.48,43.52,0,32,standard,ss,1.5952220000990565,TRUE,FALSE,FALSE
4,calibration,i000,0,2,neutral,41.13999999999999,43.52,0,32,standard,ss,2.1136297262855805,TRUE,FALSE,FALSE
4,calibration,i000,0,2,neutral,21.76,43.52,0,64,standard,ll,2.177911684940227,TRUE,FALSE,FALSE
