subject_ix,frame,m_s,m_s_cat,m_l,t_s,t_l,choice,response,rt
48,date,42.5,below_ip,43.52,0,4,ll,upper,3.8655701732132
48,date,43.35,above_ip,43.52,0,2,ss,lower,3.743596059128322
48,date,35.02,at_ip,43.52,0,64,ll,upper,4.0150829318663455
48,date,44.2,above_ip,43.52,0,8,ss,lower,4.519275603261121
48,date,37.06,above_ip,43.52,0,64,ll,upper,4.0242931730399505
48,date,38.42,at_ip,43.52,0,32,ll,upper,2.1886863595491377
48,date,41.82,below_ip,43.52,0,16,ss,lower,3.1359535647507073
48,date,44.2,above_ip,43.52,0,8,ss,lower,3.2129207186644635
48,date,40.120000000000005,above_ip,43.52,0,32,ll,upper,2.629760668729432
48,date,21.42,at_ip,43.52,0,128,ll,upper,2.068156477436787
48,date,19.040000000000003,below_ip,43.52,0,128,ll,upper,3.4303458099439013
48,date,35.02,at_ip,43.52,0,64,ll,upper,2.3829667903964946
48,date,43.18,at_ip,43.52,0,2,ss,lower,3.0696886829291543
48,date,35.02,at_ip,43.52,0,64,ll,upper,3.4162715127858974
48,date,43.86,above_ip,43.52,0,4,ss,lower,3.0854541244088978
48,date,23.8,above_ip,43.52,0,128,ll,upper,1.9276633506615326
48,date,32.980000000000004,below_ip,43.52,0,64,ll,upper,1.8320610590099022
48,date,37.06,above_ip,43.52,0,64,ll,upper,2.007985228180587
48,date,43.35,above_ip,43.52,0,2,ss,lower,2.5311578935170473
48,date,38.42,at_ip,43.52,0,32,ll,upper,2.599764923716066
48,date,41.82,below_ip,43.52,0,16,ll,upper,2.3521731255450504
48,date,36.72,below_ip,43.52,0,32,ll,upper,2.0739553987050385
48,date,44.54,above_ip,43.52,0,16,ss,lower,2.9516144350372997
48,date,40.120000000000005,above_ip,43.52,0,32,ll,upper,2.152300511204885
48,date,43.18,at_ip,43.52,0,16,ss,lower,3.0099408795549607
48,date,21.42,at_ip,43.52,0,128,ll,upper,1.591072553336744
48,date,42.839999999999996,below_ip,43.52,0,2,ll,upper,2.811515722882177
48,date,32.980000000000004,below_ip,43.52,0,64,ll,upper,2.207133527197584
48,date,43.18,at_ip,43.52,0,8,ss,lower,3.638546291041166
48,date,43.18,at_ip,43.52,0,4,ss,lower,2.8571226624681003
48,date,43.18,at_ip,43.52,0,4,ss,lower,3.0457853975003673
48,date,38.42,at_ip,43.52,0,32,ll,upper,3.237571779022801
48,date,43.18,at_ip,43.52,0,8,ll,upper,2.6374911952780167
48,date,23.8,above_ip,43.52,0,128,ll,upper,2.065271825678792
48,date,43.18,at_ip,43.52,0,8,ss,lower,3.5833085968506566
48,date,43.35,above_ip,43.52,0,2,ss,lower,2.960768959647794
48,date,41.82,below_ip,43.52,0,16,ss,lower,2.1437618012423627
48,date,43.86,above_ip,43.52,0,4,ss,lower,3.906234467136528
48,date,36.72,below_ip,43.52,0,32,ll,upper,2.109123107027699
48,date,44.2,above_ip,43.52,0,8,ll,upper,2.454328271542181
48,date,43.18,at_ip,43.52,0,2,ss,lower,3.105524990012782
48,date,44.54,above_ip,43.52,0,16,ll,upper,3.4032968846431686
48,date,42.839999999999996,below_ip,43.52,0,2,ll,upper,3.85593619291285
48,date,43.18,at_ip,43.52,0,16,ss,lower,2.8418448875409013
48,date,43.18,at_ip,43.52,0,16,ss,lower,3.5143309048835363
48,date,43.35,above_ip,43.52,0,2,ss,lower,4.20125337704485
48,date,43.86,above_ip,43.52,0,4,ss,lower,2.603020237243072
48,date,44.2,above_ip,43.52,0,8,ss,lower,2.9015023714337076
48,date,19.040000000000003,below_ip,43.52,0,128,ll,upper,2.6349452415761334
48,date,43.18,at_ip,43.52,0,4,ll,upper,2.2451243058130785
48,date,37.06,above_ip,43.52,0,64,ll,upper,3.7980053359951853
48,date,41.82,below_ip,43.52,0,16,ll,upper,4.175779764262188
48,date,38.42,at_ip,43.52,0,32,ll,upper,2.703609747808514
48,date,42.839999999999996,below_ip,43.52,0,2,ll,upper,3.2442642180212715
48,date,42.16,below_ip,43.52,0,8,ll,upper,3.625912413669539
48,date,32.980000000000004,below_ip,43.52,0,64,ll,upper,2.969016184009888
48,date,43.18,at_ip,43.52,0,2,ll,upper,3.1036628838155593
48,date,21.42,at_ip,43.52,0,128,ll,upper,2.6993606267369614
48,date,43.18,at_ip,43.52,0,4,ss,lower,2.896863820909857
48,date,43.18,at_ip,43.52,0,16,ss,lower,3.3008226880083384
48,date,21.42,at_ip,43.52,0,128,ll,upper,3.0085157085140963
