subject_ix,frame,m_s,m_s_cat,m_l,t_s,t_l,choice,response,rt
44,speedup,43.18,at_ip,43.52,0,4,ss,lower,4.276745007871796
44,speedup,44.54,above_ip,43.52,0,16,ss,lower,5.466735934893222
44,speedup,43.18,at_ip,43.52,0,2,ss,lower,4.630182094947486
44,speedup,41.82,below_ip,43.52,0,16,ll,upper,6.889724410979397
44,speedup,41.13999999999999,at_ip,43.52,0,64,ss,lower,5.245738822176918
44,speedup,42.16,below_ip,43.52,0,8,ss,lower,4.2366702423059905
44,speedup,42.16,below_ip,43.52,0,8,ss,lower,5.2887126008586165
44,speedup,42.5,below_ip,43.52,0,4,ss,lower,4.673173175042393
44,speedup,43.18,at_ip,43.52,0,8,ss,lower,7.272732252917649
44,speedup,43.18,at_ip,43.52,0,16,ss,lower,3.7937261985962323
44,speedup,43.18,at_ip,43.52,0,8,ss,lower,3.2518541387366895
44,speedup,42.839999999999996,above_ip,43.52,0,32,ss,lower,5.803083624099145
44,speedup,41.82,below_ip,43.52,0,16,ll,upper,2.8388825945771714
44,speedup,41.13999999999999,at_ip,43.52,0,64,ss,lower,4.584307836928929
44,speedup,41.13999999999999,at_ip,43.52,0,64,ss,lower,4.4959269383930405
44,speedup,39.43999999999999,below_ip,43.52,0,32,ll,upper,2.4117875253623424
44,speedup,43.35,above_ip,43.52,0,2,ll,upper,2.800864937751612
44,speedup,39.43999999999999,below_ip,43.52,0,32,ll,upper,2.3856706018236764
44,speedup,38.75999999999999,below_ip,43.52,0,128,ss,lower,7.0360591798412315
44,speedup,41.13999999999999,at_ip,43.52,0,128,ss,lower,2.4964568308364505
44,speedup,42.5,below_ip,43.52,0,4,ss,lower,3.25462998924786
44,speedup,41.13999999999999,at_ip,43.52,0,32,ll,upper,7.771172486504838
44,speedup,38.75999999999999,below_ip,43.52,0,128,ss,lower,3.543465064550219
44,speedup,41.13999999999999,at_ip,43.52,0,128,ss,lower,2.5184434084590066
44,speedup,42.839999999999996,above_ip,43.52,0,32,ss,lower,3.508732623578908
44,speedup,39.099999999999994,below_ip,43.52,0,64,ll,upper,3.952205973243963
44,speedup,43.18,at_ip,43.52,0,2,ll,upper,4.196597236206344
44,speedup,43.18,at_ip,43.52,0,2,ll,upper,2.27207391947195
44,speedup,43.86,above_ip,43.52,0,4,ss,lower,6.507396895808142
44,speedup,43.519999999999996,above_ip,43.52,0,128,ss,lower,2.3295345528918006
44,speedup,43.18,at_ip,43.52,0,8,ss,lower,3.5513240116974885
44,speedup,39.43999999999999,below_ip,43.52,0,32,ll,upper,6.987554813727002
44,speedup,38.75999999999999,below_ip,43.52,0,128,ss,lower,3.4500890426670594
44,speedup,42.5,below_ip,43.52,0,4,ll,upper,4.739873643001374
44,speedup,41.13999999999999,at_ip,43.52,0,32,ll,upper,1.9699642613541073
44,speedup,41.13999999999999,at_ip,43.52,0,32,ll,upper,3.4014773491403503
44,speedup,43.18,at_ip,43.52,0,16,ss,lower,2.0724953701751474
44,speedup,41.13999999999999,at_ip,43.52,0,32,ll,upper,7.133177878680726
44,speedup,43.18,at_ip,43.52,0,2,ss,lower,3.1956890586197915
44,speedup,44.2,above_ip,43.52,0,8,ss,lower,3.4386261231152275
44,speedup,44.2,above_ip,43.52,0,8,ss,lower,2.4994625848762553
44,speedup,43.18,at_ip,43.52,0,8,ss,lower,4.037680820800688
44,speedup,43.18,at_ip,43.52,0,4,ss,lower,4.323057666113982
44,speedup,43.519999999999996,above_ip,43.52,0,128,ss,lower,2.625027153458177
44,speedup,42.839999999999996,below_ip,43.52,0,2,ll,upper,4.3731511230712385
44,speedup,38.75999999999999,below_ip,43.52,0,128,ll,upper,2.6720066492302976
44,speedup,41.82,below_ip,43.52,0,16,ll,upper,3.8408464516310232
44,speedup,42.839999999999996,below_ip,43.52,0,2,ll,upper,3.4373725037476106
44,speedup,39.43999999999999,below_ip,43.52,0,32,ll,upper,4.541470416845186
44,speedup,42.839999999999996,below_ip,43.52,0,2,ll,upper,2.5647625180754403
44,speedup,39.099999999999994,below_ip,43.52,0,64,ll,upper,4.098409368661123
44,speedup,44.2,above_ip,43.52,0,8,ss,lower,3.303430825346368
44,speedup,43.86,above_ip,43.52,0,4,ss,lower,3.6196288192031716
44,speedup,42.16,below_ip,43.52,0,8,ll,upper,3.1824238596209398
44,speedup,44.54,above_ip,43.52,0,16,ss,lower,2.3677360738911375
44,speedup,43.18,at_ip,43.52,0,16,ss,lower,7.191998579147366
44,speedup,39.099999999999994,below_ip,43.52,0,64,ll,upper,3.000231471422012
44,speedup,42.16,below_ip,43.52,0,8,ll,upper,3.320913757062044
44,speedup,43.35,above_ip,43.52,0,2,ss,lower,2.5873977520809603
44,speedup,39.099999999999994,below_ip,43.52,0,64,ll,upper,4.369806671869355
44,speedup,42.839999999999996,below_ip,43.52,0,2,ll,upper,4.556218259006528
44,speedup,43.86,above_ip,43.52,0,4,ss,lower,5.854001097529363
44,speedup,44.2,above_ip,43.52,0,8,ss,lower,2.6382741713105133
44,speedup,41.82,below_ip,43.52,0,16,ll,upper,6.149085502035177
44,speedup,43.86,above_ip,43.52,0,4,ss,lower,4.334073388113666
44,speedup,43.35,above_ip,43.52,0,2,ll,upper,3.8984361125408213
44,speedup,44.54,above_ip,43.52,0,16,ss,lower,3.022625365371823
44,speedup,41.13999999999999,at_ip,43.52,0,64,ll,upper,3.5141368227200473
44,speedup,42.5,below_ip,43.52,0,4,ll,upper,8.403186083656237
44,speedup,43.18,at_ip,43.52,0,16,ss,lower,5.39796017704748
44,speedup,43.18,at_ip,43.52,0,4,ll,upper,3.661299713475273
44,speedup,43.18,at_ip,43.52,0,4,ll,upper,3.4713322459974734
44,speedup,43.17999999999999,above_ip,43.52,0,64,ss,lower,2.810845507384329
44,speedup,43.17999999999999,above_ip,43.52,0,64,ss,lower,2.4565838173471093
44,speedup,41.13999999999999,at_ip,43.52,0,128,ss,lower,3.280563341857487
44,speedup,44.54,above_ip,43.52,0,16,ss,lower,2.210210516184361
44,speedup,41.13999999999999,at_ip,43.52,0,128,ss,lower,3.189493393122575
44,speedup,43.17999999999999,above_ip,43.52,0,64,ss,lower,6.134788376357392
44,speedup,43.17999999999999,above_ip,43.52,0,64,ss,lower,3.368897907794235
44,speedup,43.35,above_ip,43.52,0,2,ll,upper,4.003699085228618
44,speedup,42.839999999999996,above_ip,43.52,0,32,ss,lower,8.566153962262433
44,speedup,43.519999999999996,above_ip,43.52,0,128,ss,lower,1.7865645863857935
44,speedup,43.519999999999996,above_ip,43.52,0,128,ss,lower,2.605402951889573
44,speedup,42.839999999999996,above_ip,43.52,0,32,ss,lower,6.695658267968611
44,defer,42.839999999999996,above_ip,43.52,0,32,ss,lower,6.899750433477948
44,defer,42.5,below_ip,43.52,0,4,ll,upper,3.7887703699848316
44,defer,41.13999999999999,at_ip,43.52,0,32,ll,upper,5.182287501023438
44,defer,44.2,above_ip,43.52,0,8,ss,lower,2.945017969046603
44,defer,41.13999999999999,at_ip,43.52,0,32,ll,upper,3.081938423012616
44,defer,41.13999999999999,at_ip,43.52,0,32,ll,upper,2.5857898936033052
44,defer,38.75999999999999,below_ip,43.52,0,128,ll,upper,1.5139685004937746
44,defer,44.54,above_ip,43.52,0,16,ss,lower,2.9120848750790174
44,defer,43.519999999999996,above_ip,43.52,0,128,ss,lower,3.1444921233742207
44,defer,39.43999999999999,below_ip,43.52,0,32,ll,upper,2.7226291188990217
44,defer,39.43999999999999,below_ip,43.52,0,32,ll,upper,2.4840599282006224
44,defer,39.099999999999994,below_ip,43.52,0,64,ll,upper,3.1965453319653534
44,defer,43.18,at_ip,43.52,0,4,ll,upper,2.412658460923012
44,defer,43.18,at_ip,43.52,0,2,ll,upper,2.20903841873087
44,defer,41.82,below_ip,43.52,0,16,ll,upper,2.2834503319568284
44,defer,42.16,below_ip,43.52,0,8,ll,upper,1.9937768712106845
44,defer,43.17999999999999,above_ip,43.52,0,64,ss,lower,2.4722354384307437
44,defer,43.18,at_ip,43.52,0,8,ss,lower,2.9361347195717826
44,defer,41.13999999999999,at_ip,43.52,0,64,ll,upper,4.960448483931486
44,defer,43.18,at_ip,43.52,0,8,ll,upper,3.766728075946048
44,defer,43.86,above_ip,43.52,0,4,ss,lower,6.768361446678227
44,defer,42.5,below_ip,43.52,0,4,ll,upper,2.8544952141692193
44,defer,43.86,above_ip,43.52,0,4,ss,lower,4.760171719964092
44,defer,43.18,at_ip,43.52,0,16,ss,lower,5.086081378434301
