subject_ix,stage_id,block_id,block_ix,iter_ix,frame,m_s,m_l,t_s,t_l,trial_type,choice,rt,trial_correct,too_fast,omission_error
11,calibration,i000,0,2,neutral,21.76,43.52,0,2,standard,ll,2.1667443747701327,TRUE,FALSE,FALSE
11,calibration,i000,0,2,neutral,32.64,43.52,0,2,standard,ll,1.6817959552627144,TRUE,FALSE,FALSE
11,calibration,i000,0,2,neutral,38.08,43.52,0,2,standard,ll,4.004390818121465,TRUE,FALSE,FALSE
11,calibration,i000,0,2,neutral,40.8,43.52,0,2,standard,ll,1.4307841834925057,TRUE,TRUE,FALSE
11,calibration,i000,0,2,neutral,42.16,43.52,0,2,standard,ss,3.951425911156548,TRUE,FALSE,FALSE
11,calibration,i000,0,2,neutral,41.48,43.52,0,2,standard,ss,4.083291861403268,TRUE,FALSE,FALSE
11,calibration,i000,0,2,neutral,41.13999999999999,43.52,0,2,standard,ss,2.5708182058842795,TRUE,FALSE,FALSE
11,calibration,i000,0,2,neutral,21.76,43.52,0,4,standard,ll,2.564095249685124,TRUE,FALSE,FALSE
11,calibration,i000,0,2,neutral,32.64,43.52,0,4,standard,ll,2.9739483715948154,TRUE,FALSE,FALSE
11,calibration,i000,0,2,neutral,38.08,43.52,0,4,standard,ll,5.230552050014012,TRUE,FALSE,FALSE
11,calibration,i000,0,2,neutral,40.8,43.52,0,4,standard,ss,2.4895697289302916,TRUE,FALSE,FALSE
11,calibration,i000,0,2,neutral,39.44,43.52,0,4,standard,ll,3.6636818608967587,TRUE,FALSE,FALSE
11,calibration,i000,0,2,neutral,40.12,43.52,0,4,standard,ll,5.839352594981392,TRUE,FALSE,FALSE
11,calibration,i000,0,2,neutral,40.46,43.52,0,4,standard,ll,2.6226303630992334,TRUE,FALSE,FALSE
11,calibration,i000,0,2,neutral,21.76,43.52,0,8,standard,ll,1.8609747904138203,TRUE,FALSE,FALSE
11,calibration,i000,0,2,neutral,32.64,43.52,0,8,standard,ll,2.502769901242573,TRUE,FALSE,FALSE
11,calibration,i000,0,2,neutral,38.08,43.52,0,8,standard,ll,2.386301415062917,TRUE,FALSE,FALSE
11,calibration,i000,0,2,neutral,40.8,43.52,0,8,standard,ll,2.199527803559249,TRUE,FALSE,FALSE
11,calibration,i000,0,2,neutral,42.16,43.52,0,8,standard,ss,2.5771051053870906,TRUE,FALSE,FALSE
11,calibration,i000,0,2,neutral,41.48,43.52,0,8,standard,ss,2.080950585896062,TRUE,FALSE,FALSE
11,calibration,i000,0,2,neutral,41.13999999999999,43.52,0,8,standard,ss,1.5857136329213972,TRUE,FALSE,FALSE
11,calibration,i000,0,2,neutral,21.76,43.52,0,16,standard,ll,2.090379029050382,TRUE,FALSE,FALSE
11,calibration,i000,0,2,neutral,32.64,43.52,0,16,standard,ll,2.8418355082740163,TRUE,FALSE,FALSE
11,calibration,i000,0,2,neutral,38.08,43.52,0,16,standard,ss,6.712264793924987,TRUE,FALSE,FALSE
11,calibration,i000,0,2,neutral,35.36,43.52,0,16,standard,ll,3.248462631705479,TRUE,FALSE,FALSE
11,calibration,i000,0,2,neutral,36.72,43.52,0,16,standard,ll,1.705587877335347,TRUE,FALSE,FALSE
11,calibration,i000,0,2,neutral,37.4,43.52,0,16,standard,ll,2.2321959867003898,TRUE,FALSE,FALSE
11,calibration,i000,0,2,neutral,37.74,43.52,0,16,standard,ss,5.003335132774737,TRUE,FALSE,FALSE
11,calibration,i000,0,2,neutral,21.76,43.52,0,32,standard,ll,2.630030130907471,TRUE,FALSE,FALSE
11,calibration,i000,0,2,neutral,32.64,43.52,0,32,standard,ll,4.767015568608258,TRUE,FALSE,FALSE
11,calibration,i000,0,2,neutral,38.08,43.52,0,32,standard,ll,3.548486062054508,TRUE,FALSE,FALSE
11,calibration,i000,0,2,neutral,40.8,43.52,0,32,standard,ss,3.4898087243636837,TRUE,FALSE,FALSE
11,calibration,i000,0,2,neutral,39.44,43.52,0,32,standard,ss,1.7912658340683265,TRUE,FALSE,FALSE
11,calibration,i000,0,2,neutral,38.76,43.52,0,32,standard,ss,1.4546142275339662,TRUE,TRUE,FALSE
11,calibration,i000,0,2,neutral,38.419999999999995,43.52,0,32,standard,ss,5.551967770987176,TRUE,FALSE,FALSE
11,calibration,i000,0,2,neutral,21.76,43.52,0,64,standard,ll,2.791236509474402,TRUE,FALSE,FALSE
11,calibration,i000,0,2,neutral,32.64,43.52,0,64,standard,ll,3.3576160981501744,TRUE,FALSE,FALSE
11,calibration,i000,0,2,neutral,38.08,43.52,0,64,standard,ll,1.5734662166360067,TRUE,FALSE,FALSE
11,calibration,i000,0,2,neutral,40.8,43.52,0,64,standard,ss,1.9994217658331763,TRUE,FALSE,FALSE
11,calibration,i000,0,2,neutral,39.44,43.52,0,64,standard,ss,5.201733306203096,TRUE,FALSE,FALSE
11,calibration,i000,0,2,neutral,38.76,43.52,0,64,standard,ss,2.1034390298063954,TRUE,FALSE,FALSE
11,calibration,i000,0,2,neutral,38.419999999999995,43.52,0,64,standard,ll,4.3048544106150075,TRUE,FALSE,FALSE
11,calibration,i000,0,2,neutral,21.76,43.52,0,128,standard,ll,2.1480097720141202,TRUE,FALSE,FALSE
11,calibration,i000,0,2,neutral,32.64,43.52,0,128,standard,ll,2.3448387864718825,TRUE,FALSE,FALSE
11,calibration,i000,0,2,neutral,38.08,43.52,0,128,standard,ss,4.110079583901097,TRUE,FALSE,FALSE
11,calibration,i000,0,2,neutral,35.36,43.52,0,128,standard,ss,5.777923730725888,TRUE,FALSE,FALSE
11,calibration,i000,0,2,neutral,34,43.52,0,128,standard,ll,3.6418186173104914,TRUE,FALSE,FALSE
11,calibration,i000,0,2,neutral,34.68,43.52,0,128,standard,ss,3.181088206210916,TRUE,FALSE,FALSE
11,calibration,i000,0,2,neutral,34.339999999999996,43.52,0,128,standard,ll,1.454042104725886,TRUE,TRUE,FALSE
