subject_ix,frame,m_s,m_s_cat,m_l,t_s,t_l,choice,response,rt
91,date,19.04,below_ip,43.52,0,128,ll,upper,4.433086349494488
91,date,34,below_ip,43.52,0,32,ss,lower,4.676644854965161
91,date,41.48,above_ip,43.52,0,8,ss,lower,2.2521145529256046
91,date,39.44,below_ip,43.52,0,8,ll,upper,4.0392843186550635
91,date,34,below_ip,43.52,0,32,ll,upper,3.6220954069547133
91,date,39.1,above_ip,43.52,0,16,ll,upper,3.2624012967528415
91,date,35.7,above_ip,43.52,0,64,ll,upper,5.546428794929625
91,date,40.46,below_ip,43.52,0,4,ll,upper,3.8931869853377066
91,date,19.04,below_ip,43.52,0,128,ll,upper,4.420433997683631
91,date,40.8,above_ip,43.52,0,2,ll,upper,3.417065491559242
91,date,35.7,above_ip,43.52,0,64,ll,upper,2.415192535293727
91,date,33.66,at_ip,43.52,0,64,ll,upper,2.335667111386101
91,date,21.42,at_ip,43.52,0,128,ll,upper,2.60409485154878
91,date,40.8,above_ip,43.52,0,2,ll,upper,3.7138948965325653
91,date,33.66,at_ip,43.52,0,64,ll,upper,2.443032929039873
91,date,35.7,at_ip,43.52,0,32,ll,upper,3.9679899906304854
91,date,41.48,above_ip,43.52,0,8,ll,upper,3.3366453769413056
91,date,37.4,above_ip,43.52,0,32,ll,upper,2.1997497806905812
91,date,21.42,at_ip,43.52,0,128,ll,upper,3.0384538486152906
91,date,34,below_ip,43.52,0,32,ll,upper,2.2328287043756063
91,date,34,below_ip,43.52,0,32,ll,upper,1.8993677116882282
91,date,40.8,above_ip,43.52,0,2,ll,upper,3.0070871828968393
91,date,40.12,below_ip,43.52,0,2,ll,upper,1.781201091598632
91,date,33.66,at_ip,43.52,0,64,ll,upper,3.4525402274698536
91,date,40.12,below_ip,43.52,0,2,ll,upper,2.9010409680604425
91,date,31.62,below_ip,43.52,0,64,ll,upper,1.901074691243366
91,date,35.7,at_ip,43.52,0,32,ll,upper,1.807332746318707
91,date,33.66,at_ip,43.52,0,64,ll,upper,1.7195296005618275
91,date,41.82,above_ip,43.52,0,4,ll,upper,2.5734246428726237
91,date,41.82,above_ip,43.52,0,4,ll,upper,2.0728849253202952
91,date,23.8,above_ip,43.52,0,128,ll,upper,1.9065225981628373
91,date,40.46,below_ip,43.52,0,4,ll,upper,2.031319489295811
91,date,31.62,below_ip,43.52,0,64,ll,upper,3.609172976434138
91,date,39.44,below_ip,43.52,0,8,ll,upper,3.99851592273194
91,date,31.62,below_ip,43.52,0,64,ll,upper,1.7268105824161921
91,date,40.46,at_ip,43.52,0,2,ll,upper,2.0341408001188483
91,date,23.8,above_ip,43.52,0,128,ll,upper,1.8695872085556857
91,date,39.1,above_ip,43.52,0,16,ll,upper,2.0591856886078403
91,date,19.04,below_ip,43.52,0,128,ll,upper,1.908008177689453
91,date,35.7,above_ip,43.52,0,64,ll,upper,3.031282540416896
91,date,35.7,above_ip,43.52,0,64,ll,upper,3.988420667935543
91,date,40.46,below_ip,43.52,0,4,ll,upper,2.35754729907444
91,date,40.46,at_ip,43.52,0,8,ll,upper,2.016738464656328
91,date,40.46,below_ip,43.52,0,4,ll,upper,3.50132183818846
91,date,36.38,below_ip,43.52,0,16,ll,upper,3.197271566599511
