subject_ix,frame,m_s,m_s_cat,m_l,t_s,t_l,choice,response,rt
41,defer,34,below_ip,43.52,0,32,ll,upper,3.7111753322042205
41,defer,38.080000000000005,above_ip,43.52,0,8,ss,lower,2.2853253782723186
41,defer,35.02,at_ip,43.52,0,16,ss,lower,4.523930051533171
41,defer,36.38,above_ip,43.52,0,16,ll,upper,4.56022753731304
41,defer,37.06,at_ip,43.52,0,8,ss,lower,3.1425500086843385
41,defer,37.06,below_ip,43.52,0,4,ll,upper,3.2126758632712153
41,defer,24.48,above_ip,43.52,0,128,ss,lower,6.717509115766006
41,defer,24.48,above_ip,43.52,0,128,ss,lower,2.899134369496096
41,defer,33.660000000000004,below_ip,43.52,0,16,ll,upper,1.9160396099468926
41,defer,35.7,at_ip,43.52,0,32,ss,lower,2.7426976278620714
41,defer,33.660000000000004,below_ip,43.52,0,16,ll,upper,2.642628304911341
41,defer,35.02,at_ip,43.52,0,16,ss,lower,2.564531777099546
41,defer,36.04,below_ip,43.52,0,8,ll,upper,3.6148923796099552
41,defer,43.35,above_ip,43.52,0,2,ss,lower,2.554486107230332
41,defer,38.080000000000005,above_ip,43.52,0,8,ss,lower,3.122515558343366
41,defer,39.1,above_ip,43.52,0,64,ss,lower,4.479801183566451
41,defer,36.38,above_ip,43.52,0,16,ss,lower,2.9270667684741056
41,defer,24.48,above_ip,43.52,0,128,ss,lower,2.7684664704211173
41,defer,43.18,at_ip,43.52,0,2,ss,lower,4.164851823923527
41,defer,19.720000000000002,below_ip,43.52,0,128,ll,upper,7.000418603567596
41,defer,37.06,below_ip,43.52,0,4,ll,upper,2.8530988271140814
41,defer,37.400000000000006,above_ip,43.52,0,32,ss,lower,3.1520561090437695
41,defer,36.04,below_ip,43.52,0,8,ll,upper,3.9485897268623376
41,defer,22.1,at_ip,43.52,0,128,ss,lower,3.007046511158478
41,defer,37.06,at_ip,43.52,0,64,ss,lower,4.060140443758428
41,defer,34,below_ip,43.52,0,32,ss,lower,4.807086157787126
41,defer,42.839999999999996,below_ip,43.52,0,2,ss,lower,3.7321449386072345
41,defer,42.839999999999996,below_ip,43.52,0,2,ss,lower,4.5674557159800315
41,defer,37.06,at_ip,43.52,0,64,ss,lower,3.2437635708811285
41,defer,38.42,above_ip,43.52,0,4,ll,upper,3.2984301726410195
41,defer,37.06,at_ip,43.52,0,64,ss,lower,2.5704485672704322
41,defer,37.74,at_ip,43.52,0,4,ll,upper,2.0435812315772637
41,defer,22.1,at_ip,43.52,0,128,ss,lower,2.576258323273578
41,defer,33.660000000000004,below_ip,43.52,0,16,ll,upper,2.970530851618605
41,defer,35.02,at_ip,43.52,0,16,ll,upper,4.181435375381625
41,defer,42.839999999999996,below_ip,43.52,0,2,ss,lower,3.294535301894939
41,defer,24.48,above_ip,43.52,0,128,ss,lower,3.5334672357894306
41,defer,35.7,at_ip,43.52,0,32,ss,lower,3.2273025955382764
41,defer,36.04,below_ip,43.52,0,8,ss,lower,4.718526966718855
41,defer,39.1,above_ip,43.52,0,64,ss,lower,2.8389486168271105
41,defer,38.080000000000005,above_ip,43.52,0,8,ll,upper,3.2471625655216485
41,defer,38.42,above_ip,43.52,0,4,ll,upper,2.2571079458375607
41,defer,37.06,at_ip,43.52,0,64,ss,lower,2.2815261051673588
41,defer,35.02,below_ip,43.52,0,64,ss,lower,2.5463963768215763
41,defer,35.7,at_ip,43.52,0,32,ss,lower,2.8757020974917396
41,defer,33.660000000000004,below_ip,43.52,0,16,ll,upper,2.845096483504676
41,defer,35.7,at_ip,43.52,0,32,ss,lower,2.972690009375583
41,defer,38.42,above_ip,43.52,0,4,ll,upper,2.3585305912183685
41,defer,43.18,at_ip,43.52,0,2,ss,lower,4.076654496317133
41,defer,42.839999999999996,below_ip,43.52,0,2,ss,lower,4.281335496374595
41,defer,37.74,at_ip,43.52,0,4,ll,upper,3.318510955581587
41,defer,35.02,below_ip,43.52,0,64,ss,lower,2.323159170926374
41,defer,37.06,below_ip,43.52,0,4,ll,upper,4.558621438301998
41,defer,39.1,above_ip,43.52,0,64,ss,lower,2.298592923227261
41,defer,37.06,at_ip,43.52,0,8,ll,upper,2.648512838208262
41,defer,34,below_ip,43.52,0,32,ss,lower,3.4907101646422234
41,defer,37.74,at_ip,43.52,0,4,ss,lower,1.9541942118594307
41,defer,37.06,below_ip,43.52,0,4,ll,upper,4.9162061727074615
41,defer,22.1,at_ip,43.52,0,128,ss,lower,1.775676174695036
41,defer,35.02,at_ip,43.52,0,16,ll,upper,3.8745924610739166
41,defer,36.38,above_ip,43.52,0,16,ll,upper,4.0932368747999135
41,defer,36.04,below_ip,43.52,0,8,ll,upper,3.5945168861544516
41,defer,43.18,at_ip,43.52,0,2,ss,lower,3.0656572487096128
41,defer,35.02,below_ip,43.52,0,64,ss,lower,2.5866321335070097
41,defer,37.400000000000006,above_ip,43.52,0,32,ss,lower,2.621616178086697
41,defer,19.720000000000002,below_ip,43.52,0,128,ss,lower,1.7969604322279338
41,defer,19.720000000000002,below_ip,43.52,0,128,ss,lower,4.0664557529289596
41,defer,37.400000000000006,above_ip,43.52,0,32,ss,lower,2.3533779956833314
41,defer,39.1,above_ip,43.52,0,64,ss,lower,2.5127407289091934
41,defer,37.06,at_ip,43.52,0,8,ll,upper,1.9286705215308757
41,defer,35.02,below_ip,43.52,0,64,ss,lower,2.083477118121664
41,defer,37.400000000000006,above_ip,43.52,0,32,ss,lower,2.431827003139915
41,defer,38.42,above_ip,43.52,0,4,ll,upper,1.6967474195698742
41,defer,34,below_ip,43.52,0,32,ss,lower,3.5983771540741145
41,defer,43.35,above_ip,43.52,0,2,ss,lower,2.881993067385338
41,defer,37.74,at_ip,43.52,0,4,ll,upper,2.4304226562035183
41,defer,43.35,above_ip,43.52,0,2,ss,lower,3.4892480485777924
41,defer,38.080000000000005,above_ip,43.52,0,8,ll,upper,2.0150403506831935
41,defer,22.1,at_ip,43.52,0,128,ss,lower,1.8526950297164149
41,defer,19.720000000000002,below_ip,43.52,0,128,ss,lower,2.6358916036861046
41,defer,43.35,above_ip,43.52,0,2,ss,lower,3.4940871659619006
41,defer,36.38,above_ip,43.52,0,16,ss,lower,3.252085257527142
41,defer,37.06,at_ip,43.52,0,8,ll,upper,3.010953111677736
41,defer,43.18,at_ip,43.52,0,2,ss,lower,2.7375529499204276
41,speedup,35.7,at_ip,43.52,0,32,ss,lower,4.159865204657763
41,speedup,39.1,above_ip,43.52,0,64,ss,lower,2.814696140527303
41,speedup,33.660000000000004,below_ip,43.52,0,16,ll,upper,9.574395928744707
41,speedup,38.42,above_ip,43.52,0,4,ll,upper,3.2334531014148524
41,speedup,19.720000000000002,below_ip,43.52,0,128,ll,upper,4.47541923404242
41,speedup,42.839999999999996,below_ip,43.52,0,2,ss,lower,3.624542462921454
41,speedup,37.06,below_ip,43.52,0,4,ll,upper,3.437807134081595
41,speedup,38.42,above_ip,43.52,0,4,ll,upper,1.639181511449351
41,speedup,37.400000000000006,above_ip,43.52,0,32,ll,upper,2.3749936192707537
41,speedup,37.06,at_ip,43.52,0,8,ll,upper,1.5966027328340715
41,speedup,36.04,below_ip,43.52,0,8,ll,upper,3.254672258712162
41,speedup,37.06,at_ip,43.52,0,8,ll,upper,1.9370983626158704
41,speedup,37.06,at_ip,43.52,0,64,ss,lower,2.1066319810179266
41,speedup,37.06,at_ip,43.52,0,64,ss,lower,2.447202681340059
41,speedup,35.02,at_ip,43.52,0,16,ll,upper,4.175699810186416
41,speedup,34,below_ip,43.52,0,32,ss,lower,2.954266349954196
41,speedup,37.400000000000006,above_ip,43.52,0,32,ss,lower,2.935013102423909
41,speedup,38.080000000000005,above_ip,43.52,0,8,ll,upper,1.5750715636077075
41,speedup,43.18,at_ip,43.52,0,2,ss,lower,4.264265745872763
41,speedup,33.660000000000004,below_ip,43.52,0,16,ll,upper,2.8968508761590783
41,speedup,35.7,at_ip,43.52,0,32,ss,lower,2.974420150721926
41,speedup,19.720000000000002,below_ip,43.52,0,128,ll,upper,2.8749009540752013
41,speedup,34,below_ip,43.52,0,32,ss,lower,4.2794437774191465
41,speedup,34,below_ip,43.52,0,32,ll,upper,3.192062255444398
41,speedup,43.18,at_ip,43.52,0,2,ss,lower,2.4078167466268496
41,speedup,37.06,at_ip,43.52,0,8,ll,upper,1.9236624954337458
41,speedup,37.06,at_ip,43.52,0,64,ss,lower,1.7823659568330186
41,speedup,38.080000000000005,above_ip,43.52,0,8,ll,upper,2.52386025938722
41,speedup,35.02,at_ip,43.52,0,16,ll,upper,2.37528481085792
41,speedup,24.48,above_ip,43.52,0,128,ll,upper,3.3750754344309826
41,speedup,36.04,below_ip,43.52,0,8,ll,upper,2.9336298690741387
41,speedup,42.839999999999996,below_ip,43.52,0,2,ss,lower,2.5723364740533725
41,speedup,37.74,at_ip,43.52,0,4,ll,upper,1.6882832161954866
41,speedup,37.06,below_ip,43.52,0,4,ll,upper,2.3274868702555978
41,speedup,35.02,at_ip,43.52,0,16,ll,upper,2.8000969732220256
41,speedup,37.06,at_ip,43.52,0,8,ll,upper,2.2286371503305418
41,speedup,24.48,above_ip,43.52,0,128,ll,upper,4.158575809489776
41,speedup,33.660000000000004,below_ip,43.52,0,16,ll,upper,1.6743022078717331
41,speedup,38.42,above_ip,43.52,0,4,ll,upper,1.5957845812463347
41,speedup,37.06,at_ip,43.52,0,64,ss,lower,2.115360104262436
41,speedup,33.660000000000004,below_ip,43.52,0,16,ll,upper,2.3990499151350377
41,speedup,37.74,at_ip,43.52,0,4,ll,upper,1.6505027940056607
41,speedup,34,below_ip,43.52,0,32,ss,lower,2.181544755507275
41,speedup,38.42,above_ip,43.52,0,4,ll,upper,1.5091566971186694
41,speedup,22.1,at_ip,43.52,0,128,ll,upper,3.7189671264077333
41,speedup,35.02,below_ip,43.52,0,64,ss,lower,1.9343670852376817
41,speedup,37.400000000000006,above_ip,43.52,0,32,ss,lower,3.3064606677053234
41,speedup,35.7,at_ip,43.52,0,32,ss,lower,3.248040832188053
41,speedup,37.400000000000006,above_ip,43.52,0,32,ss,lower,3.2092666050793923
41,speedup,35.02,below_ip,43.52,0,64,ss,lower,3.0013338190201466
41,speedup,35.02,at_ip,43.52,0,16,ll,upper,2.292815717339181
41,speedup,42.839999999999996,below_ip,43.52,0,2,ss,lower,2.350640266928167
41,speedup,35.7,at_ip,43.52,0,32,ss,lower,5.255725298977268
41,speedup,39.1,above_ip,43.52,0,64,ss,lower,2.5295758839729388
41,speedup,37.74,at_ip,43.52,0,4,ll,upper,2.5525826585017057
41,speedup,22.1,at_ip,43.52,0,128,ll,upper,2.979016461829815
41,speedup,36.38,above_ip,43.52,0,16,ll,upper,3.035784158977549
41,speedup,38.080000000000005,above_ip,43.52,0,8,ll,upper,2.309027435030657
41,speedup,36.04,below_ip,43.52,0,8,ll,upper,2.298946575849186
41,speedup,43.18,at_ip,43.52,0,2,ss,lower,2.477522382139796
41,speedup,24.48,above_ip,43.52,0,128,ss,lower,2.831396403214967
