participant_id,frame,t_l,m_s_cat,p_ll,m_s
43,delay,2,below_ip,0.75,42.839999999999996
43,delay,2,at_ip,0,43.18
43,delay,2,above_ip,0,43.35
43,delay,4,below_ip,0.75,40.459999999999994
43,delay,4,at_ip,0.5,41.13999999999999
43,delay,4,above_ip,0,41.81999999999999
43,delay,8,below_ip,0.75,40.11999999999999
43,delay,8,at_ip,0.75,41.13999999999999
43,delay,8,above_ip,0.5,42.16
43,delay,16,below_ip,1,38.42
43,delay,16,at_ip,1,39.78
43,delay,16,above_ip,0.5,41.14
43,delay,32,below_ip,0.3333333333333333,38.08
43,delay,32,at_ip,0.25,39.78
43,delay,32,above_ip,0,41.480000000000004
43,delay,64,below_ip,1,37.06
43,delay,64,at_ip,0.25,39.1
43,delay,64,above_ip,0,41.14
43,delay,128,below_ip,1,36.04
43,delay,128,at_ip,0.25,38.42
43,delay,128,above_ip,0,40.800000000000004
43,date,2,below_ip,0.5,42.839999999999996
43,date,2,at_ip,0.25,43.18
43,date,2,above_ip,0.25,43.35
43,date,4,below_ip,1,40.459999999999994
43,date,4,at_ip,1,41.13999999999999
43,date,4,above_ip,1,41.81999999999999
43,date,8,below_ip,1,40.11999999999999
43,date,8,at_ip,1,41.13999999999999
43,date,8,above_ip,0.25,42.16
43,date,16,below_ip,1,38.42
43,date,16,at_ip,1,39.78
43,date,16,above_ip,0.25,41.14
43,date,32,below_ip,1,38.08
43,date,32,at_ip,1,39.78
43,date,32,above_ip,0.5,41.480000000000004
43,date,64,below_ip,1,37.06
43,date,64,at_ip,0.25,39.1
43,date,64,above_ip,0.5,41.14
43,date,128,below_ip,1,36.04
43,date,128,at_ip,0.25,38.42
43,date,128,above_ip,0,40.800000000000004
