participant_id,frame,t_l,m_s_cat,p_ll,m_s
92,neutral,2,below_ip,1,42.84
92,neutral,2,at_ip,1,43.18
92,neutral,2,above_ip,1,43.35
92,neutral,4,below_ip,1,40.46
92,neutral,4,at_ip,1,41.14
92,neutral,4,above_ip,1,41.82
92,neutral,8,below_ip,1,38.08
92,neutral,8,at_ip,1,39.1
92,neutral,8,above_ip,1,40.12
92,neutral,16,below_ip,1,36.38
92,neutral,16,at_ip,1,37.74
92,neutral,16,above_ip,1,39.1
92,neutral,32,below_ip,1,34.68
92,neutral,32,at_ip,1,36.38
92,neutral,32,above_ip,1,38.08
92,neutral,64,below_ip,0,31.62
92,neutral,64,at_ip,0,33.66
92,neutral,64,above_ip,0,35.7
92,neutral,128,below_ip,0,29.92
92,neutral,128,at_ip,0,32.3
92,neutral,128,above_ip,0,34.68
92,defer,2,below_ip,0.75,42.84
92,defer,2,at_ip,1,43.18
92,defer,2,above_ip,0.75,43.35
92,defer,4,below_ip,1,40.46
92,defer,4,at_ip,1,41.14
92,defer,4,above_ip,1,41.82
92,defer,8,below_ip,1,38.08
92,defer,8,at_ip,1,39.1
92,defer,8,above_ip,1,40.12
92,defer,16,below_ip,1,36.38
92,defer,16,at_ip,1,37.74
92,defer,16,above_ip,0.75,39.1
92,defer,32,below_ip,1,34.68
92,defer,32,at_ip,1,36.38
92,defer,32,above_ip,1,38.08
92,defer,64,below_ip,0,31.62
92,defer,64,at_ip,0,33.66
92,defer,64,above_ip,0,35.7
92,defer,128,below_ip,0,29.92
92,defer,128,at_ip,0,32.3
92,defer,128,above_ip,0,34.68
92,speedup,2,below_ip,1,42.84
92,speedup,2,at_ip,1,43.18
92,speedup,2,above_ip,0.75,43.35
92,speedup,4,below_ip,1,40.46
92,speedup,4,at_ip,1,41.14
92,speedup,4,above_ip,1,41.82
92,speedup,8,below_ip,1,38.08
92,speedup,8,at_ip,1,39.1
92,speedup,8,above_ip,1,40.12
92,speedup,16,below_ip,1,36.38
92,speedup,16,at_ip,1,37.74
92,speedup,16,above_ip,0.75,39.1
92,speedup,32,below_ip,1,34.68
92,speedup,32,at_ip,1,36.38
92,speedup,32,above_ip,1,38.08
92,speedup,64,below_ip,0.75,31.62
92,speedup,64,at_ip,0.25,33.66
92,speedup,64,above_ip,0.3333333333333333,35.7
92,speedup,128,below_ip,0,29.92
92,speedup,128,at_ip,0,32.3
92,speedup,128,above_ip,0,34.68
