participant_id,frame,t_l,m_s_cat,p_ll,m_s
9,neutral,2,below_ip,1,29.92
9,neutral,2,at_ip,1,30.26
9,neutral,2,above_ip,1,30.6
9,neutral,4,below_ip,1,24.14
9,neutral,4,at_ip,1,24.82
9,neutral,4,above_ip,1,25.5
9,neutral,8,below_ip,1,28.56
9,neutral,8,at_ip,1,29.58
9,neutral,8,above_ip,1,30.599999999999998
9,neutral,16,below_ip,1,28.900000000000002
9,neutral,16,at_ip,1,30.26
9,neutral,16,above_ip,1,31.62
9,neutral,32,below_ip,1,17.68
9,neutral,32,at_ip,1,19.38
9,neutral,32,above_ip,1,21.08
9,neutral,64,below_ip,1,16.66
9,neutral,64,at_ip,1,18.7
9,neutral,64,above_ip,1,20.74
9,neutral,128,below_ip,1,4.76
9,neutral,128,at_ip,0,7.14
9,neutral,128,above_ip,0,9.52
9,defer,2,below_ip,1,29.92
9,defer,2,at_ip,1,30.26
9,defer,2,above_ip,1,30.6
9,defer,4,below_ip,1,24.14
9,defer,4,at_ip,1,24.82
9,defer,4,above_ip,1,25.5
9,defer,8,below_ip,1,28.56
9,defer,8,at_ip,1,29.58
9,defer,8,above_ip,1,30.599999999999998
9,defer,16,below_ip,1,28.900000000000002
9,defer,16,at_ip,1,30.26
9,defer,16,above_ip,0.75,31.62
9,defer,32,below_ip,1,17.68
9,defer,32,at_ip,1,19.38
9,defer,32,above_ip,1,21.08
9,defer,64,below_ip,1,16.66
9,defer,64,at_ip,1,18.7
9,defer,64,above_ip,1,20.74
9,defer,128,below_ip,1,4.76
9,defer,128,at_ip,0,7.14
9,defer,128,above_ip,0,9.52
9,speedup,2,below_ip,1,29.92
9,speedup,2,at_ip,1,30.26
9,speedup,2,above_ip,1,30.6
9,speedup,4,below_ip,1,24.14
9,speedup,4,at_ip,1,24.82
9,speedup,4,above_ip,1,25.5
9,speedup,8,below_ip,1,28.56
9,speedup,8,at_ip,1,29.58
9,speedup,8,above_ip,0.75,30.599999999999998
9,speedup,16,below_ip,1,28.900000000000002
9,speedup,16,at_ip,0.75,30.26
9,speedup,16,above_ip,0.5,31.62
9,speedup,32,below_ip,1,17.68
9,speedup,32,at_ip,1,19.38
9,speedup,32,above_ip,0.75,21.08
9,speedup,64,below_ip,1,16.66
9,speedup,64,at_ip,1,18.7
9,speedup,64,above_ip,0.25,20.74
9,speedup,128,below_ip,0.6666666666666666,4.76
9,speedup,128,at_ip,0.25,7.14
9,speedup,128,above_ip,0,9.52
