participant_id,model,parameterization,bound_settings,algorithm,frame,ip,delay
14,DFT_CRT,time_and_value_scaling,wide,DEoptim,delay,43.520000000000046,0
14,DFT_CRT,time_and_value_scaling,wide,DEoptim,delay,8.14392501162218e-5,1
14,DFT_CRT,time_and_value_scaling,wide,DEoptim,delay,6.838665583406896e-5,2
14,DFT_CRT,time_and_value_scaling,wide,DEoptim,delay,6.163098610141122e-5,3
14,DFT_CRT,time_and_value_scaling,wide,DEoptim,delay,5.719836178556779e-5,4
14,DFT_CRT,time_and_value_scaling,wide,DEoptim,delay,5.3954510751095645e-5,5
14,DFT_CRT,time_and_value_scaling,wide,DEoptim,delay,5.1424608604357775e-5,6
14,DFT_CRT,time_and_value_scaling,wide,DEoptim,delay,4.936713374729898e-5,7
14,DFT_CRT,time_and_value_scaling,wide,DEoptim,delay,4.76434154906008e-5,8
14,DFT_CRT,time_and_value_scaling,wide,DEoptim,delay,4.616691173081153e-5,9
14,DFT_CRT,time_and_value_scaling,wide,DEoptim,delay,4.48802058030358e-5,10
14,DFT_CRT,time_and_value_scaling,wide,DEoptim,delay,4.3743375070331975e-5,11
14,DFT_CRT,time_and_value_scaling,wide,DEoptim,delay,4.2727609851941475e-5,12
14,DFT_CRT,time_and_value_scaling,wide,DEoptim,delay,4.1811482745537165e-5,13
14,DFT_CRT,time_and_value_scaling,wide,DEoptim,delay,4.0978653041517035e-5,14
14,DFT_CRT,time_and_value_scaling,wide,DEoptim,delay,4.0216393496864734e-5,15
14,DFT_CRT,time_and_value_scaling,wide,DEoptim,delay,3.9514610951549966e-5,16
14,DFT_CRT,time_and_value_scaling,wide,DEoptim,delay,3.886517542998498e-5,17
14,DFT_CRT,time_and_value_scaling,wide,DEoptim,delay,3.826144853736181e-5,18
14,DFT_CRT,time_and_value_scaling,wide,DEoptim,delay,3.769794440950036e-5,19
14,DFT_CRT,time_and_value_scaling,wide,DEoptim,delay,3.7170081094109616e-5,20
14,DFT_CRT,time_and_value_scaling,wide,DEoptim,delay,3.6673995023374357e-5,21
14,DFT_CRT,time_and_value_scaling,wide,DEoptim,delay,3.620640038736923e-5,22
14,DFT_CRT,time_and_value_scaling,wide,DEoptim,delay,3.57644810356912e-5,23
14,DFT_CRT,time_and_value_scaling,wide,DEoptim,delay,3.534580632398849e-5,24
14,DFT_CRT,time_and_value_scaling,wide,DEoptim,delay,3.4948264843875256e-5,25
14,DFT_CRT,time_and_value_scaling,wide,DEoptim,delay,3.4570011686016815e-5,26
14,DFT_CRT,time_and_value_scaling,wide,DEoptim,delay,3.420942606812904e-5,27
14,DFT_CRT,time_and_value_scaling,wide,DEoptim,delay,3.386507698925699e-5,28
14,DFT_CRT,time_and_value_scaling,wide,DEoptim,delay,3.3535695162669673e-05,29
14,DFT_CRT,time_and_value_scaling,wide,DEoptim,delay,3.3220149906414224e-5,30
14,DFT_CRT,time_and_value_scaling,wide,DEoptim,delay,3.291742998255815e-5,31
14,DFT_CRT,time_and_value_scaling,wide,DEoptim,delay,3.2626627606911633e-5,32
14,DFT_CRT,time_and_value_scaling,wide,DEoptim,delay,3.234692502354471e-5,33
14,DFT_CRT,time_and_value_scaling,wide,DEoptim,delay,3.2077583168693414e-5,34
14,DFT_CRT,time_and_value_scaling,wide,DEoptim,delay,3.181793204796133e-5,35
14,DFT_CRT,time_and_value_scaling,wide,DEoptim,delay,3.1567362527067425e-5,36
14,DFT_CRT,time_and_value_scaling,wide,DEoptim,delay,3.1325319295592627e-5,37
14,DFT_CRT,time_and_value_scaling,wide,DEoptim,delay,3.109129480941312e-5,38
14,DFT_CRT,time_and_value_scaling,wide,DEoptim,delay,3.086482405389166e-5,39
14,DFT_CRT,time_and_value_scaling,wide,DEoptim,delay,3.0645479998728165e-5,40
14,DFT_CRT,time_and_value_scaling,wide,DEoptim,delay,3.0432869638350094e-5,41
14,DFT_CRT,time_and_value_scaling,wide,DEoptim,delay,3.022663053016604e-5,42
14,DFT_CRT,time_and_value_scaling,wide,DEoptim,delay,3.0026427757878032e-5,43
14,DFT_CRT,time_and_value_scaling,wide,DEoptim,delay,2.9831951259121664e-5,44
14,DFT_CRT,time_and_value_scaling,wide,DEoptim,delay,2.9642913466548003e-5,45
14,DFT_CRT,time_and_value_scaling,wide,DEoptim,delay,2.9459047219520042e-5,46
14,DFT_CRT,time_and_value_scaling,wide,DEoptim,delay,2.928010391024987e-5,47
14,DFT_CRT,time_and_value_scaling,wide,DEoptim,delay,2.9105851833690055e-5,48
14,DFT_CRT,time_and_value_scaling,wide,DEoptim,delay,2.8936074715056843e-5,49
14,DFT_CRT,time_and_value_scaling,wide,DEoptim,delay,2.8770570392677715e-5,50
14,DFT_CRT,time_and_value_scaling,wide,DEoptim,delay,2.8609149637030343e-5,51
14,DFT_CRT,time_and_value_scaling,wide,DEoptim,delay,2.8451635089536027e-5,52
14,DFT_CRT,time_and_value_scaling,wide,DEoptim,delay,2.8297860306912864e-5,53
14,DFT_CRT,time_and_value_scaling,wide,DEoptim,delay,2.8147668898825648e-5,54
14,DFT_CRT,time_and_value_scaling,wide,DEoptim,delay,2.8000913748179053e-5,55
14,DFT_CRT,time_and_value_scaling,wide,DEoptim,delay,2.7857456304794562e-5,56
14,DFT_CRT,time_and_value_scaling,wide,DEoptim,delay,2.771716594439348e-5,57
14,DFT_CRT,time_and_value_scaling,wide,DEoptim,delay,2.7579919385815398e-5,58
14,DFT_CRT,time_and_value_scaling,wide,DEoptim,delay,2.7445600160285393e-5,59
14,DFT_CRT,time_and_value_scaling,wide,DEoptim,delay,2.731409812728426e-5,60
14,DFT_CRT,time_and_value_scaling,wide,DEoptim,delay,2.7185309032228126e-5,61
14,DFT_CRT,time_and_value_scaling,wide,DEoptim,delay,2.705913410173158e-5,62
14,DFT_CRT,time_and_value_scaling,wide,DEoptim,delay,2.6935479672709554e-5,63
14,DFT_CRT,time_and_value_scaling,wide,DEoptim,delay,2.681425685200039e-5,64
14,DFT_CRT,time_and_value_scaling,wide,DEoptim,delay,2.6695381203571853e-5,65
14,DFT_CRT,time_and_value_scaling,wide,DEoptim,delay,2.6578772460681603e-5,66
14,DFT_CRT,time_and_value_scaling,wide,DEoptim,delay,2.646435426066233e-5,67
14,DFT_CRT,time_and_value_scaling,wide,DEoptim,delay,2.6352053900243926e-5,68
14,DFT_CRT,time_and_value_scaling,wide,DEoptim,delay,2.6241802109544425e-5,69
14,DFT_CRT,time_and_value_scaling,wide,DEoptim,delay,2.6133532843062064e-5,70
14,DFT_CRT,time_and_value_scaling,wide,DEoptim,delay,2.602718308616403e-5,71
14,DFT_CRT,time_and_value_scaling,wide,DEoptim,delay,2.592269267572349e-5,72
14,DFT_CRT,time_and_value_scaling,wide,DEoptim,delay,2.5820004133691677e-5,73
14,DFT_CRT,time_and_value_scaling,wide,DEoptim,delay,2.5719062512506716e-5,74
14,DFT_CRT,time_and_value_scaling,wide,DEoptim,delay,2.5619815251353388e-5,75
14,DFT_CRT,time_and_value_scaling,wide,DEoptim,delay,2.5522212042376564e-5,76
14,DFT_CRT,time_and_value_scaling,wide,DEoptim,delay,2.542620470603814e-5,77
14,DFT_CRT,time_and_value_scaling,wide,DEoptim,delay,2.5331747074885877e-5,78
14,DFT_CRT,time_and_value_scaling,wide,DEoptim,delay,2.523879488506327e-5,79
14,DFT_CRT,time_and_value_scaling,wide,DEoptim,delay,2.5147305674956055e-5,80
14,DFT_CRT,time_and_value_scaling,wide,DEoptim,delay,2.505723869042405e-5,81
14,DFT_CRT,time_and_value_scaling,wide,DEoptim,delay,2.4968554796112804e-5,82
14,DFT_CRT,time_and_value_scaling,wide,DEoptim,delay,2.4881216392388296e-5,83
14,DFT_CRT,time_and_value_scaling,wide,DEoptim,delay,2.479518733747493e-5,84
14,DFT_CRT,time_and_value_scaling,wide,DEoptim,delay,2.4710432874412753e-5,85
