participant_id,model,parameterization,bound_settings,algorithm,frame,ip,delay
56,DDM,time_scaling,wide,DEoptimR,delay,43.519999999999996,0
56,DDM,time_scaling,wide,DEoptimR,delay,41.64460288928317,1
56,DDM,time_scaling,wide,DEoptimR,delay,40.60146827739717,2
56,DDM,time_scaling,wide,DEoptimR,delay,39.74480727948168,3
56,DDM,time_scaling,wide,DEoptimR,delay,38.99214768158443,4
56,DDM,time_scaling,wide,DEoptimR,delay,38.30942911305504,5
56,DDM,time_scaling,wide,DEoptimR,delay,37.678399405776155,6
56,DDM,time_scaling,wide,DEoptimR,delay,37.08783969280907,7
56,DDM,time_scaling,wide,DEoptimR,delay,36.530231602815896,8
56,DDM,time_scaling,wide,DEoptimR,delay,36.00022560264395,9
56,DDM,time_scaling,wide,DEoptimR,delay,35.49384366640654,10
56,DDM,time_scaling,wide,DEoptimR,delay,35.00802563822226,11
56,DDM,time_scaling,wide,DEoptimR,delay,34.540353269397805,12
56,DDM,time_scaling,wide,DEoptimR,delay,34.08887330890353,13
56,DDM,time_scaling,wide,DEoptimR,delay,33.65197920254017,14
56,DDM,time_scaling,wide,DEoptimR,delay,33.228329183995484,15
56,DDM,time_scaling,wide,DEoptimR,delay,32.81678788365362,16
56,DDM,time_scaling,wide,DEoptimR,delay,32.416383655680114,17
56,DDM,time_scaling,wide,DEoptimR,delay,32.0262767171555,18
56,DDM,time_scaling,wide,DEoptimR,delay,31.645734911834914,19
56,DDM,time_scaling,wide,DEoptimR,delay,31.274114968984563,20
56,DDM,time_scaling,wide,DEoptimR,delay,30.910847799191025,21
56,DDM,time_scaling,wide,DEoptimR,delay,30.555426806897586,22
56,DDM,time_scaling,wide,DEoptimR,delay,30.2073984918796,23
56,DDM,time_scaling,wide,DEoptimR,delay,29.866354811429996,24
56,DDM,time_scaling,wide,DEoptimR,delay,29.531926913839794,25
56,DDM,time_scaling,wide,DEoptimR,delay,29.203779952001177,26
56,DDM,time_scaling,wide,DEoptimR,delay,28.881608756599228,27
56,DDM,time_scaling,wide,DEoptimR,delay,28.565134199878482,28
56,DDM,time_scaling,wide,DEoptimR,delay,28.254100119046722,29
56,DDM,time_scaling,wide,DEoptimR,delay,27.948270696861677,30
56,DDM,time_scaling,wide,DEoptimR,delay,27.647428218489278,31
56,DDM,time_scaling,wide,DEoptimR,delay,27.351371140189322,32
56,DDM,time_scaling,wide,DEoptimR,delay,27.059912418088764,33
56,DDM,time_scaling,wide,DEoptimR,delay,26.772878055195093,34
56,DDM,time_scaling,wide,DEoptimR,delay,26.490105832568055,35
56,DDM,time_scaling,wide,DEoptimR,delay,26.21144419671084,36
56,DDM,time_scaling,wide,DEoptimR,delay,25.936751280139756,37
56,DDM,time_scaling,wide,DEoptimR,delay,25.665894036019726,38
56,DDM,time_scaling,wide,DEoptimR,delay,25.398747470926835,39
56,DDM,time_scaling,wide,DEoptimR,delay,25.13519396237803,40
56,DDM,time_scaling,wide,DEoptimR,delay,24.875122649875365,41
56,DDM,time_scaling,wide,DEoptimR,delay,24.618428889944077,42
56,DDM,time_scaling,wide,DEoptimR,delay,24.365013767074228,43
56,DDM,time_scaling,wide,DEoptimR,delay,24.114783653662602,44
56,DDM,time_scaling,wide,DEoptimR,delay,23.867649813042107,45
56,DDM,time_scaling,wide,DEoptimR,delay,23.62352804051428,46
56,DDM,time_scaling,wide,DEoptimR,delay,23.38233833799878,47
56,DDM,time_scaling,wide,DEoptimR,delay,23.14400461850197,48
56,DDM,time_scaling,wide,DEoptimR,delay,22.90845443710634,49
