participant_id,model,parameterization,bound_settings,algorithm,frame,ip,delay
41,DDM,time_scaling_t0,wide,DEoptimR,neutral,43.519999999999996,0
41,DDM,time_scaling_t0,wide,DEoptimR,neutral,41.887474105868364,1
41,DDM,time_scaling_t0,wide,DEoptimR,neutral,41.096115550163795,2
41,DDM,time_scaling_t0,wide,DEoptimR,neutral,40.46724745604876,3
41,DDM,time_scaling_t0,wide,DEoptimR,neutral,39.925532092091196,4
41,DDM,time_scaling_t0,wide,DEoptimR,neutral,39.44085719359084,5
41,DDM,time_scaling_t0,wide,DEoptimR,neutral,38.997447279197274,6
41,DDM,time_scaling_t0,wide,DEoptimR,neutral,38.58577602656508,7
41,DDM,time_scaling_t0,wide,DEoptimR,neutral,38.19955252279075,8
41,DDM,time_scaling_t0,wide,DEoptimR,neutral,37.83435686492279,9
41,DDM,time_scaling_t0,wide,DEoptimR,neutral,37.48693873466446,10
41,DDM,time_scaling_t0,wide,DEoptimR,neutral,37.154822616526744,11
41,DDM,time_scaling_t0,wide,DEoptimR,neutral,36.83606992106486,12
41,DDM,time_scaling_t0,wide,DEoptimR,neutral,36.52912779307541,13
41,DDM,time_scaling_t0,wide,DEoptimR,neutral,36.23272879383884,14
41,DDM,time_scaling_t0,wide,DEoptimR,neutral,35.94582193899135,15
41,DDM,time_scaling_t0,wide,DEoptimR,neutral,35.667523861758106,16
41,DDM,time_scaling_t0,wide,DEoptimR,neutral,35.39708334237575,17
41,DDM,time_scaling_t0,wide,DEoptimR,neutral,35.13385497761423,18
41,DDM,time_scaling_t0,wide,DEoptimR,neutral,34.877279260349326,19
41,DDM,time_scaling_t0,wide,DEoptimR,neutral,34.62686725488242,20
41,DDM,time_scaling_t0,wide,DEoptimR,neutral,34.3821886319576,21
41,DDM,time_scaling_t0,wide,DEoptimR,neutral,34.142862202693046,22
41,DDM,time_scaling_t0,wide,DEoptimR,neutral,33.908548340146176,23
41,DDM,time_scaling_t0,wide,DEoptimR,neutral,33.67894284674303,24
41,DDM,time_scaling_t0,wide,DEoptimR,neutral,33.453771943223735,25
41,DDM,time_scaling_t0,wide,DEoptimR,neutral,33.23278813753226,26
41,DDM,time_scaling_t0,wide,DEoptimR,neutral,33.01576679136958,27
41,DDM,time_scaling_t0,wide,DEoptimR,neutral,32.80250324521668,28
41,DDM,time_scaling_t0,wide,DEoptimR,neutral,32.592810394366666,29
41,DDM,time_scaling_t0,wide,DEoptimR,neutral,32.38651663216241,30
41,DDM,time_scaling_t0,wide,DEoptimR,neutral,32.18346409447181,31
41,DDM,time_scaling_t0,wide,DEoptimR,neutral,31.983507153023925,32
41,DDM,time_scaling_t0,wide,DEoptimR,neutral,31.78651111567996,33
41,DDM,time_scaling_t0,wide,DEoptimR,neutral,31.592351099831543,34
41,DDM,time_scaling_t0,wide,DEoptimR,neutral,31.40091105146817,35
41,DDM,time_scaling_t0,wide,DEoptimR,neutral,31.212082887469826,36
41,DDM,time_scaling_t0,wide,DEoptimR,neutral,31.025765742663,37
41,DDM,time_scaling_t0,wide,DEoptimR,neutral,30.84186530636789,38
41,DDM,time_scaling_t0,wide,DEoptimR,neutral,30.660293235732453,39
41,DDM,time_scaling_t0,wide,DEoptimR,neutral,30.480966635230946,40
41,DDM,time_scaling_t0,wide,DEoptimR,neutral,30.303807593402727,41
41,DDM,time_scaling_t0,wide,DEoptimR,neutral,30.12874276929778,42
41,DDM,time_scaling_t0,wide,DEoptimR,neutral,29.95570302224226,43
41,DDM,time_scaling_t0,wide,DEoptimR,neutral,29.784623079487584,44
41,DDM,time_scaling_t0,wide,DEoptimR,neutral,29.615441237095922,45
41,DDM,time_scaling_t0,wide,DEoptimR,neutral,29.448099090075367,46
41,DDM,time_scaling_t0,wide,DEoptimR,neutral,29.282541288332855,47
41,DDM,time_scaling_t0,wide,DEoptimR,neutral,29.11871531547931,48
41,DDM,time_scaling_t0,wide,DEoptimR,neutral,28.9565712879168,49
41,DDM,time_scaling_t0,wide,DEoptimR,neutral,28.796061771972965,50
41,DDM,time_scaling_t0,wide,DEoptimR,neutral,28.637141617134162,51
41,DDM,time_scaling_t0,wide,DEoptimR,neutral,28.479767803672672,52
41,DDM,time_scaling_t0,wide,DEoptimR,neutral,28.32389930317338,53
41,DDM,time_scaling_t0,wide,DEoptimR,neutral,28.16949695064549,54
41,DDM,time_scaling_t0,wide,DEoptimR,neutral,28.016523327061105,55
41,DDM,time_scaling_t0,wide,DEoptimR,neutral,27.86494265129643,56
41,DDM,time_scaling_t0,wide,DEoptimR,neutral,27.714720680568853,57
41,DDM,time_scaling_t0,wide,DEoptimR,neutral,27.565824618565273,58
41,DDM,time_scaling_t0,wide,DEoptimR,neutral,27.418223030544834,59
41,DDM,time_scaling_t0,wide,DEoptimR,neutral,27.271885764778137,60
41,DDM,time_scaling_t0,wide,DEoptimR,neutral,27.126783879752107,61
41,DDM,time_scaling_t0,wide,DEoptimR,neutral,26.982889576629994,62
41,DDM,time_scaling_t0,wide,DEoptimR,neutral,26.84017613650897,63
41,DDM,time_scaling_t0,wide,DEoptimR,neutral,26.698617862063386,64
41,DDM,time_scaling_t0,wide,DEoptimR,neutral,26.558190023203945,65
41,DDM,time_scaling_t0,wide,DEoptimR,neutral,26.418868806418764,66
41,DDM,time_scaling_t0,wide,DEoptimR,neutral,26.280631267495163,67
41,DDM,time_scaling_t0,wide,DEoptimR,neutral,26.1434552873492,68
41,DDM,time_scaling_t0,wide,DEoptimR,neutral,26.00731953071643,69
41,DDM,time_scaling_t0,wide,DEoptimR,neutral,25.872203407479574,70
41,DDM,time_scaling_t0,wide,DEoptimR,neutral,25.738087036429615,71
41,DDM,time_scaling_t0,wide,DEoptimR,neutral,25.60495121127525,72
41,DDM,time_scaling_t0,wide,DEoptimR,neutral,25.472777368731794,73
41,DDM,time_scaling_t0,wide,DEoptimR,neutral,25.341547558535716,74
41,DDM,time_scaling_t0,wide,DEoptimR,neutral,25.211244415244096,75
41,DDM,time_scaling_t0,wide,DEoptimR,neutral,25.081851131690637,76
41,DDM,time_scaling_t0,wide,DEoptimR,neutral,24.953351433980078,77
41,DDM,time_scaling_t0,wide,DEoptimR,neutral,24.82572955791338,78
41,DDM,time_scaling_t0,wide,DEoptimR,neutral,24.698970226744336,79
