participant_id,model,parameterization,bound_settings,algorithm,frame,ip,delay
25,DDM,value_scaling_t0,wide,DEoptimR,delay,43.52000000000002,0
25,DDM,value_scaling_t0,wide,DEoptimR,delay,42.08460946012789,1
25,DDM,value_scaling_t0,wide,DEoptimR,delay,41.807561973326166,2
25,DDM,value_scaling_t0,wide,DEoptimR,delay,41.62128188328717,3
25,DDM,value_scaling_t0,wide,DEoptimR,delay,41.476923146544216,4
25,DDM,value_scaling_t0,wide,DEoptimR,delay,41.357415755864324,5
25,DDM,value_scaling_t0,wide,DEoptimR,delay,41.2545873249177,6
25,DDM,value_scaling_t0,wide,DEoptimR,delay,41.16383196244639,7
25,DDM,value_scaling_t0,wide,DEoptimR,delay,41.0822745931589,8
25,DDM,value_scaling_t0,wide,DEoptimR,delay,41.00798928857486,9
25,DDM,value_scaling_t0,wide,DEoptimR,delay,40.93961721363174,10
25,DDM,value_scaling_t0,wide,DEoptimR,delay,40.87616068211451,11
25,DDM,value_scaling_t0,wide,DEoptimR,delay,40.81686366604348,12
25,DDM,value_scaling_t0,wide,DEoptimR,delay,40.76113836193311,13
25,DDM,value_scaling_t0,wide,DEoptimR,delay,40.70851792358203,14
25,DDM,value_scaling_t0,wide,DEoptimR,delay,40.658624855763165,15
25,DDM,value_scaling_t0,wide,DEoptimR,delay,40.611149193844284,16
25,DDM,value_scaling_t0,wide,DEoptimR,delay,40.565833024242316,17
25,DDM,value_scaling_t0,wide,DEoptimR,delay,40.52245924280097,18
25,DDM,value_scaling_t0,wide,DEoptimR,delay,40.48084322254888,19
25,DDM,value_scaling_t0,wide,DEoptimR,delay,40.4408265261017,20
25,DDM,value_scaling_t0,wide,DEoptimR,delay,40.4022720849586,21
25,DDM,value_scaling_t0,wide,DEoptimR,delay,40.36506045066934,22
25,DDM,value_scaling_t0,wide,DEoptimR,delay,40.32908684217494,23
25,DDM,value_scaling_t0,wide,DEoptimR,delay,40.294258793328176,24
25,DDM,value_scaling_t0,wide,DEoptimR,delay,40.26049425892783,25
25,DDM,value_scaling_t0,wide,DEoptimR,delay,40.227720075317336,26
25,DDM,value_scaling_t0,wide,DEoptimR,delay,40.195870698220006,27
25,DDM,value_scaling_t0,wide,DEoptimR,delay,40.164887159561964,28
25,DDM,value_scaling_t0,wide,DEoptimR,delay,40.13471619889742,29
25,DDM,value_scaling_t0,wide,DEoptimR,delay,40.10530953525419,30
25,DDM,value_scaling_t0,wide,DEoptimR,delay,40.0766232528166,31
25,DDM,value_scaling_t0,wide,DEoptimR,delay,40.048617279582494,32
25,DDM,value_scaling_t0,wide,DEoptimR,delay,40.02125494248303,33
25,DDM,value_scaling_t0,wide,DEoptimR,delay,39.99450258579286,34
25,DDM,value_scaling_t0,wide,DEoptimR,delay,39.96832924224529,35
25,DDM,value_scaling_t0,wide,DEoptimR,delay,39.94270634828795,36
25,DDM,value_scaling_t0,wide,DEoptimR,delay,39.91760749650196,37
25,DDM,value_scaling_t0,wide,DEoptimR,delay,39.89300821946935,38
25,DDM,value_scaling_t0,wide,DEoptimR,delay,39.86888580037776,39
25,DDM,value_scaling_t0,wide,DEoptimR,delay,39.84521910645923,40
25,DDM,value_scaling_t0,wide,DEoptimR,delay,39.82198844201212,41
25,DDM,value_scaling_t0,wide,DEoptimR,delay,39.799175418286,42
25,DDM,value_scaling_t0,wide,DEoptimR,delay,39.776762837941824,43
25,DDM,value_scaling_t0,wide,DEoptimR,delay,39.754734592156545,44
25,DDM,value_scaling_t0,wide,DEoptimR,delay,39.73307556873383,45
25,DDM,value_scaling_t0,wide,DEoptimR,delay,39.71177156982744,46
25,DDM,value_scaling_t0,wide,DEoptimR,delay,39.69080923808545,47
25,DDM,value_scaling_t0,wide,DEoptimR,delay,39.670175990194174,48
25,DDM,value_scaling_t0,wide,DEoptimR,delay,39.64985995694236,49
25,DDM,value_scaling_t0,wide,DEoptimR,delay,39.629849929047126,50
25,DDM,value_scaling_t0,wide,DEoptimR,delay,39.610135308083706,51
25,DDM,value_scaling_t0,wide,DEoptimR,delay,39.590706061949,52
25,DDM,value_scaling_t0,wide,DEoptimR,delay,39.57155268436036,53
25,DDM,value_scaling_t0,wide,DEoptimR,delay,39.55266615795634,54
25,DDM,value_scaling_t0,wide,DEoptimR,delay,39.53403792061754,55
25,DDM,value_scaling_t0,wide,DEoptimR,delay,39.51565983467462,56
25,DDM,value_scaling_t0,wide,DEoptimR,delay,39.49752415870794,57
25,DDM,value_scaling_t0,wide,DEoptimR,delay,39.479623521680274,58
25,DDM,value_scaling_t0,wide,DEoptimR,delay,39.46195089917237,59
25,DDM,value_scaling_t0,wide,DEoptimR,delay,39.44449959151801,60
25,DDM,value_scaling_t0,wide,DEoptimR,delay,39.42726320365786,61
25,DDM,value_scaling_t0,wide,DEoptimR,delay,39.41023562655091,62
25,DDM,value_scaling_t0,wide,DEoptimR,delay,39.39341102000044,63
25,DDM,value_scaling_t0,wide,DEoptimR,delay,39.376783796765885,64
25,DDM,value_scaling_t0,wide,DEoptimR,delay,39.36034860784595,65
25,DDM,value_scaling_t0,wide,DEoptimR,delay,39.34410032883015,66
25,DDM,value_scaling_t0,wide,DEoptimR,delay,39.32803404722601,67
25,DDM,value_scaling_t0,wide,DEoptimR,delay,39.312145050679035,68
25,DDM,value_scaling_t0,wide,DEoptimR,delay,39.296428816010305,69
25,DDM,value_scaling_t0,wide,DEoptimR,delay,39.28088099900362,70
25,DDM,value_scaling_t0,wide,DEoptimR,delay,39.265497424881744,71
25,DDM,value_scaling_t0,wide,DEoptimR,delay,39.250274079415604,72
25,DDM,value_scaling_t0,wide,DEoptimR,delay,39.23520710061644,73
25,DDM,value_scaling_t0,wide,DEoptimR,delay,39.220292770965386,74
25,DDM,value_scaling_t0,wide,DEoptimR,delay,39.20552751013868,75
25,DDM,value_scaling_t0,wide,DEoptimR,delay,39.19090786819096,76
25,DDM,value_scaling_t0,wide,DEoptimR,delay,39.17643051916216,77
25,DDM,value_scaling_t0,wide,DEoptimR,delay,39.162092255076374,78
25,DDM,value_scaling_t0,wide,DEoptimR,delay,39.147889980304015,79
25,DDM,value_scaling_t0,wide,DEoptimR,delay,39.133820706261346,80
25,DDM,value_scaling_t0,wide,DEoptimR,delay,39.11988154642256,81
25,DDM,value_scaling_t0,wide,DEoptimR,delay,39.10606971162294,82
25,DDM,value_scaling_t0,wide,DEoptimR,delay,39.09238250563252,83
25,DDM,value_scaling_t0,wide,DEoptimR,delay,39.07881732098177,84
25,DDM,value_scaling_t0,wide,DEoptimR,delay,39.065371635021826,85
25,DDM,value_scaling_t0,wide,DEoptimR,delay,39.05204300620392,86
25,DDM,value_scaling_t0,wide,DEoptimR,delay,39.03882907056318,87
25,DDM,value_scaling_t0,wide,DEoptimR,delay,39.02572753839319,88
25,DDM,value_scaling_t0,wide,DEoptimR,delay,39.01273619109932,89
25,DDM,value_scaling_t0,wide,DEoptimR,delay,38.999852878219045,90
25,DDM,value_scaling_t0,wide,DEoptimR,delay,38.987075514598736,91
25,DDM,value_scaling_t0,wide,DEoptimR,delay,38.97440207771703,92
25,DDM,value_scaling_t0,wide,DEoptimR,delay,38.961830605145636,93
25,DDM,value_scaling_t0,wide,DEoptimR,delay,38.94935919213937,94
25,DDM,value_scaling_t0,wide,DEoptimR,delay,38.93698598934713,95
25,DDM,value_scaling_t0,wide,DEoptimR,delay,38.92470920063692,96
25,DDM,value_scaling_t0,wide,DEoptimR,delay,38.912527081027896,97
25,DDM,value_scaling_t0,wide,DEoptimR,delay,38.90043793472319,98
25,DDM,value_scaling_t0,wide,DEoptimR,delay,38.88844011323763,99
25,DDM,value_scaling_t0,wide,DEoptimR,delay,38.87653201361474,100
25,DDM,value_scaling_t0,wide,DEoptimR,delay,38.86471207672843,101
25,DDM,value_scaling_t0,wide,DEoptimR,delay,38.852978785663474,102
