participant_id,model,parameterization,bound_settings,algorithm,frame,ip,delay
55,DDM,time_scaling,wide,DEoptimR,neutral,43.52000000000002,0
55,DDM,time_scaling,wide,DEoptimR,neutral,43.30868175929558,1
55,DDM,time_scaling,wide,DEoptimR,neutral,43.157042172199205,2
55,DDM,time_scaling,wide,DEoptimR,neutral,43.02201814148201,3
55,DDM,time_scaling,wide,DEoptimR,neutral,42.89679513416115,4
55,DDM,time_scaling,wide,DEoptimR,neutral,42.77840793225054,5
55,DDM,time_scaling,wide,DEoptimR,neutral,42.66521109148229,6
55,DDM,time_scaling,wide,DEoptimR,neutral,42.556166043373686,7
55,DDM,time_scaling,wide,DEoptimR,neutral,42.45056171276242,8
55,DDM,time_scaling,wide,DEoptimR,neutral,42.34788297387429,9
55,DDM,time_scaling,wide,DEoptimR,neutral,42.24774079769673,10
55,DDM,time_scaling,wide,DEoptimR,neutral,42.14983183203323,11
55,DDM,time_scaling,wide,DEoptimR,neutral,42.0539134479803,12
55,DDM,time_scaling,wide,DEoptimR,neutral,41.95978753311814,13
55,DDM,time_scaling,wide,DEoptimR,neutral,41.867289526240754,14
55,DDM,time_scaling,wide,DEoptimR,neutral,41.7762807441773,15
55,DDM,time_scaling,wide,DEoptimR,neutral,41.68664285834209,16
55,DDM,time_scaling,wide,DEoptimR,neutral,41.59827382185191,17
55,DDM,time_scaling,wide,DEoptimR,neutral,41.5110848032684,18
55,DDM,time_scaling,wide,DEoptimR,neutral,41.424997836042635,19
55,DDM,time_scaling,wide,DEoptimR,neutral,41.33994398771963,20
55,DDM,time_scaling,wide,DEoptimR,neutral,41.2558619137292,21
55,DDM,time_scaling,wide,DEoptimR,neutral,41.172696700508205,22
55,DDM,time_scaling,wide,DEoptimR,neutral,41.09039892955292,23
55,DDM,time_scaling,wide,DEoptimR,neutral,41.0089239124408,24
55,DDM,time_scaling,wide,DEoptimR,neutral,40.928231059771264,25
55,DDM,time_scaling,wide,DEoptimR,neutral,40.8482833561638,26
55,DDM,time_scaling,wide,DEoptimR,neutral,40.76904692009784,27
55,DDM,time_scaling,wide,DEoptimR,neutral,40.690490632250295,28
55,DDM,time_scaling,wide,DEoptimR,neutral,40.612585819606714,29
55,DDM,time_scaling,wide,DEoptimR,neutral,40.535305985342696,30
55,DDM,time_scaling,wide,DEoptimR,neutral,40.45862657653999,31
55,DDM,time_scaling,wide,DEoptimR,neutral,40.38252478338848,32
55,DDM,time_scaling,wide,DEoptimR,neutral,40.30697936475668,33
55,DDM,time_scaling,wide,DEoptimR,neutral,40.2319704959736,34
55,DDM,time_scaling,wide,DEoptimR,neutral,40.157479635424366,35
55,DDM,time_scaling,wide,DEoptimR,neutral,40.083489407163064,36
55,DDM,time_scaling,wide,DEoptimR,neutral,40.00998349722856,37
55,DDM,time_scaling,wide,DEoptimR,neutral,39.936946561736484,38
55,DDM,time_scaling,wide,DEoptimR,neutral,39.86436414513538,39
55,DDM,time_scaling,wide,DEoptimR,neutral,39.79222260727135,40
55,DDM,time_scaling,wide,DEoptimR,neutral,39.720509058115226,41
55,DDM,time_scaling,wide,DEoptimR,neutral,39.64921129918063,42
55,DDM,time_scaling,wide,DEoptimR,neutral,39.57831777080332,43
55,DDM,time_scaling,wide,DEoptimR,neutral,39.50781750457341,44
55,DDM,time_scaling,wide,DEoptimR,neutral,39.43770008031095,45
55,DDM,time_scaling,wide,DEoptimR,neutral,39.36795558705942,46
55,DDM,time_scaling,wide,DEoptimR,neutral,39.29857458764298,47
55,DDM,time_scaling,wide,DEoptimR,neutral,39.22954808639272,48
55,DDM,time_scaling,wide,DEoptimR,neutral,39.16086749969893,49
55,DDM,time_scaling,wide,DEoptimR,neutral,39.092524629088636,50
55,DDM,time_scaling,wide,DEoptimR,neutral,39.02451163656617,51
55,DDM,time_scaling,wide,DEoptimR,neutral,38.95682102198576,52
55,DDM,time_scaling,wide,DEoptimR,neutral,38.8894456022528,53
55,DDM,time_scaling,wide,DEoptimR,neutral,38.82237849217406,54
55,DDM,time_scaling,wide,DEoptimR,neutral,38.75561308679876,55
55,DDM,time_scaling,wide,DEoptimR,neutral,38.68914304510822,56
55,DDM,time_scaling,wide,DEoptimR,neutral,38.622962274930146,57
55,DDM,time_scaling,wide,DEoptimR,neutral,38.55706491896456,58
55,DDM,time_scaling,wide,DEoptimR,neutral,38.49144534182278,59
55,DDM,time_scaling,wide,DEoptimR,neutral,38.426098117988936,60
55,DDM,time_scaling,wide,DEoptimR,neutral,38.36101802062524,61
55,DDM,time_scaling,wide,DEoptimR,neutral,38.29620001114804,62
55,DDM,time_scaling,wide,DEoptimR,neutral,38.23163922951048,63
55,DDM,time_scaling,wide,DEoptimR,neutral,38.16733098513355,64
55,DDM,time_scaling,wide,DEoptimR,neutral,38.103270748432095,65
55,DDM,time_scaling,wide,DEoptimR,neutral,38.039454142889184,66
55,DDM,time_scaling,wide,DEoptimR,neutral,37.97587693763469,67
55,DDM,time_scaling,wide,DEoptimR,neutral,37.91253504048955,68
55,DDM,time_scaling,wide,DEoptimR,neutral,37.84942449143968,69
55,DDM,time_scaling,wide,DEoptimR,neutral,37.78654145650741,70
55,DDM,time_scaling,wide,DEoptimR,neutral,37.72388222199068,71
55,DDM,time_scaling,wide,DEoptimR,neutral,37.66144318904338,72
55,DDM,time_scaling,wide,DEoptimR,neutral,37.59922086857171,73
55,DDM,time_scaling,wide,DEoptimR,neutral,37.53721187642438,74
55,DDM,time_scaling,wide,DEoptimR,neutral,37.475412928855995,75
55,DDM,time_scaling,wide,DEoptimR,neutral,37.413820838244476,76
55,DDM,time_scaling,wide,DEoptimR,neutral,37.35243250904527,77
55,DDM,time_scaling,wide,DEoptimR,neutral,37.29124493396631,78
55,DDM,time_scaling,wide,DEoptimR,neutral,37.230255190349,79
55,DDM,time_scaling,wide,DEoptimR,neutral,37.16946043674169,80
55,DDM,time_scaling,wide,DEoptimR,neutral,37.108857909653,81
55,DDM,time_scaling,wide,DEoptimR,neutral,37.0484449204738,82
55,DDM,time_scaling,wide,DEoptimR,neutral,36.98821885255642,83
55,DDM,time_scaling,wide,DEoptimR,neutral,36.92817715844219,84
55,DDM,time_scaling,wide,DEoptimR,neutral,36.86831735722738,85
55,DDM,time_scaling,wide,DEoptimR,neutral,36.80863703205925,86
55,DDM,time_scaling,wide,DEoptimR,neutral,36.74913382775468,87
55,DDM,time_scaling,wide,DEoptimR,neutral,36.68980544853348,88
55,DDM,time_scaling,wide,DEoptimR,neutral,36.630649655860125,89
55,DDM,time_scaling,wide,DEoptimR,neutral,36.571664266387266,90
55,DDM,time_scaling,wide,DEoptimR,neutral,36.512847149995274,91
55,DDM,time_scaling,wide,DEoptimR,neutral,36.45419622792207,92
55,DDM,time_scaling,wide,DEoptimR,neutral,36.395709470978744,93
55,DDM,time_scaling,wide,DEoptimR,neutral,36.33738489784532,94
55,DDM,time_scaling,wide,DEoptimR,neutral,36.279220573443006,95
55,DDM,time_scaling,wide,DEoptimR,neutral,36.22121460737833,96
55,DDM,time_scaling,wide,DEoptimR,neutral,36.16336515245505,97
55,DDM,time_scaling,wide,DEoptimR,neutral,36.10567040325114,98
55,DDM,time_scaling,wide,DEoptimR,neutral,36.048128594756,99
55,DDM,time_scaling,wide,DEoptimR,neutral,35.99073800106609,100
55,DDM,time_scaling,wide,DEoptimR,neutral,35.93349693413504,101
55,DDM,time_scaling,wide,DEoptimR,neutral,35.876403742575825,102
55,DDM,time_scaling,wide,DEoptimR,neutral,35.81945681051214,103
55,DDM,time_scaling,wide,DEoptimR,neutral,35.762654556476846,104
55,DDM,time_scaling,wide,DEoptimR,neutral,35.705995432354655,105
55,DDM,time_scaling,wide,DEoptimR,neutral,35.649477922367254,106
55,DDM,time_scaling,wide,DEoptimR,neutral,35.59310054209859,107
55,DDM,time_scaling,wide,DEoptimR,neutral,35.53686183755834,108
55,DDM,time_scaling,wide,DEoptimR,neutral,35.480760384281915,109
55,DDM,time_scaling,wide,DEoptimR,neutral,35.42479478646509,110
55,DDM,time_scaling,wide,DEoptimR,neutral,35.368963676131614,111
55,DDM,time_scaling,wide,DEoptimR,neutral,35.31326571233233,112
55,DDM,time_scaling,wide,DEoptimR,neutral,35.25769958037446,113
55,DDM,time_scaling,wide,DEoptimR,neutral,35.20226399107933,114
55,DDM,time_scaling,wide,DEoptimR,neutral,35.14695768006743,115
55,DDM,time_scaling,wide,DEoptimR,neutral,35.09177940706989,116
55,DDM,time_scaling,wide,DEoptimR,neutral,35.03672795526441,117
55,DDM,time_scaling,wide,DEoptimR,neutral,34.98180213063542,118
55,DDM,time_scaling,wide,DEoptimR,neutral,34.92700076135673,119
55,DDM,time_scaling,wide,DEoptimR,neutral,34.87232269719624,120
55,DDM,time_scaling,wide,DEoptimR,neutral,34.817766808941144,121
55,DDM,time_scaling,wide,DEoptimR,neutral,34.763331987843266,122
55,DDM,time_scaling,wide,DEoptimR,neutral,34.709017145083664,123
55,DDM,time_scaling,wide,DEoptimR,neutral,34.65482121125501,124
55,DDM,time_scaling,wide,DEoptimR,neutral,34.60074313586204,125
55,DDM,time_scaling,wide,DEoptimR,neutral,34.54678188683834,126
55,DDM,time_scaling,wide,DEoptimR,neutral,34.4929364500796,127
55,DDM,time_scaling,wide,DEoptimR,neutral,34.439205828991994,128
55,DDM,time_scaling,wide,DEoptimR,defer,43.52000000000002,0
55,DDM,time_scaling,wide,DEoptimR,defer,43.274547338994445,1
55,DDM,time_scaling,wide,DEoptimR,defer,43.09844479029116,2
55,DDM,time_scaling,wide,DEoptimR,defer,42.94166058723524,3
55,DDM,time_scaling,wide,DEoptimR,defer,42.79627581732527,4
55,DDM,time_scaling,wide,DEoptimR,defer,42.658844278505654,5
55,DDM,time_scaling,wide,DEoptimR,defer,42.52745340787033,6
55,DDM,time_scaling,wide,DEoptimR,defer,42.400895912742854,7
55,DDM,time_scaling,wide,DEoptimR,defer,42.27834511718083,8
55,DDM,time_scaling,wide,DEoptimR,defer,42.15920209475008,9
55,DDM,time_scaling,wide,DEoptimR,defer,42.04301448877771,10
55,DDM,time_scaling,wide,DEoptimR,defer,41.92942953579916,11
55,DDM,time_scaling,wide,DEoptimR,defer,41.81816506295058,12
55,DDM,time_scaling,wide,DEoptimR,defer,41.70899065053092,13
55,DDM,time_scaling,wide,DEoptimR,defer,41.601714886342954,14
55,DDM,time_scaling,wide,DEoptimR,defer,41.49617644627659,15
55,DDM,time_scaling,wide,DEoptimR,defer,41.392237673505086,16
55,DDM,time_scaling,wide,DEoptimR,defer,41.289779843721305,17
55,DDM,time_scaling,wide,DEoptimR,defer,41.188699600444366,18
55,DDM,time_scaling,wide,DEoptimR,defer,41.088906222263326,19
55,DDM,time_scaling,wide,DEoptimR,defer,40.990319494273045,20
55,DDM,time_scaling,wide,DEoptimR,defer,40.892868026583386,21
55,DDM,time_scaling,wide,DEoptimR,defer,40.79648790918142,22
55,DDM,time_scaling,wide,DEoptimR,defer,40.70112162363594,23
55,DDM,time_scaling,wide,DEoptimR,defer,40.60671715356862,24
55,DDM,time_scaling,wide,DEoptimR,defer,40.513227250821956,25
55,DDM,time_scaling,wide,DEoptimR,defer,40.4206088249359,26
55,DDM,time_scaling,wide,DEoptimR,defer,40.32882243126823,27
55,DDM,time_scaling,wide,DEoptimR,defer,40.237831838758986,28
55,DDM,time_scaling,wide,DEoptimR,defer,40.14760366254593,29
55,DDM,time_scaling,wide,DEoptimR,defer,40.058107049800995,30
55,DDM,time_scaling,wide,DEoptimR,defer,39.9693134095616,31
55,DDM,time_scaling,wide,DEoptimR,defer,39.88119617917547,32
