subject_ix,t_l,ip
9,2,30.259999999999998
9,4,24.82
9,8,29.58
9,16,30.259999999999998
9,32,19.38
9,64,18.7
9,128,7.14
11,2,41.13999999999999
11,4,40.46
11,8,41.13999999999999
11,16,37.74
11,32,38.419999999999995
11,64,38.419999999999995
11,128,34.339999999999996
13,2,40.46
13,4,39.1
13,8,39.1
13,16,39.1
13,32,21.419999999999998
13,64,15.299999999999999
13,128,8.5
15,2,39.1
15,4,39.779999999999994
15,8,39.779999999999994
15,16,40.46
15,32,39.1
15,64,39.1
15,128,41.13999999999999
19,2,35.02
19,4,38.419999999999995
19,8,32.3
19,16,32.3
19,32,30.939999999999998
19,64,26.86
19,128,24.82
21,2,20.06
21,4,20.06
21,8,18.02
21,16,16.66
21,32,15.979999999999999
21,64,19.38
21,128,13.94
24,2,39.779999999999994
24,4,39.779999999999994
24,8,35.02
24,16,37.059999999999995
24,32,33.660000000000004
24,64,32.98
24,128,33.660000000000004
26,2,43.18
26,4,41.13999999999999
26,8,41.82
26,16,41.13999999999999
26,32,41.13999999999999
26,64,39.779999999999994
26,128,38.419999999999995
32,2,40.46
32,4,41.13999999999999
32,8,39.1
32,16,37.74
32,32,35.699999999999996
32,64,34.339999999999996
32,128,32.98
36,2,37.059999999999995
36,4,28.22
36,8,28.22
36,16,28.22
36,32,26.86
36,64,22.1
36,128,13.94
37,2,41.82
37,4,41.13999999999999
37,8,35.699999999999996
37,16,35.02
37,32,33.660000000000004
37,64,33.660000000000004
37,128,27.54
41,2,43.18
41,4,37.74
41,8,37.059999999999995
41,16,35.02
41,32,35.699999999999996
41,64,37.059999999999995
41,128,22.1
42,2,41.82
42,4,41.13999999999999
42,8,39.779999999999994
42,16,35.699999999999996
42,32,32.3
42,64,32.98
42,128,30.259999999999998
45,2,37.74
45,4,32.3
45,8,25.5
45,16,20.06
45,32,13.26
45,64,10.54
45,128,8.5
46,2,40.46
46,4,41.13999999999999
46,8,41.13999999999999
46,16,41.13999999999999
46,32,37.059999999999995
46,64,35.699999999999996
46,128,27.54
47,2,41.82
47,4,39.779999999999994
47,8,38.419999999999995
47,16,32.3
47,32,33.660000000000004
47,64,33.660000000000004
47,128,18.7
49,2,40.46
49,4,39.779999999999994
49,8,39.779999999999994
49,16,20.06
49,32,13.26
49,64,10.54
49,128,10.54
51,2,39.779999999999994
51,4,39.779999999999994
51,8,39.779999999999994
51,16,39.779999999999994
51,32,38.419999999999995
51,64,37.74
51,128,39.1
55,2,41.13999999999999
55,4,41.82
55,8,41.82
55,16,41.82
55,32,41.13999999999999
55,64,39.1
55,128,38.419999999999995
58,2,38.419999999999995
58,4,32.98
58,8,30.259999999999998
58,16,28.22
58,32,30.259999999999998
58,64,22.1
58,128,22.1
64,2,39.779999999999994
64,4,37.74
64,8,36.38
64,16,39.779999999999994
64,32,39.779999999999994
64,64,39.779999999999994
64,128,39.1
67,2,35.699999999999996
67,4,26.86
67,8,35.02
67,16,35.02
67,32,32.3
67,64,32.98
67,128,26.18
69,2,37.74
69,4,20.06
69,8,15.979999999999999
69,16,10.54
69,32,16.66
69,64,9.86
69,128,9.86
86,2,41.82
86,4,41.82
86,8,41.82
86,16,40.46
86,32,40.46
86,64,39.1
86,128,37.74
87,2,42.49999999999999
87,4,43.18
87,8,42.49999999999999
87,16,41.13999999999999
87,32,41.13999999999999
87,64,40.46
87,128,40.46
88,2,35.02
88,4,32.98
88,8,27.54
88,16,24.82
88,32,18.02
88,64,9.86
88,128,3.7399999999999998
90,2,43.18
90,4,43.18
90,8,43.18
90,16,43.18
90,32,41.13999999999999
90,64,37.74
90,128,29.58
92,2,43.18
92,4,41.13999999999999
92,8,39.1
92,16,37.74
92,32,36.38
92,64,33.660000000000004
92,128,32.3
