model,parameterization,aggregate_BIC,k,count,dBIC
DDM (σ fixed),κ μ,25385.623589327653,8,1,1270.7378097158726
DDM (σ fixed),κ μ t0,25681.792215869584,10,0,1566.9064362578029
DDM (σ fixed),κ,25202.892529770965,7,4,1088.0067501591839
DDM (σ fixed),κ t0,25496.74656216975,9,2,1381.8607825579675
DDM (σ fixed),μ,25262.522101508817,6,3,1147.6363218970364
DDM (σ fixed),μ t0,25553.355355823303,8,0,1438.4695762115225
DFT (σ varied),κ μ,24327.283009618743,8,0,212.39723000696176
DFT (σ varied),κ μ t0,24624.99207082132,10,0,510.10629120954036
DFT (σ varied),κ,24114.88577961178,7,6,0
DFT (σ varied),κ t0,24411.791798900762,9,0,296.90601928898104
DFT (σ varied),μ,24264.019749612984,6,9,149.13397000120312
DFT (σ varied),μ t0,24560.361289587574,8,3,445.4755099757931
