participant_id,frame,med_rt_obs,p_ll_obs,med_rt_prd,p_ll_prd
9,neutral,2.925,0.9,3.0905413041602943,0.9953525714305946
9,defer,3.71,0.891566265060241,3.542141922481712,0.9520624683948007
9,speedup,4.17,0.8024691358024691,3.7022426343855503,0.910798059162509
11,neutral,2.26,0.726027397260274,2.234952235248405,0.9204812908542621
11,defer,2.0949999999999998,0.9054054054054054,2.0759521303187847,0.9821930000440033
11,speedup,2.46,0.7432432432432432,2.2905682753773675,0.8757326954990321
13,neutral,2.05,0.4805194805194805,2.257238808539664,0.48103606241724656
13,defer,2.61,0.4675324675324675,2.2395637563222923,0.46289874777242485
13,speedup,2.34,0.5526315789473685,2.3127357041795946,0.48389667728090613
15,neutral,2.315,0.8928571428571429,2.6623748878752336,0.9290419883795763
15,defer,3.8200000000000003,0.75,3.03565576763528,0.7576058630571708
15,speedup,2.5700000000000003,0.9523809523809523,2.5567911856899572,0.9523569673423733
19,neutral,2.47,1,2.457203943727944,0.9126991769788068
19,defer,2.94,0.4177215189873418,3.0424874202689893,0.475379021992799
19,speedup,2.34,0.9210526315789473,2.4611315265805103,0.9229020189153391
21,neutral,2.625,0.5853658536585366,2.797267106286086,0.5865186906317702
21,defer,2.84,0.48148148148148145,2.8658323661653484,0.587316192305162
21,speedup,3.21,0.5833333333333334,2.708220774142083,0.6190407818281356
24,neutral,2.71,0.8536585365853658,2.723401430471373,0.9387312672035337
24,defer,2.715,0.7625,2.7041021191776786,0.9408628238728125
24,speedup,2.88,0.8795180722891566,2.7368643083772835,0.9344203395030976
26,neutral,2.785,0.5975609756097561,3.0531296263736105,0.5895432299951756
26,defer,3.125,0.39285714285714285,3.026153070198832,0.35842299255961974
26,speedup,3.045,0.5365853658536586,3.0571169611787505,0.47716818940340533
32,neutral,3.15,0.9156626506024096,2.8553693892316168,0.9947592806785363
32,defer,3.535,0.6875,3.612513585730249,0.8339167124318075
32,speedup,4.27,0.7901234567901234,3.4923466346989063,0.8914566118265931
36,neutral,2.77,0.7530864197530864,2.9388063325403997,0.828684835791314
36,defer,3.34,0.6746987951807228,3.3296004664936514,0.8325217440424926
36,speedup,2.94,0.810126582278481,2.9804313529960402,0.8302360408721234
37,neutral,2.58,0.7654320987654321,2.7094937881381367,0.6797957263054129
37,defer,2.91,0.3614457831325301,2.7456271802816827,0.43391146753702453
37,speedup,2.51,0.8181818181818182,2.6826673253109217,0.7717672729400084
41,neutral,2.2649999999999997,0.3875,2.6920420241458154,0.369279711207526
41,defer,2.99,0.34523809523809523,2.9518412209852203,0.4186021102423787
41,speedup,2.55,0.5061728395061729,2.69550231757538,0.5041053435633996
42,neutral,2.36,0.7012987012987013,2.63857061445645,0.8052497464257349
42,defer,2.84,0.6582278481012658,2.6450202802296383,0.8277596016055763
42,speedup,2.715,0.7692307692307693,2.630762614835985,0.8298044128117781
45,neutral,2.67,0.8148148148148148,2.691247087331787,0.9354692287134314
45,defer,2.645,0.8095238095238095,2.687598129333016,0.9374032515320784
45,speedup,2.95,0.9036144578313253,2.698784406795466,0.9349453114305672
46,neutral,2.79,0.5802469135802469,2.8891227564344675,0.48982792739444525
46,defer,2.9,0.39759036144578314,2.9561951649088183,0.44117061144609315
46,speedup,2.9,0.5925925925925926,2.9276859049703123,0.5293876931258422
47,neutral,2.1,0.9493670886075949,2.1018936680317633,0.9969845087902162
47,defer,2.32,0.9154929577464789,2.2517308264340765,0.9796833105106508
47,speedup,2.48,0.8072289156626506,2.3440487923959012,0.949606475938252
49,neutral,2.07,0.9523809523809523,2.057898953571602,0.9749178822638743
49,defer,2.02,0.847457627118644,2.063168905310984,0.9756115756352063
49,speedup,2.22,0.9629629629629629,2.0531872332792824,0.9787568014448396
51,neutral,2.215,0.47368421052631576,2.286318078954632,0.43564876825851734
51,defer,2.46,0.475,2.298879949611213,0.5133376573355122
51,speedup,2.16,0.5945945945945946,2.1546787825612506,0.6151663810558631
55,neutral,3.25,0.5476190476190477,3.1186039284170812,0.5448051284778611
55,defer,2.72,0.5189873417721519,3.175295699244795,0.5509732180272681
55,speedup,3.825,0.525,3.1002813445536352,0.5548002755582752
58,neutral,2.04,0.6266666666666667,2.2827009287652276,0.485748579024864
58,defer,2.44,0.5189873417721519,2.270939266052443,0.5488106984989025
58,speedup,2.28,0.4222222222222222,2.2656053319302973,0.4044452448471279
64,neutral,2.48,0.7662337662337663,2.560183850628932,0.8701737495754058
64,defer,2.99,0.8292682926829268,2.7471847911843064,0.8906234970636927
64,speedup,2.68,0.8192771084337349,2.737056915745187,0.8647035544188718
67,neutral,2.73,0.9397590361445783,2.6253129458328535,0.9951254401983252
67,defer,2.6500000000000004,0.9625,2.619732134559771,0.9954466370351328
67,speedup,2.755,0.926829268292683,2.63268292439487,0.9948365692534696
69,neutral,3.21,0.6049382716049383,3.0341109713332703,0.7469684817387071
69,defer,3.13,0.7407407407407407,2.9909693580201346,0.8185378674339242
69,speedup,2.6799999999999997,0.8414634146341463,2.8258785015844374,0.921835121154972
86,neutral,2.17,0.7105263157894737,2.1517279090979327,0.782241778636058
86,defer,2.33,0.7848101265822784,2.1520170863581103,0.7900452781291641
86,speedup,2.22,0.7435897435897436,2.1346070558116166,0.7961878340634276
87,neutral,2.79,0.717948717948718,2.670255592228084,0.8816663357388403
87,defer,2.9,0.8157894736842105,2.6971346490834853,0.8952120216463231
87,speedup,3,0.7901234567901234,2.645623334650433,0.8689541415206766
88,neutral,2.65,0.2261904761904762,2.8102457907321803,0.3858466605751385
88,defer,2.48,0.3493975903614458,2.647967438304605,0.3845143451638908
88,speedup,2.63,1,2.7693111298078943,0.8038711955931318
90,neutral,3.8,0.7619047619047619,3.794197319110877,0.8225750781278778
90,defer,4.1899999999999995,0.7380952380952381,3.794266031362612,0.8204082633844585
90,speedup,4.27,0.7469879518072289,3.8101312263193106,0.823149843826582
92,neutral,3.455,0.7142857142857143,3.62393191178223,0.8169491698299529
92,defer,3.43,0.6785714285714286,3.6705458666303215,0.8182972205554873
92,speedup,4.44,0.7654320987654321,4.0857024260080195,0.8248781392854023
