participant_id,frame,t_l,med_rt_obs,p_ll_obs,med_rt_prd,p_ll_prd
1,delay,2,3.425,1,3.708777338146553,0.9992488444581495
1,delay,4,5.119999999999999,0.8333333333333334,4.894944343339342,0.959678307107732
1,delay,8,5.77,0.7272727272727273,4.839534598774763,0.961412168598502
1,delay,16,5.215,0.9166666666666666,4.3534862501615255,0.9912431908067061
1,delay,32,5.369999999999999,0.4166666666666667,4.931558192287551,0.9522529395216116
1,delay,64,3.26,0.8181818181818182,4.462753941179301,0.9878312143049478
1,delay,128,2.415,1,4.015688203537971,0.9973769251086496
1,date,2,3.555,0.9166666666666666,3.5523940517447983,0.9996040781904272
1,date,4,5.46,1,4.709414913994378,0.9751326724891618
1,date,8,5.955,1,4.650997123851971,0.9769285794949041
1,date,16,4.54,1,4.16094531493341,0.9950260562093859
1,date,32,6.529999999999999,0.9166666666666666,4.748369971510969,0.9700431380876267
1,date,64,6.63,0.8333333333333334,4.268115183035667,0.9934411600166306
1,date,128,4.404999999999999,1,3.83786278426393,0.9985748629279361
6,delay,2,5.26,1,3.30001765769911,0.9969408627516267
6,delay,4,4.715,1,3.3222720691057748,0.9949800867068473
6,delay,8,6.06,0.8333333333333334,4.259019182942729,0.7563480557624724
6,delay,16,5.405,0.9166666666666666,3.6743369898650027,0.9717190099200493
6,delay,32,2.545,1,2.781389503676254,0.9998487648433719
6,delay,64,4.800000000000001,1,3.6249258107513724,0.9861584241642962
6,delay,128,3.3449999999999998,0.9166666666666666,4.118675916776205,0.9225395920824556
6,date,2,2.995,1,3.152233526065398,0.9985666929894718
6,date,4,2.6849999999999996,1,3.172745216026336,0.9973980456718093
6,date,8,4.19,0.5,4.115253253921172,0.7917937018697718
6,date,16,3.67,0.75,3.5054741166452934,0.9835422732944418
6,date,32,2.56,1,2.6848945662025456,0.9998929102501074
6,date,64,2.9699999999999998,1,3.457678454554928,0.9924795675311346
6,date,128,3.355,0.4166666666666667,3.9592479666832903,0.9509289425049103
14,delay,2,3.08,0.09090909090909091,2.783880412136965,0.0026044161174078842
14,delay,4,3,0,2.880164109745229,0.00451727496174953
14,delay,8,3.84,0,2.992246506258721,0.008041814235136955
14,delay,16,1.8900000000000001,0,2.989846934768104,0.008402937835538572
14,delay,32,2.7199999999999998,0.25,3.0389555017332004,0.011684477552052291
14,delay,64,2.5,0,3.061823666509343,0.01065987238267894
14,delay,128,2.38,0.4444444444444444,3.059023550859335,0.014153269608052363
14,date,2,4.045,0.25,3.1279229566374536,0.016234799088179985
14,date,4,5.1,0,3.3855220175469274,0.056996299846735356
14,date,8,3.99,0,3.5900954968763497,0.17142157597614013
14,date,16,4.8,0,3.5868645017038125,0.17013352143319763
14,date,32,5.48,1,3.6650735739270437,0.28840543793448725
14,date,64,3.7800000000000002,0.4166666666666667,3.66293958114208,0.2998359819610808
14,date,128,3.075,0.3333333333333333,3.660757164116474,0.3027498142458935
17,delay,2,2.875,1,4.397132489538233,0.6292147821085372
17,delay,4,3.96,0.08333333333333333,4.379644585161149,0.39203172095633854
17,delay,8,3.745,0.16666666666666666,4.347261609992221,0.42867884423095454
17,delay,16,5.109999999999999,0.5,4.27379948364069,0.7898405609875201
17,delay,32,4.9350000000000005,0.9166666666666666,4.087052053978972,0.9141678683673623
17,delay,64,3.45,1,3.639178139467133,0.9879863364877145
17,delay,128,3.505,1,3.732097241344641,0.9828612955263428
17,date,2,4.295,1,4.207854430791244,0.8592413746150883
17,date,4,4.93,0.5,4.351647482316001,0.6184492902399547
17,date,8,4.285,0.16666666666666666,4.353429768814742,0.641645817986976
17,date,16,5.125,0.9166666666666666,3.986049462105512,0.9311544795281429
17,date,32,4.33,1,3.7671052349661713,0.9763680784421351
17,date,64,3.375,1,3.375100240827936,0.9965046049487466
17,date,128,4.914999999999999,1,3.4487004758304507,0.9950426578248878
20,delay,2,4.48,1,3.5921518023680616,0.9881654770831372
20,delay,4,3.4050000000000002,0.8333333333333334,3.9498549687509064,0.9427713986200651
20,delay,8,2.755,0.08333333333333333,4.237959158059729,0.7588473124841109
20,delay,16,4.7,0.5833333333333334,4.232335660277954,0.7677397555045772
20,delay,32,4.43,0.25,4.298018870014805,0.5998904193927261
20,delay,64,5.055,0.8333333333333334,4.305840355978639,0.49463745363612294
20,delay,128,3.7750000000000004,0.5833333333333334,4.293632223695926,0.379957858235435
20,date,2,4.22,1,3.5775245139419147,0.9887448088492483
20,date,4,5.145,0.9166666666666666,3.9391560594778,0.9453846207339824
20,date,8,6.32,0.6666666666666666,4.23428577907623,0.7644845099857923
20,date,16,5.17,0.36363636363636365,4.228463659681212,0.7732561860843336
20,date,32,5.8149999999999995,0.4166666666666667,4.297030592046549,0.6052551123617157
20,date,64,5.279999999999999,0.8333333333333334,4.3055657390549795,0.49895460431274186
20,date,128,5.925,0.4166666666666667,4.294223296003805,0.3826699774709275
23,delay,2,2.34,0.5,2.443583428657307,0.40843804643552306
23,delay,4,2.2,0.6666666666666666,2.3535771800544065,0.9088546975402028
23,delay,8,2.495,0.75,2.4158670353181866,0.796232703449397
23,delay,16,2.13,0,2.460233404548672,0.370155034841625
23,delay,32,2.49,0,2.459402050490841,0.3596368318560522
23,delay,64,2.375,0,2.3843537193495448,0.12148225905632604
23,delay,128,2.5700000000000003,0.16666666666666666,2.445699935344212,0.26942177468891026
23,date,2,2.37,1,2.4435834286140037,0.40843804659945615
23,date,4,2.7,0.9166666666666666,2.3535771799808476,0.9088546976180292
23,date,8,3.165,1,2.41586703525792,0.7962327036029454
23,date,16,2.5199999999999996,0.16666666666666666,2.4602334045258005,0.3703788832008914
23,date,32,2.56,0.08333333333333333,2.4594020505129413,0.3596368320501442
23,date,64,2.515,0,2.3843537193952464,0.12148225912776957
23,date,128,2.07,0,2.445699935379266,0.275653653198563
25,delay,2,2.14,0.9166666666666666,2.5633367816446566,0.8027444395757607
25,delay,4,2.79,0.3,2.6013752835121564,0.41887873651020807
25,delay,8,2.435,0.16666666666666666,2.5938611318949327,0.44683296296728436
25,delay,16,2.43,0.3333333333333333,2.5988194674844856,0.35589187819315943
25,delay,32,2.61,0.45454545454545453,2.597185088751516,0.40785665800518195
25,delay,64,2.04,0.36363636363636365,2.5607309681401693,0.23823219718936198
25,delay,128,2.9050000000000002,0.7,2.5827458088644413,0.535373763626304
25,date,2,2.735,0.9166666666666666,2.4304437123969285,0.957646977482726
25,date,4,3.465,0.9166666666666666,2.5552963182428186,0.7719942510439295
25,date,8,2.975,0.6666666666666666,2.5331142518302583,0.8133536249126164
25,date,16,2.64,0.45454545454545453,2.561577397978459,0.725382276846104
25,date,32,3.24,0.6363636363636364,2.5529090118617583,0.7030978510888481
25,date,64,2.67,0.3333333333333333,2.5253456669552112,0.5151439233375641
25,date,128,2.4749999999999996,0.8333333333333334,2.512449612083454,0.8546103545672058
27,delay,2,2.54,1,2.485267153425334,0.9993924322242149
27,delay,4,3.91,0.8181818181818182,2.5864443667945323,0.9985510690807783
27,delay,8,2.62,1,2.5869894266250797,0.9985894422705928
27,delay,16,2.51,1,2.6960999863774546,0.9966175609338184
27,delay,32,3.01,0.6666666666666666,2.9333275802892755,0.9832131634244505
27,delay,64,2.89,0.9166666666666666,3.1008063837857307,0.9556718699472188
27,delay,128,2.8200000000000003,0.5833333333333334,3.3655317773370106,0.7706266069003291
27,date,2,2.665,0.9166666666666666,2.5762155929118733,0.9987059689333173
27,date,4,2.87,1,2.786071587074651,0.9939125373944147
27,date,8,3.665,1,2.787162421138516,0.993999384972221
27,date,16,3.17,0.8333333333333334,2.9923318068853586,0.9780329939318244
27,date,32,4.01,0.9166666666666666,3.3132252624922933,0.8415560073157015
27,date,64,4.3950000000000005,0.75,3.421213126535949,0.6479258612847483
27,date,128,2.86,0.08333333333333333,3.3926583306689824,0.25577108763346407
33,delay,2,3.41,1,3.4187513944201933,0.9990673400276595
33,delay,4,3.4400000000000004,1,4.056638727008366,0.9890910063853574
33,delay,8,3.57,0.9090909090909091,4.0820570295771645,0.9876020832404377
33,delay,16,5.79,0.6666666666666666,4.78225227620604,0.883576539010916
33,delay,32,5.380000000000001,0.5833333333333334,4.938410339476552,0.8054623445996762
33,delay,64,6.58,0.7272727272727273,4.5459611980673955,0.9539507425727187
33,delay,128,4.449999999999999,0.08333333333333333,5.056650076816217,0.666030987995774
33,date,2,3.6100000000000003,0.9166666666666666,3.239016433283171,0.9995798888981603
33,date,4,4.595,1,3.7448187714988688,0.9960653549186405
33,date,8,4.455,0.9166666666666666,3.766109832088465,0.9959569373991195
33,date,16,3.7199999999999998,0.8333333333333334,4.442778735626237,0.9603289409186189
33,date,32,6.02,0.7272727272727273,4.647654529655104,0.9266306128391323
33,date,64,4.285,1,4.186992212151021,0.9851402371028327
33,date,128,7.48,0.8181818181818182,4.859984362760074,0.8656656546354117
35,delay,2,3.6900000000000004,0.25,4.446856081627513,0.37140154336517095
35,delay,4,4.725,0.3333333333333333,4.45544157234028,0.4174650443729191
35,delay,8,3.465,0.25,4.378038212308019,0.2368071786334166
35,delay,16,4.19,0.75,4.454559756919984,0.43987477112890844
35,delay,32,5.3149999999999995,0.5,4.289469485493486,0.1503402572016093
35,delay,64,4.87,0.3333333333333333,4.14705990889344,0.08014664437411285
35,delay,128,3.43,0.2727272727272727,4.28765460221648,0.14258711022614431
35,date,2,5.07,0.75,4.423800865697834,0.3051988983815839
35,date,4,6.35,0.25,4.440481743866415,0.35011051995092063
35,date,8,6.365,0.08333333333333333,4.3334662304149125,0.1890918768303865
35,date,16,4.645,0.6666666666666666,4.446494053167796,0.3701850704788236
35,date,32,4.664999999999999,0.25,4.2323890819007675,0.11629909994951253
35,date,64,3.2649999999999997,0,4.081282251122522,0.060870217133164775
35,date,128,4.24,0,4.230394390021394,0.10898497234901906
38,delay,2,2.26,1,2.4963884445713367,0.9990733479235314
38,delay,4,2.52,1,2.556875818990211,0.9986033132667552
38,delay,8,3,0.9,2.753538973588842,0.9954410263609127
38,delay,16,3.075,1,3.107519457613885,0.9698703296204658
38,delay,32,3.9800000000000004,0.9166666666666666,3.020391567794574,0.9813101162189317
38,delay,64,3.145,0.8,3.390963207930712,0.8744339092592324
38,delay,128,1.6,0.3333333333333333,3.4969068435715034,0.7636288425590324
38,date,2,3.51,1,2.5314264299935063,0.9988226225174707
38,date,4,2.36,1,2.6062137784822235,0.998097726164102
38,date,8,3.125,1,2.845804138172178,0.9923138901128749
38,date,16,2.84,0.8333333333333334,3.2437196560778063,0.9410325842483278
38,date,32,2.7750000000000004,1,3.151785460210645,0.9643147259942008
38,date,64,3.29,0.4166666666666667,3.496266830917555,0.7697389837018719
38,date,128,3.0949999999999998,0.08333333333333333,3.5618342605408078,0.5762819083629344
43,delay,2,2.7750000000000004,0.25,2.88907364699759,0.12013242648753557
43,delay,4,3.025,0.4166666666666667,3.0055180192528796,0.8179716588402239
43,delay,8,2.925,0.6666666666666666,3.0691274026381716,0.596081982432457
43,delay,16,2.5,0.8333333333333334,3.070341075390488,0.665604638832942
43,delay,32,3.02,0.18181818181818182,3.0671774271392334,0.4215237702506007
43,delay,64,2.41,0.4166666666666667,3.0858971261315467,0.34449143363125884
43,delay,128,3.285,0.4166666666666667,3.046676870655404,0.2400065933156323
43,date,2,3.92,0.3333333333333333,3.051304483273273,0.32251003047115334
43,date,4,3.65,1,2.8136992702013766,0.9540102350593387
43,date,8,3,0.75,2.933350521147478,0.8544199517916736
43,date,16,2.9299999999999997,0.75,2.9016075290494583,0.8999380510544638
43,date,32,4.27,0.8333333333333334,3.0160095729268708,0.7437247933519284
43,date,64,3.4450000000000003,0.5833333333333334,3.063183485347698,0.6532109545869474
43,date,128,3.365,0.4166666666666667,3.0365616205251875,0.5431210587730152
50,delay,2,2.755,0.9166666666666666,2.6199067531147358,0.9959533951722598
50,delay,4,2.505,0.6666666666666666,2.7810640954747208,0.9234374836166374
50,delay,8,2.1550000000000002,0.6666666666666666,2.722602811651938,0.6539377564725981
50,delay,16,2.635,0.6666666666666666,2.9989032879650455,0.7019275970898418
50,delay,32,3.02,0.6666666666666666,3.078617682763331,0.7166648595527573
50,delay,64,2.77,0.6666666666666666,3.10476978618921,0.7992545054862313
50,delay,128,3.75,0.45454545454545453,3.1703330213177603,0.6221105554111996
50,date,2,3.69,1,2.7211512760952536,0.9908261120481613
50,date,4,3.465,0.6666666666666666,2.924671624190829,0.8385904894972072
50,date,8,2.62,0.6666666666666666,2.8421791198008415,0.6286982125951974
50,date,16,3.785,0.5833333333333334,3.1077820229682174,0.6510788690252358
50,date,32,3.45,0.5833333333333334,3.163351413730162,0.6355824883665281
