participant_id,frame,med_rt_obs,p_ll_obs,med_rt_prd,p_ll_prd
1,delay,4.375,0.8170731707317073,4.462753941179301,0.9785278011703918
1,date,5.32,0.9523809523809523,4.268115183035667,0.9869643639165817
6,delay,4.73,0.9518072289156626,3.6248292146142815,0.9463310444821904
6,date,3.2350000000000003,0.8095238095238095,3.4575854540210362,0.9592288763016639
14,delay,2.7199999999999998,0.11290322580645161,2.9903754151711732,0.00810891796542316
14,date,4.35,0.2682926829268293,3.5900954968763497,0.1840551010970683
17,delay,3.84,0.6626506024096386,4.166707440867368,0.7290288020179461
17,date,4.4399999999999995,0.7976190476190477,3.986049462105512,0.8597723290837045
20,delay,4.08,0.5903614457831325,4.253900393547004,0.7011560315950718
20,date,5.58,0.6626506024096386,4.250819014838236,0.707611345198802
23,delay,2.38,0.30120481927710846,2.4281928645645054,0.46313856794668445
23,date,2.53,0.4578313253012048,2.4281928646070514,0.465210497006928
25,delay,2.39,0.46153846153846156,2.588303470379687,0.46045043304281486
25,date,2.73,0.6829268292682927,2.5253456669552112,0.76422281687089
27,delay,2.7,0.8518518518518519,2.6960999863774546,0.956027008211008
27,date,3.425,0.7857142857142857,2.9923318068853586,0.815700548780813
33,delay,4.73,0.6962025316455697,4.588919162626936,0.8923869664225184
33,date,4.665,0.8902439024390244,4.186992212151021,0.9629282347935176
35,delay,4.34,0.3855421686746988,4.391261875677075,0.2641070298964004
35,date,5.109999999999999,0.2857142857142857,4.349476871167727,0.21439152215334442
38,delay,2.96,0.8857142857142857,3.020391567794574,0.9524560629741151
38,date,3.115,0.7560975609756098,3.151785460210645,0.8889062066407295
43,delay,2.83,0.4578313253012048,3.0671774271392334,0.458412364761894
43,date,3.33,0.6626506024096386,3.0160095729268708,0.7071953092289507
50,delay,2.72,0.6746987951807228,2.9989032879650455,0.7751484732314109
50,date,3.4850000000000003,0.6309523809523809,3.0726627000417888,0.6924414891355539
52,delay,2.81,0.6385542168674698,3.077690930587697,0.7063268412777538
52,date,3.29,0.7261904761904762,3.0958930890275367,0.7229281872564303
56,delay,5.6,0.4634146341463415,5.5610269807828665,0.7310001986160911
56,date,5.05,0.6144578313253012,5.485534742614373,0.7758605370670454
62,delay,3,0.6144578313253012,2.7154355542156563,0.7499936412502016
62,date,2.54,0.6746987951807228,2.686070320840857,0.7866000524279931
65,delay,2.67,0.6753246753246753,2.709879257875984,0.790312729002245
65,date,2.67,0.8765432098765432,2.4482052617143566,0.9360626581024696
68,delay,2.9450000000000003,0.6341463414634146,3.1209336445070286,0.6290131633565221
68,date,3.35,0.6428571428571429,3.0828914519722246,0.650394173058735
70,delay,3.66,0.8809523809523809,3.7026397417468218,0.9464690673197589
70,date,3.7,0.9523809523809523,3.379247122324871,0.9975187930420437
74,delay,2.33,0.6986301369863014,2.5362524617047937,0.8662104771473949
74,date,2.64,0.717948717948718,2.548228543575055,0.8389398050672217
75,delay,2.59,0.76,3.016666718968399,0.903205194782429
75,date,3.11,0.8148148148148148,3.024116077625821,0.9024219772130483
77,delay,2.95,0.7804878048780488,2.796038648552948,0.9025149001539494
77,date,2.4,0.9367088607594937,2.347781555986165,0.9856711985075568
79,delay,4,0.9047619047619048,3.473018626469423,0.9709572233225802
79,date,3.87,0.8928571428571429,3.4730186268119745,0.9709572220688375
81,delay,2.94,0.573170731707317,3.134516857132948,0.5741429793957866
81,date,3.75,0.7469879518072289,3.0607840701274758,0.7972905629299976
82,delay,4.539999999999999,0.47619047619047616,4.525451127917126,0.5843181383446977
82,date,4.32,0.7951807228915663,3.8522031036711706,0.9129601337335518
83,delay,4.470000000000001,0.6153846153846154,4.199237416988064,0.754824677978101
83,date,3.55,0.9518072289156626,3.3071219055005385,0.9853476358297013
84,delay,4.21,0.37349397590361444,3.838135875185555,0.20325680149291536
84,date,3.59,0.4523809523809524,3.838135875127973,0.2032459711505573
85,delay,2.58,0.325,2.785836898597203,0.2746956835791079
85,date,3.45,0.7738095238095238,2.807552152921176,0.7931689339634833
89,delay,3.32,0.09876543209876543,3.8378801908143343,0.01530584683242918
89,date,6.02,0.31645569620253167,3.9804694889728642,0.21628259717151102
91,delay,2.225,0.881578947368421,2.27724692080629,0.9939086338436528
91,date,2.46,0.9746835443037974,2.3397384603106057,0.9913503735580437
93,delay,3.09,0.8571428571428571,3.0874892590246112,0.9009512968482298
93,date,4.135,0.8095238095238095,3.341455442662834,0.8112492683399506
