Variable name,Variable description,Type,Values or characteristics
subject_ix,Subject index,integer,Possible values: 1 - 93
stage_id,Experiment stage identifier,character,"Possible values: practice, calibration, experiment"
block_id,Block identifier,character,"Posible values: letter (p, practice; i, indifference point procedure; e, experiment) combined with a right padded number corresponding to block index"
block_ix,Block index,integer,Possible values: 0 - 1
iter_ix,Iteration index,integer,Number of times the block is repeated (relevant for indifference point procedure only)
frame,Framing ,character,"Possible values: neutral, defer, speedup (defer-speedup) or neutral, date, delay (date-delay)"
m_s,Monetary amount of small-soon option,double,Possible values: 0 - 43.52
m_l,Monetary amount of large-later option,double,Possible values: 43.52
t_s,"Time of reward delivery of small-soon option, in number of days",integer,Possible values: 0
t_l,"Time of reward delivery of large-later option, in number of days",integer,"Possible values: 2, 4, 8, 16, 32, 64, 128"
trial_type,Type of trial,character,"Possible values: standard, catch_ll, catch_ss, instr_check"
choice,Option chosen,character,"Possible values: ss, ll"
rt,"Response time, in seconds",double,Possible values: 0 < rt < 10
trial_correct,Whether or not the response was correct or in line with expectations (relevant for catch and instruction manipulation check trials only),logical,"Possible values: TRUE, FALSE, 1, 0"
too_fast,Whether the response time was shorter than the minimum response time of 1.5 seconds,logical,"Possible values: TRUE, FALSE, 1, 0"
omission_error,Whether or not an omission error occurred,logical,"Possible values: TRUE, FALSE, 1, 0"
