participant_id,sex,age
1,M,28
2,M,23
3,F,30
4,F,20
5,F,21
6,M,21
7,M,25
8,F,29
9,F,21
10,F,24
11,M,29
12,F,25
13,F,24
14,F,22
15,F,29
16,F,27
17,F,21
18,M,62
19,M,19
20,M,19
21,M,22
22,F,24
23,M,28
24,M,18
25,F,23
26,F,22
27,F,24
28,M,34
29,M,23
30,F,21
31,F,25
32,F,22
33,M,22
34,F,59
35,M,30
36,F,21
37,M,19
38,F,26
39,F,19
40,F,30
41,F,23
42,F,23
43,F,53
44,F,21
45,F,21
46,F,24
47,F,20
48,F,25
49,F,23
50,F,20
51,F,37
52,F,21
53,F,27
54,F,24
55,F,20
56,M,31
57,F,21
58,M,45
59,F,20
60,M,22
61,F,19
62,F,22
63,F,22
64,F,22
65,F,24
66,M,19
67,M,22
68,F,20
69,M,23
70,M,23
71,F,36
72,F,19
73,F,22
74,F,25
75,M,22
76,M,19
77,M,22
78,F,23
79,F,20
80,M,26
81,F,20
82,M,22
83,F,34
84,F,26
85,F,24
86,F,24
87,F,18
88,F,28
89,F,20
90,F,20
91,F,26
92,F,22
93,M,25
